city,date,retail,grocery,parks,transit,work,home
Napoli,2020-06-04,-27,-4,-9,-36,-31,9
Napoli,2020-06-05,-38,-17,-44,-50,-35,13
Napoli,2020-06-06,-22,-3,17,-20,-15,2
Napoli,2020-06-07,-25,-16,11,-24,1,0
Napoli,2020-06-08,-23,-8,-19,-39,-30,8
Napoli,2020-06-09,-18,-5,3,-33,-30,8
Napoli,2020-06-10,-20,-5,-2,-33,-29,8
Napoli,2020-06-11,-19,-4,-9,-36,-30,8
Napoli,2020-06-12,-18,-2,5,-34,-29,6
Napoli,2020-06-13,-24,-7,11,-24,-12,1
Napoli,2020-06-14,-23,-17,20,-21,3,-2
Napoli,2020-06-15,-17,-8,0,-33,-27,6
Napoli,2020-06-16,-16,-5,2,-32,-28,7
Napoli,2020-06-17,-17,-4,12,-29,-27,6
Napoli,2020-06-18,-15,-7,9,-31,-28,6
Napoli,2020-06-19,-19,-5,1,-33,-28,6
Napoli,2020-06-20,-19,-8,25,-20,-11,-1
Napoli,2020-06-21,-26,-17,2,-26,4,-2
Napoli,2020-06-22,-15,-6,0,-32,-28,6
Napoli,2020-06-23,-13,-6,13,-31,-28,6
Napoli,2020-06-24,-11,-3,18,-27,-25,5
Napoli,2020-06-25,-14,-5,15,-29,-27,5
Napoli,2020-06-26,-16,-4,15,-30,-27,4
Napoli,2020-06-27,-20,-9,31,-18,-15,-2
Napoli,2020-06-28,-26,-16,19,-21,4,-5
Napoli,2020-06-29,-11,-4,16,-30,-26,3
Napoli,2020-06-30,-8,-3,20,-31,-26,4
Napoli,2020-07-01,-9,-2,22,-28,-26,3
Napoli,2020-07-02,-12,-5,13,-31,-27,4
Napoli,2020-07-03,-14,-5,19,-29,-27,3
Napoli,2020-07-04,-19,-9,12,-24,-15,0
Napoli,2020-07-05,-23,-14,23,-20,3,-5
Napoli,2020-07-06,-11,-5,20,-29,-27,3
Napoli,2020-07-07,-8,-5,24,-29,-27,4
Napoli,2020-07-08,-10,-6,24,-28,-25,3
Napoli,2020-07-09,-11,-5,19,-29,-26,3
Napoli,2020-07-10,-14,-6,22,-29,-27,2
Napoli,2020-07-11,-21,-14,29,-22,-13,-3
Napoli,2020-07-12,-26,-16,18,-21,4,-6
Napoli,2020-07-13,-9,-5,19,-28,-26,2
Napoli,2020-07-14,-7,-5,29,-28,-26,3
Napoli,2020-07-15,-8,-5,28,-27,-25,3
Napoli,2020-07-16,-7,-7,24,-27,-25,2
Napoli,2020-07-17,-13,-7,23,-28,-26,2
Napoli,2020-07-18,-17,-11,34,-18,-12,-2
Napoli,2020-07-19,-22,-14,31,-15,6,-6
Napoli,2020-07-20,-9,-6,27,-26,-24,2
Napoli,2020-07-21,-7,-7,35,-27,-25,2
Napoli,2020-07-22,-9,-7,32,-26,-25,2
Napoli,2020-07-23,-9,-7,31,-27,-25,2
Napoli,2020-07-24,-12,-6,34,-24,-26,2
Napoli,2020-07-25,-18,-12,39,-17,-13,-3
Napoli,2020-07-26,-20,-13,35,-11,8,-8
Napoli,2020-07-27,-7,-5,34,-24,-28,1
Napoli,2020-07-28,-5,-3,38,-25,-27,2
Napoli,2020-07-29,-7,-5,39,-24,-27,2
Napoli,2020-07-30,-8,-7,32,-26,-28,2
Napoli,2020-07-31,-13,-6,29,-26,-29,1
Napoli,2020-08-01,-24,-15,23,-19,-18,-4
Napoli,2020-08-02,-23,-13,28,-15,1,-7
Bologna,2020-02-15,4,2,19,9,1,-1
Bologna,2020-02-16,-2,4,11,0,-1,-2
Bologna,2020-02-17,-1,4,28,7,0,-1
Bologna,2020-02-18,1,2,7,3,1,0
Bologna,2020-02-19,2,3,15,4,1,0
Bologna,2020-02-20,2,3,18,7,0,-1
Bologna,2020-02-21,1,4,14,7,0,0
Bologna,2020-02-22,3,9,16,11,0,-1
Bologna,2020-02-23,-7,24,14,-7,-1,-1
Bologna,2020-02-24,-8,36,28,-15,-16,6
Bologna,2020-02-25,-12,3,25,-22,-16,7
Bologna,2020-02-26,-18,-7,-16,-29,-15,8
Bologna,2020-02-27,-13,-3,-4,-28,-15,7
Bologna,2020-02-28,-12,-4,4,-29,-15,7
Bologna,2020-02-29,-15,0,-6,-22,-17,5
Bologna,2020-03-01,-27,-4,-45,-39,-9,5
Bologna,2020-03-02,-15,-2,-23,-31,-13,6
Bologna,2020-03-03,-15,-5,-25,-31,-13,7
Bologna,2020-03-04,-14,-1,-7,-30,-13,6
Bologna,2020-03-05,-17,-2,-15,-32,-15,8
Bologna,2020-03-06,-19,-1,-11,-34,-15,8
Bologna,2020-03-07,-25,3,-20,-34,-20,8
Bologna,2020-03-08,-36,0,15,-39,-13,5
Bologna,2020-03-09,-33,-1,-16,-45,-21,11
Bologna,2020-03-10,-45,-3,-23,-51,-28,16
Bologna,2020-03-11,-51,-9,-19,-57,-33,19
Bologna,2020-03-12,-68,-15,-54,-66,-42,24
Bologna,2020-03-13,-74,-18,-65,-71,-49,29
Bologna,2020-03-14,-85,-42,-78,-78,-59,26
Bologna,2020-03-15,-90,-57,-73,-84,-54,21
Bologna,2020-03-16,-74,-31,-61,-74,-55,28
Bologna,2020-03-17,-77,-37,-65,-75,-58,31
Bologna,2020-03-18,-79,-39,-69,-77,-59,31
Bologna,2020-03-19,-79,-39,-74,-78,-61,33
