date,med_temp,med_hum
2020-01-01,1.15,90.67664139582558
2020-01-02,0.275,94.06023634877113
2020-01-03,1.7,87.86722400157102
2020-01-04,1.6,87.43433608716106
2020-01-05,5.275,89.17245614151783
2020-01-06,4.15,86.84749684313489
2020-01-07,-1.025,86.43432028377595
2020-01-08,-0.9,85.30879630933512
2020-01-09,-1.25,85.42182558332567
2020-01-10,1.1,86.37047937594205
2020-01-11,0.1,91.68733268633298
2020-01-12,0.25,88.73381399021702
2020-01-13,-0.1,90.89064789225978
2020-01-14,2.05,93.47461165999398
2020-01-15,3.5999999999999996,93.43122182392734
2020-01-16,3.675,88.1732421931634
2020-01-17,3.5,87.73435913535572
2020-01-18,5,91.75296932126906
2020-01-19,4.475,82.92125723241706
2020-01-20,3.95,56.04244745591926
2020-01-21,1.4,91.3154488320445
2020-01-22,1.75,89.60380719602867
2020-01-23,1.225,90.03655243276441
2020-01-24,4.6,88.08114729944424
2020-01-25,5.025,93.48906007684573
2020-01-26,5,87.063573866525
2020-01-27,6.2,87.43570412477669
2020-01-28,6.5,91.71947472793818
2020-01-29,5.825,80.46208130325356
2020-01-30,3.75,93.14307163292504
2020-01-31,7.95,88.58315705795293
2020-02-01,7.9,94.08064302828765
2020-02-02,5.15,86.11226745524924
2020-02-03,6.1,85.77083363745233
2020-02-04,6.55,55.58895133294379
2020-02-05,6.725,44.66947218977435
2020-02-06,3.55,55.15840438961456
2020-02-07,2.95,77.117486475146
2020-02-08,2.1,87.74287529229501
2020-02-09,6,97.78252892665833
2020-02-10,6,93.06751627527191
2020-02-11,7.325,52.948487476554625
2020-02-12,5.75,53.617144085151935
2020-02-13,7.875,66.92186532135686
2020-02-14,5.4,90.80733810145992
2020-02-15,4.55,80.28734719881203
2020-02-16,7,92.54863131371027
2020-02-17,9,92.25986634106906
2020-02-18,8.95,87.42225667656727
2020-02-19,7.975,77.25382153085232
2020-02-20,5.324999999999999,56.86410882942751
2020-02-21,5.949999999999999,80.77519430621456
2020-02-22,6.65,83.4515428504611
2020-02-23,9.5,95.78537539634242
2020-02-24,9.25,90.96735105448305
2020-02-25,9.7,94.16549693947076
2020-02-26,7.85,46.30163470406573
2020-02-27,6.95,40.62964159393667
2020-02-28,6.75,44.39045130974
2020-02-29,8,60.30539515636026
2020-03-01,6.9,93.75382646239315
2020-03-02,6.833333333333333,92.18811482575649
2020-03-03,6.725,88.67796409614235
2020-03-04,6.95,86.52232838698404
2020-03-05,6.05,93.32824035953846
2020-03-06,5.05,93.31350855507436
2020-03-07,7.55,85.12660571269242
2020-03-08,7.2,78.18899440276161
2020-03-09,7.975,88.95785419265196
2020-03-10,7.65,77.05129070543454
2020-03-11,9.399999999999999,81.98995043416987
2020-03-12,11.3,88.92129705092938
2020-03-13,12.1,88.94843108198546
2020-03-14,9.149999999999999,92.21583489984799
2020-03-15,7.3,83.92589562313832
2020-03-16,7.4,82.29801544029698
2020-03-17,9.1,80.85667511473773
2020-03-18,9.65,84.52459211344186
2020-03-19,10.675,80.41614723509724
2020-03-20,12.649999999999999,82.80892369525853
2020-03-21,11,91.72978949963466
2020-03-22,10,66.57812296816687
2020-03-23,5.575,56.42591672917648
2020-03-24,7.175000000000001,51.30699928181195
2020-03-25,5.6,59.30827811261497
2020-03-26,5.55,79.10629209578315
2020-03-27,9.85,81.2767173443568
2020-03-28,11.1,74.8078261784614
2020-03-29,13.175,67.64070292542232
2020-03-30,11.45,84.07824226893642
2020-03-31,5.65,71.33154551210774
2020-04-01,5.95,65.7319175477903
2020-04-02,6.9750000000000005,68.69997439637372
2020-04-03,9.2,69.8256608090546
2020-04-04,10.600000000000001,69.40074833349533
2020-04-05,13.5,64.67193831508712
2020-04-06,14.05,59.872711954965425
2020-04-07,11.7,56.69978942008842
2020-04-08,13.075,60.65648355522319
2020-04-09,12.7,64.35910511669749
2020-04-10,13.85,62.31489556692895
2020-04-11,14.875,64.53740652926706
2020-04-12,16.25,57.5994288662587
2020-04-13,17.674999999999997,57.594336635951244
2020-04-14,14.425,82.6924517410104
2020-04-15,11.55,79.2396151439334
2020-04-16,13.149999999999999,71.74636800463287
2020-04-17,14.45,69.74314900509248
2020-04-18,16.375,74.6567974669216
2020-04-19,17.6,79.36624862486036
2020-04-20,14.75,91.15472915278332
2020-04-21,12.75,78.34616701738523
2020-04-22,14,53.81486300776445
2020-04-23,14.925,61.002364638554354
2020-04-24,17.3,55.045794178272175
2020-04-25,18,58.34629777800736
2020-04-26,16.8,59.831458068326654
2020-04-27,17.35,71.5966579022745
2020-04-28,16.1,84.313360437464965
2020-04-29,14.916666666666668,85.93144203762243
2020-04-30,16.200000000000003,72.33920728542505
2020-05-01,15.1,81.42076522173777
2020-05-02,18.049999999999997,56.61427793215142
2020-05-03,17.5,55.315465869402075
2020-05-04,18.275,49.2488128239891
2020-05-05,19.425,67.14035242430049
2020-05-06,18.25,76.16198502831953
2020-05-07,18.225,57.83947430769901
2020-05-08,21.2,54.9212537468221
2020-05-09,20.225,60.98898162554089
2020-05-10,21.174999999999997,68.62108393743094
2020-05-11,16.8,87.70243047393352
2020-05-12,16.85,78.31521954314667
2020-05-13,15.5,86.26080915908969
2020-05-14,19.291666666666664,75.27372826352689
2020-05-15,16.9,86.84269017305941
2020-05-16,17.125,79.03642967689441
2020-05-17,18.299999999999997,80.88781242566105
2020-05-18,20.35,76.4513083024351
2020-05-19,19.25,84.22419311228042
2020-05-20,19.799999999999997,70.18462378689591
2020-05-21,21.625,56.77585168001853
2020-05-22,22.3,65.53180740723154
