date,daily_cases,med_temp,med_hum,pm25,pm10,o3,retail,grocery,parks,transit,work,home,rt1,rt2
2020-04-06,67,14.8666666666667,42.1158799628074,65,23,53,-84,-41,-83,-77,-63,31,0.658611020182516,0.910695331387897
2020-04-07,101,14.5,30.8124450124042,61,26,55,-84,-40,-83,-76,-64,32,0.651454025884765,0.882837353888597
2020-04-08,64,13.75,33.2687178972398,63,22,47,-84,-38,-83,-77,-63,32,0.641809839444532,0.862477918208563
2020-04-09,129,14,36.5124060444433,53,23,55,-83,-31,-83,-77,-63,32,0.633091118495909,0.845413165818761
2020-04-10,208,15.75,40.640161117038,55,27,59,-84,-25,-85,-78,-65,34,0.625629645876701,0.847817540951434
2020-04-11,145,15.75,40.6535774588675,63,30,65,-90,-46,-90,-81,-62,27,0.617792737562721,0.857900492548422
2020-04-12,93,16.8666666666667,35.7059171789569,65,23,59,-97,-97,-95,-90,-67,26,0.610204196030478,0.876940826633938
2020-04-13,52,15.5166666666667,39.8745431354531,59,28,51,-96,-97,-91,-91,-91,43,0.60416524852813,0.897935608536488
2020-04-14,25,12.7833333333333,56.3573809532409,65,23,51,-82,-40,-80,-75,-60,30,0.598404796241202,0.907920838423467
2020-04-15,77,11,48.5069430837274,53,20,43,-82,-37,-80,-74,-59,30,0.591777281684149,0.910453643673381
2020-04-16,81,12.25,55.2565891520951,50,30,47,-80,-34,-78,-74,-58,30,0.587789152771323,0.910117873353535
2020-04-17,75,15,55.3709280488999,70,43,51,-82,-30,-82,-75,-58,32,0.583011807678455,0.901465681369903
2020-04-18,75,17,53.6705935066173,91,36,51,-88,-45,-85,-79,-56,26,0.579583213196734,0.884192863777495
2020-04-19,94,18,63.8784152176836,74,24,60,-96,-95,-92,-85,-59,24,0.576034404457768,0.862074881116109
2020-04-20,24,15.9833333333333,54.4676744879041,55,16,43,-80,-40,-82,-75,-56,28,0.57430868223343,0.824653276377231
2020-04-21,72,15,39.6885316542257,38,20,39,-79,-36,-77,-73,-56,28,0.57173227047512,0.788744775640618
2020-04-22,94,16.2833333333333,34.4020228439402,53,18,45,-79,-37,-77,-72,-55,29,0.569561879776189,0.757766030270566
2020-04-23,58,16.8333333333333,42.1168978370759,42,22,59,-78,-30,-73,-72,-55,28,0.568601976296264,0.735774700596131
2020-04-24,176,16.5,53.5503004276328,59,30,64,-78,-12,-77,-72,-55,29,0.569803248560025,0.724270363380599
2020-04-25,75,17.5,52.2006733054065,72,22,52,-94,-94,-83,-83,-73,29,0.570487245094549,0.721323979310196
2020-04-26,19,18,56.989508544823,61,16,53,-93,-93,-87,-81,-55,23,0.572171694687945,0.717082797529579
2020-04-27,34,17.25,62.6348711783167,50,22,44,-72,-18,-69,-68,-51,24,0.574689160863516,0.702914087538557
2020-04-28,30,16.5,78.0694608171543,57,20,35,-74,-27,-65,-68,-51,26,0.576981681676817,0.692078729441298
2020-04-29,71,15.8333333333333,70.0022375906295,46,11,34,-75,-26,-67,-67,-51,26,0.5782096340738,0.67399168514625
2020-04-30,39,15.0666666666667,89.3394380062635,30,11,41,-71,-8,-65,-68,-51,25,0.580920202859283,0.658231930436125
2020-05-01,43,15.5,79.8610160700202,30,9,36,-90,-91,-64,-82,-87,42,0.585216893042908,0.647228612740658
2020-05-02,62,18.5,64.9022742542984,21,12,44,-78,-29,-59,-66,-50,22,0.588713544723078,0.643523991275959
2020-05-03,29,17.5666666666667,51.6557092364974,38,12,44,-88,-90,-66,-68,-47,20,0.593987243215606,0.645127762677262
2020-05-04,21,17.75,42.4397490987609,38,10,48,-60,-14,-35,-52,-40,17,0.599998890992444,0.649276823577464
