date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,retail,grocery,parks,transit,work,home,infections,rt1,rt2,city_id
2020-03-31,119,7.65,46.6735744474364,61,10,32,25,-91,-46,-62,-67,-70,35,45.1901564640526,0.750317672074121,0.738430844938811,2
2020-04-01,81,8,39.5211503384949,34,20,36,24,-91,-43,-63,-64,-70,34,42.8347115296208,0.74930016202467,0.751097812305336,2
2020-04-02,49,9.7,36.9740823328993,65,22,41,24,-91,-45,-59,-66,-70,35,40.5913699748889,0.748013176727992,0.781825984679331,2
2020-04-03,46,12.5,36.6407562143713,70,28,46,29,-87,-38,-62,-69,-69,36,38.4570746400717,0.747417049163807,0.810740397453999,2
2020-04-04,31,14,37.1878459813416,78,28,48,19,-90,-52,-74,-73,-63,26,36.425272251013,0.745645673008524,0.864973027931993,2
2020-04-05,50,14.5,34.3104690139222,80,20,44,27,-96,-95,-82,-83,-63,24,34.4924594701214,0.744096040422905,0.915772785661181,2
2020-04-06,44,17,40.8591572620278,65,27,50,37,-84,-39,-59,-67,-64,31,32.652658244915,0.741831712444232,0.961437334415834,2
2020-04-07,17,17.1,39.6614780902496,74,31,50,33,-83,-40,-53,-66,-65,32,30.8993362133545,0.739586125547863,1.00689562199538,2
2020-04-08,27,18,23.903091909996,78,25,46,37,-84,-38,-59,-66,-64,32,29.2266796757487,0.737529320375783,1.04761107485893,2
2020-04-09,40,20.1,24.4261329492179,61,20,46,27,-83,-35,-57,-66,-64,32,27.629849764889,0.733709242887079,1.06947744207139,2
2020-04-10,29,21.05,31.4184206180581,55,22,53,20,-83,-29,-60,-66,-64,34,26.1060208936218,0.730452848851335,1.0987451008866,2
2020-04-11,14,21.5,37.5111493240243,63,17,51,18,-89,-46,-74,-70,-61,25,24.6490989572623,0.725230906929098,1.11064516964707,2
2020-04-12,37,20.5,29.1461798581993,57,12,48,10,-96,-96,-84,-86,-66,24,23.2537268000031,0.72060390198184,1.12490801491299,2
2020-04-13,38,18.65,37.0914812589118,46,16,50,13,-96,-96,-71,-88,-90,43,21.9147772266952,0.716719065665397,1.13250210316566,2
2020-04-14,29,17.6,61.6441627269528,55,23,45,19,-81,-36,-57,-65,-60,30,20.6293942368995,0.712776768820995,1.14851857434123,2
2020-04-15,56,14,40.6059507378864,63,18,39,29,-81,-37,-61,-63,-60,31,19.3991150285647,0.706885290476297,1.15165716298223,2
2020-04-16,26,16.5,44.4578177190472,42,22,45,24,-79,-36,-57,-63,-59,31,18.2247560981799,0.702503081560822,1.14262150266831,2
2020-04-17,25,18.2,33.8801334244198,59,20,45,27,-79,-33,-59,-63,-58,32,17.101746003075,0.69906178924343,1.12559614632622,2
2020-04-18,25,21,50.9033084748386,55,19,42,21,-86,-45,-71,-68,-56,24,16.0281999567069,0.694707746166774,1.1043306716759,2
2020-04-19,70,18.25,75.8113855095257,50,20,45,11,-94,-85,-82,-81,-57,23,15.0069492222467,0.6900809219272,1.08409845452378,2
2020-04-20,24,12.7,100,55,14,30,14,-79,-45,-69,-67,-57,29,14.0374249065782,0.686181078887367,1.04740401760604,2
2020-04-21,67,12.6,84.6256593962358,53,20,28,21,-78,-37,-59,-63,-56,29,13.11638693872,0.682582789346941,1.01062800823396,2
2020-04-22,73,16.5,35.2711293111296,55,22,45,28,-78,-38,-58,-63,-55,29,12.2427314375559,0.678945370393788,0.976959461334266,2
2020-04-23,53,18,39.5098570369998,61,24,48,31,-77,-36,-54,-61,-55,29,11.4165485555835,0.677941577812675,0.941196850617033,2
2020-04-24,49,20,43.1602307602449,65,21,57,35,-77,-23,-52,-60,-55,30,10.6368878297792,0.676792136121283,0.891761179373835,2
2020-04-25,60,20.7,49.3941533480722,63,15,44,20,-94,-93,-73,-79,-72,29,9.90454206270275,0.676936056251465,0.829894161789567,2
