date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,retail,grocery,parks,transit,work,home,infections,rt1,rt2
2020-04-06,3,14.8666666666667,42.1158799628074,57,27,46,21,-83,-42,-75,-70,-62,29,8.7884768382729,0.980291581474802,0.916569132159809
2020-04-07,12,14.5,30.8124450124042,65,41,38,19,-82,-39,-75,-68,-63,30,8.7261936871528,0.990015351943814,0.907296011687446
2020-04-08,1,13.75,33.2687178972398,89,7,37,8,-82,-40,-76,-69,-62,30,8.68213345361369,0.99963578718347,0.906645702004448
2020-04-09,5,14,36.5124060444433,21,8,38,10,-82,-34,-79,-70,-63,31,8.65644999391,1.00809627047098,0.915019667863019
2020-04-10,12,15.75,40.640161117038,NaN,24,52,19,-82,-26,-75,-67,-64,32,8.64749910134073,1.01539927071072,0.964104289392671
2020-04-11,1,15.75,40.6535774588675,59,25,59,14,-88,-49,-84,-73,-63,27,8.6538761155882,1.02430042559053,0.991042800963418
2020-04-12,4,16.8666666666667,35.7059171789569,72,22,59,12,-96,-96,-92,-85,-62,24,8.6737672593123,1.03204524233007,1.04021993003501
2020-04-13,3,15.5166666666667,39.8745431354531,65,13,46,7,-95,-91,-88,-89,-90,41,8.70701745789834,1.0400153132269,1.0837602555803
2020-04-14,1,12.7833333333333,56.3573809532409,50,19,45,8,-81,-42,-76,-69,-59,28,8.75401941006418,1.04758311522753,1.11777694880714
2020-04-15,2,11,48.5069430837274,46,14,38,13,-80,-38,-72,-68,-58,28,8.81453963677298,1.05556608974832,1.14339589499624
2020-04-16,2,12.25,55.2565891520951,25,20,42,22,-79,-37,-80,-67,-57,29,8.88859999223738,1.06460645955274,1.15872086815119
2020-04-17,4,15,55.3709280488999,55,22,48,16,-80,-33,-75,-65,-56,30,8.97679676326336,1.07356021734765,1.14354870929552
2020-04-18,2,17,53.6705935066173,59,24,48,14,-87,-49,-84,-71,-58,26,9.08053453545101,1.08140709398317,1.13899992165713
2020-04-19,0,18,63.8784152176836,57,20,43,7,-94,-86,-90,-82,-54,23,9.20073822206867,1.09023453329566,1.1194990838822
2020-04-20,6,15.9833333333333,54.4676744879041,55,14,29,5,-79,-45,-78,-70,-54,27,9.3369809139939,1.10151425954404,1.07895048518192
2020-04-21,13,15,39.6885316542257,50,16,33,10,-78,-39,-74,-68,-54,27,9.48976625691148,1.11330138729875,1.05217658325835
2020-04-22,2,16.2833333333333,34.4020228439402,34,15,39,11,-79,-41,-72,-67,-54,27,9.66277095886942,1.12453944557696,1.02637324626185
2020-04-23,2,16.8333333333333,42.1168978370759,38,21,48,16,-78,-36,-78,-66,-53,27,9.85963804271882,1.13877179895115,0.991165999218402
2020-04-24,8,16.5,53.5503004276328,55,27,53,18,-79,-22,-72,-65,-53,28,10.0818974341787,1.15409038904475,0.982102347151215
2020-04-25,0,17.5,52.2006733054065,65,16,44,10,-94,-81,-87,-83,-73,30,10.3329320046064,1.16798580021781,0.960566902900521
2020-04-26,12,18,56.989508544823,34,17,45,6,-94,-79,-89,-81,-52,23,10.6177917666571,1.18145046140625,0.987297824627459
2020-04-27,6,17.25,62.6348711783167,42,20,38,8,-73,-32,-69,-64,-50,24,10.9391706847997,1.19641318993169,0.985939963252896
2020-04-28,9,16.5,78.0694608171543,46,12,30,10,-77,-35,-69,-64,-51,25,11.2978685518542,1.21022580684336,1.01636181842463
2020-04-29,2,15.8333333333333,70.0022375906295,25,9,32,9,-77,-31,-69,-65,-50,25,11.6970993212177,1.22513018758467,1.05700481790889
2020-04-30,1,15.0666666666667,89.3394380062635,38,10,35,10,-73,-16,-75,-63,-50,25,12.1400077404452,1.23922325546004,1.06841016887317
2020-05-01,7,15.5,79.8610160700202,17,8,31,5,-94,-89,-84,-86,-87,43,12.6301490808058,1.25658866422714,1.10084049813172
2020-05-02,0,18.5,64.9022742542984,17,15,38,9,-83,-43,-81,-69,-56,25,13.1721007255778,1.27214955756129,1.1093583939164
2020-05-03,6,17.5666666666667,51.6557092364974,38,10,37,5,-92,-78,-86,-79,-46,22,13.7737069406341,1.28405991845027,1.11737930660701
2020-05-04,4,17.75,42.4397490987609,17,9,45,13,-61,-24,-26,-45,-38,16,14.441240453596,1.30073941607417,1.14363976506436
2020-05-05,2,18.2833333333333,55.0131436733449,9,13,39,17,-63,-25,-24,-45,-39,17,15.1749583628876,1.31351814267308,1.16676034996203
2020-05-06,8,17.0333333333333,58.7975136047802,21,18,35,11,-65,-26,-33,-49,-39,18,15.9820135142501,1.32655879930308,1.19660422510088
2020-05-07,6,17.5,45.6936920289724,25,14,44,15,-63,-26,-38,-46,-39,18,16.8705021302847,1.33973953404813,1.19287776904708
2020-05-08,3,20,44.3672790063409,25,18,57,16,-64,-23,-28,-46,-38,19,17.8455368277127,1.35183836087562,1.20430923339813
2020-05-09,0,19.5,49.3484990473813,34,16,54,9,-68,-29,-33,-42,-42,17,18.9149234941089,1.36199521765869,1.23006802025828
2020-05-10,9,19.75,58.2127198159011,25,16,45,5,-77,-63,-48,-46,-29,14,20.0872023870286,1.37292335230751,1.24111240539355
2020-05-11,1,17,77.9217703079306,30,10,32,6,-61,-28,-48,-51,-35,17,21.3683996608083,1.38157169340886,1.24799267766396
2020-05-12,6,15.5166666666667,77.0987730791745,38,10,34,10,-61,-24,-30,-47,-36,17,22.7673319894522,1.38566323887742,1.25814866450363
2020-05-13,9,16,82.0010371012391,25,10,23,6,-62,-27,-39,-49,-35,17,24.2921642259608,1.38850805079591,1.27778245009606
2020-05-14,11,19.25,71.8099984327766,13,22,38,11,-61,-25,-39,-48,-35,17,25.9423811062354,1.38650195193019,1.29447050746573
2020-05-15,4,17.5833333333333,82.686805615802,50,14,27,8,-62,-21,-39,-48,-35,18,27.7172580065257,1.38513024081098,1.30810353184026
2020-05-16,0,16.5333333333333,84.4655406094186,21,18,30,9,-66,-29,-48,-48,-37,17,29.6130446555638,1.37702333819916,1.3296031608589
2020-05-17,1,19.75,71.932132538841,59,14,39,10,-71,-58,-26,-43,-22,13,31.6280499911204,1.36938313514792,1.34913294135601
2020-05-18,13,21.25,58.5847952300074,25,18,41,13,-41,-18,-3,-38,-29,12,33.7513493631491,1.35664225681225,1.36930428493161
2020-05-19,16,19.4833333333333,76.5366964745242,30,27,35,21,-46,-19,-35,-41,-30,14,35.9700222453694,1.339953083386,1.39055631692736
2020-05-20,4,19.6333333333333,70.4973704849949,53,16,44,12,-42,-19,-2,-34,-30,13,38.2678192242515,1.32361707864874,1.4091984704108
2020-05-21,2,20.8833333333333,48.4672121165994,72,12,45,16,-41,-19,-6,-34,-30,13,40.6169506352753,1.30115692215411,1.42878120690789
2020-05-22,14,21.25,53.1853669621154,17,17,48,13,-42,-15,3,-33,-29,13,42.9946386127119,1.27617626350632,1.42914676139578
2020-05-23,2,22,62.7274026129098,34,16,48,11,-44,-21,5,-26,-28,10,45.3656804405087,1.25399467860447,1.4326229665584
2020-05-24,5,20.25,51.7207481266314,50,10,40,8,-48,-43,-5,-24,-10,8,47.6832446662487,1.23212734437819,1.42997600674045
2020-05-25,9,21,47.4150548802332,38,9,45,16,-36,-19,4,-32,-28,11,49.9253847053076,1.2053363040724,1.40767367746226
2020-05-26,10,19.3333333333333,56.2050592911912,9,12,38,7,-36,-18,14,-31,-27,11,52.0813760812624,1.17749957549026,1.39032556262947
2020-05-27,19,19.5,48.5579736978254,13,10,32,16,-37,-19,11,-30,-27,11,54.1092441774781,1.15176913532226,1.37123683193851
