date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,retail,grocery,parks,transit,work,home,infections,rt1,rt2,city_id
2020-04-07,43,15.5,38.0572364181155,78,40,51,32,-78,-41,-65,-86,-64,31,26.7729549593973,0.862341712529138,0.984826571378593,18
2020-04-08,26,15.25,44.6460773401675,85,30,46,23,-79,-40,-57,-84,-63,31,26.0311783034534,0.862278662702405,0.960283422524927,18
2020-04-09,29,15.25,44.9209200464315,72,32,51,29,-77,-34,-63,-84,-64,31,25.3063164377706,0.864599447383515,0.929788517260405,18
2020-04-10,43,15.75,45.0057113999656,74,33,54,31,-79,-33,-65,-86,-66,33,24.5969852630434,0.864614530733512,0.91379162603973,18
2020-04-11,53,18,28.4741678564931,78,21,50,22,-85,-53,-65,-84,-62,25,23.9116669112458,0.863614070250389,0.91367183779819,18
2020-04-12,71,17.5,25.1648778474113,59,6,44,17,-95,-97,-83,-89,-63,23,23.2508766367454,0.864864579658934,0.910711775783031,18
2020-04-13,16,17.75,33.8329801496174,17,19,49,16,-94,-88,-76,-94,-91,42,22.6071951441515,0.863699684931834,0.915499388620996,18
2020-04-14,10,14,62.5290082705407,57,19,43,15,-77,-43,-69,-85,-62,30,21.9813117912435,0.863440442438197,0.916926702807355,18
2020-04-15,18,11.25,50.6156146311129,38,20,39,8,-77,-42,-55,-84,-60,30,21.3729252998495,0.860334247311302,0.915980914611059,18
2020-04-16,39,13.8666666666667,42.0017567727732,38,30,45,23,-76,-39,-62,-83,-60,30,20.778716482032,0.859422647209937,0.922053830983675,18
2020-04-17,52,16.75,40.4515776060462,63,16,45,31,-77,-41,-66,-83,-60,32,20.193581744201,0.857057451122972,0.936797957804084,18
2020-04-18,36,17,61.5526458664419,30,20,43,17,-84,-53,-66,-83,-57,24,19.6162252381918,0.852937030823504,0.940113405096844,18
2020-04-19,10,17.25,71.2176481340246,53,20,49,11,-93,-87,-79,-88,-53,22,19.0473641685456,0.851863204887063,0.950744983342952,18
2020-04-20,16,14.25,90.4680011256354,55,16,35,15,-76,-49,-78,-85,-59,29,18.4826253500806,0.849908493342307,0.949997943409015,18
2020-04-21,11,11.8666666666667,84.9547778397428,55,21,30,17,-75,-45,-68,-84,-58,29,17.9244659218367,0.846939953002394,0.940941926992033,18
2020-04-22,36,15.5,51.6493644317337,57,21,46,17,-75,-44,-56,-83,-57,29,17.3772019265346,0.841090482987149,0.939846824788239,18
2020-04-23,46,16.25,51.2113805000392,63,29,51,21,-74,-39,-62,-83,-58,29,16.8385119948926,0.836570316933591,0.940151693424688,18
2020-04-24,3,18,48.1284250603282,78,30,57,24,-76,-36,-64,-84,-58,30,16.301517932453,0.832356351730258,0.957445262713644,18
2020-04-25,67,18.25,52.2213361291976,76,14,42,17,-89,-70,-73,-87,-69,27,15.7638879637591,0.826686819102996,0.97668395329226,18
2020-04-26,23,18.25,54.3892351035948,46,13,45,7,-92,-82,-80,-86,-53,22,15.2286041636369,0.823650590268246,1.00189610641812,18
2020-04-27,10,17.05,59.3837290887339,42,12,36,19,-69,-37,-59,-83,-55,26,14.6959917819284,0.820778528277653,1.01824471632489,18
2020-04-28,11,17,68.6039711659046,30,13,30,20,-74,-43,-63,-85,-56,28,14.1687055417511,0.817201786472088,1.02968056274588,18
