date,daily_cases,med_temp,med_hum,pm25,pm10,no2,retail,grocery,parks,transit,work,home,infections,rt1,rt2
2020-04-17,40,18.2,33.8801334244198,46,27,14,-79,-36,-71,-69,-56,30,23.76248087077,0.766677371006017,0.789060006660112
2020-04-18,94,21,50.9033084748386,65,30,14,-86,-51,-82,-70,-56,24,22.5837177413549,0.769783248515908,0.764961264671059
2020-04-19,10,18.25,75.8113855095257,63,28,7,-94,-84,-89,-79,-54,22,21.4805219416074,0.773502026048857,0.731907324041046
2020-04-20,74,12.7,100,65,18,7,-78,-47,-78,-72,-54,26,20.4445315660824,0.77648513798367,0.688902499411918
2020-04-21,150,12.6,84.6256593962358,38,20,13,-78,-39,-71,-69,-54,26,19.4730295958232,0.779837238380827,0.651537001608715
2020-04-22,65,16.5,35.2711293111296,59,28,21,-78,-40,-73,-69,-53,27,18.5623663104037,0.783732497816337,0.625114313514396
2020-04-23,101,18,39.5098570369998,55,28,15,-77,-37,-74,-67,-53,27,17.7078004705325,0.787370048224148,0.617308044113438
2020-04-24,60,20,43.1602307602449,55,39,19,-77,-29,-68,-67,-54,28,16.9066638189011,0.791768662006674,0.620187921030963
2020-04-25,39,20.7,49.3941533480722,76,20,13,-91,-71,-83,-77,-68,27,16.1560999225718,0.795644003217401,0.632683370214461
2020-04-26,60,20.35,50.3878320632687,42,14,11,-94,-79,-87,-77,-51,22,15.4532498477603,0.802916339181158,0.657244319757324
2020-04-27,5,21,63.0294968327881,34,21,11,-72,-35,-68,-67,-50,24,14.7951789148348,0.806866190108287,0.68693995305107
2020-04-28,22,16.8333333333333,100,38,13,12,-75,-37,-67,-68,-51,26,14.1830834697255,0.810874401245413,0.717979721430557
2020-04-29,30,20.7,48.6938679060724,25,11,8,-75,-32,-68,-68,-51,25,13.6134921155804,0.81526405482224,0.751404842146685
2020-04-30,14,19,62.3979532004864,25,13,11,-70,-22,-69,-65,-51,25,13.0791899056525,0.82059387226344,0.773752580563885
2020-05-01,31,18.8,68.4291222932683,21,11,6,-93,-84,-83,-84,-87,43,12.5773420493664,0.82701549168542,0.800191008242411
2020-05-02,20,23.5,23.0644012732093,53,16,8,-80,-41,-75,-67,-54,24,12.10779156815,0.83435051272186,0.818687534374814
2020-05-03,18,21,53.9015383159348,50,14,4,-92,-75,-84,-73,-48,21,11.6711485508923,0.840519598901641,0.822838395342986
2020-05-04,3,21.2,38.3631622035928,34,10,12,-57,-27,-20,-45,-40,17,11.2675563730405,0.846412888043981,0.810988514780643
2020-05-05,21,22,56.9082555988863,21,17,14,-59,-24,-17,-50,-42,18,10.8943108878958,0.852316183668577,0.795128831058708
2020-05-06,21,19.95,67.0541902007804,53,22,10,-61,-26,-32,-48,-41,19,10.547509760473,0.858431783614853,0.786346078992169
2020-05-07,27,22,32.6493100953755,25,19,11,-60,-23,-22,-47,-41,18,10.2247493356694,0.863626413924038,0.779337182268246
2020-05-08,41,23.1,42.4088577944325,42,17,74,-61,-22,-17,-46,-41,20,9.92462693125373,0.867180083804633,0.793321989318275
2020-05-09,23,23.9,29.5932462143044,42,13,83,-65,-32,-20,-37,-41,16,9.64496565216091,0.87339586510032,0.801094630512315
2020-05-10,6,22.5,55.1086753945255,76,16,NaN,-76,-59,-26,-40,-29,14,9.38217278579469,0.879736706302069,0.823771151529281
2020-05-11,2,19,70.2491063864026,42,17,8,-58,-31,-50,-57,-39,19,9.13590191732963,0.885136103207488,0.843135539627477
2020-05-12,5,21.4,70.4415274127626,50,15,8,-56,-23,-17,-47,-38,17,8.90778919729416,0.890979525233512,0.8502266999244
2020-05-13,18,17,93.9274839624694,21,14,6,-59,-24,-40,-50,-38,19,8.69661518585581,0.895657975311849,0.875883487163376
2020-05-14,12,21.7,68.926936796543,17,30,15,-57,-23,-19,-45,-38,18,8.50061827055785,0.900302304499512,0.878115422663968
2020-05-15,18,18.3,100,46,17,13,-60,-22,-32,-48,-38,20,8.31805721864372,0.904557041474629,0.890322571687602
2020-05-16,10,18.5,85.827045738471,46,19,10,-63,-30,-33,-36,-34,16,8.14713441938582,0.906694078830465,0.905373498797547
2020-05-17,10,21.2,75.4804889842106,57,18,11,-71,-54,-6,-26,-21,13,7.98693014801509,0.911582597441077,0.910498780866846
2020-05-18,0,24,58.9731811660256,46,26,15,-35,-18,17,-36,-33,13,7.83545855248053,0.916342744358079,0.910288571001701
2020-05-19,12,20,94.0884112480938,59,34,13,-40,-16,-25,-40,-34,15,7.69274156110781,0.920760367490164,0.913797182184098
2020-05-20,15,23.5,54.9737262897112,70,24,13,-36,-13,-2,-35,-33,14,7.55998813183325,0.922742986488604,0.913969031808278
2020-05-21,15,24,41.2475133813725,53,18,14,-37,-13,3,-34,-33,13,7.43661296780233,0.925155031350284,0.919446298119742
2020-05-22,9,25.45,50.4029291495404,53,26,17,-38,-12,15,-34,-32,14,7.32020717211712,0.93006357985033,0.92710120380779
2020-05-23,9,24.25,57.1271131427159,72,30,16,-41,-19,14,-19,-26,9,7.20924901438935,0.929511109035834,0.913516918448167
2020-05-24,8,23.35,55.0821880552491,68,20,6,-46,-36,7,-15,-12,8,7.10488791943169,0.931218136569389,0.908508776496606
2020-05-25,5,25.3,29.0000392758502,63,9,15,-32,-17,16,-33,-32,12,7.00498926612484,0.93139015756483,0.90280255005117
2020-05-26,4,23.6,35.8127682076932,34,13,10,-31,-11,18,-34,-31,12,6.90744359252769,0.931503210312034,0.881595345523938
2020-05-27,16,23.6,32.204562711066,42,14,11,-32,-10,17,-32,-30,12,6.8120169128931,0.930663985549714,0.883268572947061
2020-05-28,13,24,42.0372218854849,38,20,10,-31,-8,17,-32,-30,12,6.71818181990744,0.930628789556083,0.878301059332434
2020-05-29,13,19,49.2979514395833,53,10,8,-32,-10,14,-33,-31,13,6.62513999297364,0.930897732100837,0.891837994794028
2020-05-30,6,22,38.1153994192002,61,NaN,NaN,-34,-15,24,-11,-20,7,6.53275488586167,0.928879081287273,0.918647350433768
2020-05-31,11,22,46.5941359342103,NaN,NaN,NaN,-38,-30,26,-7,-3,6,6.44173069560173,0.926324949531851,0.934654131052585
2020-06-01,2,25.9,40.5079141722841,NaN,16,10,-11,7,69,-22,-47,12,6.35104405472146,0.92317669132697,0.959691772721393
2020-06-02,3,25.75,48.9003531921061,53,14,13,-35,-38,102,-38,-75,22,6.25883701782924,0.921902458751448,0.981463113894854
2020-06-03,6,24.5,53.7798033106459,42,12,14,-30,-5,12,-31,-29,11,6.16427931855215,0.919090703553514,1.00291157401589
2020-06-04,1,17,100,42,9,11,-34,-9,-50,-45,-31,13,6.0682761554517,0.916681996184435,0.992264885508382
2020-06-05,11,24.25,50.7129666845345,17,7,12,-23,-6,42,-26,-29,10,5.97112669807452,0.914812525966605,0.971660892058891
2020-06-06,7,24.1333333333333,59.2407024481876,21,15,10,-27,-14,58,-12,-19,5,5.87250025199114,0.911937045608625,0.976585220804032
2020-06-07,6,21.35,79.7793992673982,46,8,7,-38,-27,-27,-32,-9,7,5.77284759365275,0.908987962177254,0.949910026918587
2020-06-08,7,19,100,30,10,13,-23,-13,-13,-36,-28,10,5.67206015788735,0.906755205165761,0.919932196299339
2020-06-09,3,20.25,85.711486875444,17,20,8,-20,-8,32,-28,-27,9,5.56971792305123,0.907407241657327,0.899662418465344
2020-06-10,15,18,72.7413674762669,46,10,15,-26,-13,-10,-36,-29,11,5.46623448859104,0.906721560398345,0.875761362767515
2020-06-11,7,18.5,95.4662081306243,30,15,14,-21,-4,6,-31,-28,9,5.3635861021746,0.903736255893493,0.829062379431656
2020-06-12,4,23.35,54.0198220036413,46,17,15,-20,-7,52,-25,-28,8,5.26268340713098,0.900449449705716,0.832596021294457
2020-06-13,15,24.15,58.9879100272571,46,15,12,-26,-15,22,-15,-18,4,5.16169944005658,0.898994658641626,0.82062988577403
2020-06-14,8,24.5,59.5905094914069,46,7,14,-27,-21,31,-11,1,3,5.05931800182094,0.897039539360342,0.842279002745156
2020-06-15,2,25,76.55194283585,25,19,16,-19,-11,34,-29,-26,8,4.95629581512897,0.896276308231293,0.85845752330097
2020-06-16,3,24.8,61.2382213340467,50,14,18,-18,-7,45,-26,-26,8,4.85349633344765,0.89662261171166,0.887287050791121
2020-06-17,6,20.45,95.1952502462362,38,12,15,-18,-6,10,-31,-26,9,4.75161472894631,0.893150604519178,0.937204285947122
2020-06-18,3,22.75,58.8939078997034,34,14,10,-17,-7,36,-25,-26,7,4.65154960370198,0.891376326291133,0.96285686436083
2020-06-19,6,20.6666666666667,71.1943721298984,38,11,14,-20,-10,23,-29,-27,8,4.55218552339528,0.890664444871508,1.006121089172
2020-06-20,2,25,42.5549532981022,25,12,19,-21,-13,72,-9,-14,1,4.45274718510635,0.88992994388311,1.02910198866051
2020-06-21,1,26.95,34.9418570819723,50,10,16,-28,-26,42,-12,2,-1,4.35432180161583,0.887613433183914,1.06029745441845
2020-06-22,8,29.6,30.3456475966396,38,13,21,-17,-10,48,-28,-27,6,4.25755216012949,0.883742072980728,1.0801643723734
2020-06-23,2,30.1,37.2560350038357,46,20,22,-14,-4,56,-22,-26,6,4.16170372260268,0.882863675809119,1.09730133489648
2020-06-24,3,28.5,48.5923352821206,46,29,22,-16,-5,37,-24,-24,6,4.06551689066218,0.882660335339812,1.11025902725559
2020-06-25,6,27,54.8394234696346,57,22,13,-16,-4,25,-25,-25,6,3.9695894237367,0.878946278427603,1.11169390936709
2020-06-26,1,27.7,51.0073203380084,46,18,14,-17,-6,51,-26,-26,6,3.87531643500116,0.876624994943441,1.10950535365687
2020-06-27,5,29,49.2365741282041,53,30,15,-23,-14,34,-13,-18,0,3.78184495360291,0.877264473960892,1.12410266919769
2020-06-28,6,30,45.7326440940286,65,19,13,-30,-26,12,-15,4,-2,3.68844829310036,0.875825556117247,1.11605612987666
