date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,retail,grocery,parks,transit,work,home,infections,rt1,rt2,city_id
2020-04-08,63,13.5,46.8412733452273,93,27,50,18,-84,-44,-76,-83,-71,35,75.0592716842399,0.817786628350375,0.746472193307778,12
2020-04-09,112,15,42.1362828462058,82,28,57,18,-84,-40,-76,-83,-71,36,71.9855317270671,0.826465486009857,0.75828114214203,12
2020-04-10,108,15.25,42.9089863338556,89,25,57,16,-84,-37,-76,-83,-72,38,69.2111212716991,0.833393417982091,0.777414643813511,12
2020-04-11,107,16.5,40.12945824082,80,23,61,21,-89,-56,-83,-84,-71,29,66.6887999923033,0.841411934639121,0.80711055993577,12
2020-04-12,51,15.75,35.4777717837503,76,13,49,10,-96,-95,-91,-90,-68,25,64.3705434237903,0.849344747131461,0.839148800970319,12
2020-04-13,82,16.25,38.0719126333037,55,19,54,6,-96,-88,-84,-92,-92,44,62.2337600786094,0.857097511901344,0.871344990093127,12
2020-04-14,35,13,59.685685267603,68,24,47,11,-82,-45,-71,-82,-67,33,60.2713102416574,0.863902155975238,0.902045648261176,12
2020-04-15,46,10,59.9715941406365,78,19,40,9,-83,-44,-73,-81,-66,34,58.4717791022227,0.867258451980427,0.924597946945193,12
2020-04-16,46,12.5,57.4729900406322,50,25,46,16,-82,-43,-73,-82,-66,34,56.8148713087291,0.871020327285558,0.951872173821532,12
2020-04-17,72,15.5,46.052886204156,65,20,47,15,-82,-42,-74,-82,-65,35,55.2649246048964,0.872194413918608,0.967493562419557,12
2020-04-18,39,16.25,54.2233858023017,59,19,45,11,-88,-57,-82,-83,-66,28,53.7966619129963,0.874923270194936,0.976990119575508,12
2020-04-19,60,17.75,61.7808370084827,53,24,50,8,-95,-85,-90,-89,-61,24,52.3925665109579,0.876903429018978,0.980165892504896,12
2020-04-20,49,14,90.7753965932131,63,20,24,12,-81,-50,-77,-84,-63,31,51.047457964,0.879684117088761,0.981869876205667,12
2020-04-21,50,11,89.9596755786604,57,17,23,8,-81,-46,-70,-80,-62,32,49.7618133383099,0.880409427338189,0.972702653193433,12
2020-04-22,60,13.75,54.2669579506199,57,16,50,14,-81,-46,-69,-79,-61,32,48.5350526877715,0.880029862113314,0.972781481790425,12
2020-04-23,98,14.75,53.7011909802401,55,22,54,12,-80,-43,-69,-80,-61,32,47.3559357396426,0.880721450887747,0.970868213800356,12
2020-04-24,56,17,51.8865506252734,70,27,69,11,-81,-36,-70,-80,-61,33,46.2075563092251,0.878624874849484,0.978568148558681,12
2020-04-25,45,18,53.1800434838244,78,18,51,6,-92,-73,-83,-86,-74,30,45.0867797112116,0.878325435689248,0.985986416317497,12
2020-04-26,66,16.25,57.565756515344,57,10,47,7,-94,-81,-87,-87,-58,24,43.9864457692322,0.877331176536236,1.00007591631246,12
2020-04-27,37,16.5,67.8652841598164,46,14,40,11,-77,-40,-70,-80,-58,29,42.9037440092001,0.876550070496657,1.01685001328544,12
2020-04-28,46,15,80.8129371855907,46,12,33,7,-79,-43,-68,-79,-59,30,41.8406673347519,0.875066870962539,1.03973406080453,12
2020-04-29,95,13.75,86.1851320717632,46,6,36,11,-79,-42,-69,-78,-58,30,40.7964750251158,0.875239079692522,1.05946022885623,12
2020-04-30,22,14.05,87.6896910246721,21,10,37,8,-76,-29,-70,-78,-58,30,39.7682553820863,0.876685397278796,1.08377174563046,12
2020-05-01,47,15.25,77.172117511243,30,10,38,6,-93,-82,-77,-89,-89,46,38.7598745081244,0.878629048150697,1.10833427568422,12
2020-05-02,34,18.4333333333333,48.1645015737095,25,7,38,6,-84,-46,-76,-80,-62,27,37.7831088029994,0.877875564339611,1.12386079690892,12
2020-05-03,59,16.5,54.346112083669,25,6,45,6,-92,-76,-84,-85,-52,23,36.8451130810492,0.877224255929603,1.14425358751462,12
2020-05-04,85,16.75,53.8483334929941,21,9,51,13,-62,-28,-13,-64,-44,19,35.9362133689287,0.877420738428649,1.16031493168338,12
2020-05-05,12,16.9333333333333,64.8448306975556,42,16,48,12,-63,-28,-7,-62,-45,20,35.0452526974132,0.880279825503012,1.1669244308956,12
2020-05-06,37,16.75,70.2255261199889,46,20,41,17,-64,-29,-22,-63,-44,21,34.173949900622,0.882133880504507,1.16249247651133,12
2020-05-07,35,17,55.6781813516146,63,17,53,12,-62,-28,-3,-62,-44,21,33.3349519393716,0.885652383553758,1.13496694743802,12
2020-05-08,49,19.25,49.9312137067162,57,21,79,15,-63,-27,-12,-64,-44,22,32.5342268021093,0.890260562857899,1.07950737548338,12
2020-05-09,46,19.5,46.0713900770682,68,18,64,15,-67,-36,-7,-58,-47,17,31.7734305019132,0.893193550756969,0.993104302037656,12
2020-05-10,24,18.5,62.3519917558346,55,18,53,6,-74,-58,-37,-62,-30,14,31.0570899429591,0.899536196124384,0.902434489861293,12
2020-05-11,50,14,90.7435140403424,55,10,37,12,-65,-39,-63,-74,-42,21,30.3823231724102,0.901818755286263,0.842978645479534,12
2020-05-12,503,16.5,79.7567406066971,34,9,42,9,-58,-25,-7,-61,-41,20,29.7513469298475,0.906473140910138,0.84450132777407,12
2020-05-13,24,14.2666666666667,91.5358274666456,59,15,19,19,-64,-32,-51,-67,-41,21,29.159208778818,0.910593717427791,0.865108400540941,12
2020-05-14,29,18,81.5662227491516,50,22,42,11,-59,-27,-9,-61,-40,19,28.6009606384286,0.916026515764342,0.896621007616085,12
2020-05-15,24,15.8833333333333,88.0210310145527,59,10,39,13,-62,-26,-42,-69,-42,23,28.0782488316465,0.920187077683698,0.926259428073863,12
2020-05-16,26,17.0666666666667,80.1159964623985,30,19,40,7,-65,-33,-33,-60,-42,18,27.5930445235753,0.925140548762527,0.954886324350841,12
2020-05-17,46,18.5,78.9702522893584,53,12,38,7,-69,-53,-18,-56,-24,13,27.1431223014409,0.929466925363615,0.964939174268455,12
2020-05-18,20,21.25,67.418294587086,30,20,52,9,-39,-22,11,-58,-35,14,26.7256067884158,0.933790766144125,0.962837470292336,12
2020-05-19,144,18.5,68.4510652739846,53,14,36,12,-41,-21,-12,-58,-36,16,26.3385350594685,0.937929524370715,0.972649296139024,12
2020-05-20,26,19.75,64.1136152312648,46,20,57,9,-38,-19,35,-51,-35,15,25.9802372822889,0.942946559648134,0.967393956944974,12
2020-05-21,48,20.5,59.9997997476928,61,18,55,14,-38,-17,27,-53,-36,15,25.6492106882714,0.946275468300378,0.948237589986584,12
2020-05-22,51,20.9333333333333,67.7650717749748,61,25,68,16,-38,-16,22,-55,-35,16,25.3454419454337,0.948654062659935,0.922284196396423,12
2020-05-23,102,20.2666666666667,75.5398085694792,72,28,61,14,-42,-23,17,-45,-32,11,25.0655261937171,0.951387798646161,0.890204478048937,12
2020-05-24,72,19,68.4499737317259,72,9,48,15,-41,-36,32,-39,-12,6,24.803168433872,0.954474181826421,0.849217762677247,12
2020-05-25,48,19.9,55.9257033666497,30,13,55,11,-33,-20,31,-56,-34,13,24.5556563213345,0.952726234552209,0.81529928489534,12
2020-05-26,23,19,52.4667488684697,42,13,48,11,-31,-17,52,-50,-33,13,24.3229151238532,0.951384124114055,0.78098517697116,12
2020-05-27,198,18.5,49.88256167862,38,11,44,NaN,-32,-16,46,-49,-32,13,24.0947410481801,0.950442898949611,0.768515671039668,12
2020-05-28,69,20.25,50.264312967723,50,20,70,15,-33,-15,32,-51,-33,13,23.8610726353452,0.948179392378191,0.773274836281635,12
2020-05-29,58,16.9666666666667,56.5923123749173,61,13,46,9,-34,-14,18,-53,-34,15,23.6224775921501,0.944184353264358,0.789769787944929,12
2020-05-30,21,17.0333333333333,66.793869594502,53,19,55,14,-34,-17,30,-38,-27,9,23.3783473273713,0.93908421784222,0.818876485321503,12
2020-05-31,43,16.75,69.6138634116039,61,13,49,10,-34,-30,34,-34,-4,6,23.1223849471368,0.93378621341091,0.863351172716024,12
2020-06-01,8,20.75,51.2529369523232,46,16,57,13,-7,5,143,-40,-51,13,22.8479386182309,0.927396110452542,0.901202558216187,12
2020-06-02,14,16.5333333333333,74.9889503606275,57,16,69,9,-29,-40,229,-46,-79,23,22.5523262727348,0.918910154578532,0.927214678903793,12
2020-06-03,77,17.05,74.1598945764475,55,10,57,11,-32,-13,14,-49,-31,12,22.2329410217996,0.911135127369217,0.952346859850431,12
2020-06-04,1,15,93.8004679355337,34,6,32,15,-38,-19,-53,-63,-34,16,21.8846969125412,0.904597330339366,0.975864816863688,12
2020-06-05,73,17.75,73.8793195228574,21,9,55,18,-25,-12,42,-51,-31,11,21.5061971646989,0.89857600187662,1.00587875215427,12
2020-06-06,12,20.75,70.0130981601386,25,13,51,11,-29,-19,44,-42,-26,7,21.1026932138085,0.891845224876465,1.02461819991949,12
2020-06-07,7,17.5,87.0581403579777,53,10,31,8,-43,-32,-65,-66,-11,10,20.6799808759504,0.886535875608137,1.03102521973332,12
2020-06-08,51,17,85.4614757612183,21,5,37,8,-27,-19,-8,-58,-30,12,20.2396397442596,0.881058359734275,1.03956649556862,12
2020-06-09,52,17,78.7591602549613,21,8,39,9,-23,-16,17,-52,-30,11,19.7840250773956,0.875742945986903,1.04163629747383,12
2020-06-10,10,16,79.917097609539,30,10,34,13,-24,-14,-3,-52,-29,11,19.3164781684726,0.872914075434094,1.03768725557014,12
2020-06-11,39,16,85.1356927795041,34,7,41,13,-21,-9,7,-51,-29,11,18.8390472423748,0.870438388702604,1.02024549767221,12
2020-06-12,34,19.25,66.2292558645679,38,11,53,9,-19,-10,59,-49,-30,9,18.3573700636376,0.86903546984647,1.00316604231254,12
2020-06-13,22,18.8666666666667,69.4769628807784,42,13,53,9,-25,-17,62,-38,-23,5,17.8773968962857,0.869737677694571,0.980052431233457,12
2020-06-14,62,18.75,85.8382656142958,53,10,45,8,-26,-23,22,-43,1,3,17.4033634600266,0.870046371523658,0.948485909005087,12
2020-06-15,69,20.5,77.8569174806372,30,12,49,7,-21,-14,29,-52,-28,9,16.9411073862602,0.870876923211293,0.924530355036778,12
2020-06-16,12,19.6666666666667,76.8048666326493,46,10,41,8,-17,-11,46,-48,-28,9,16.4932492815067,0.869292040198333,0.907827413508649,12
2020-06-17,69,17.8833333333333,81.3644633161876,38,6,44,NaN,-19,-11,21,-49,-28,10,16.0592836113767,0.870672795418871,0.886067315364878,12
2020-06-18,55,19.5,68.4291222932683,17,11,48,11,-16,-10,47,-47,-28,9,15.6357450138392,0.87090515081468,0.877025550392486,12
2020-06-19,32,17.5,80.1159964623985,30,10,46,14,-20,-13,29,-50,-30,9,15.2231667821287,0.873446706710907,0.879696520011108,12
2020-06-20,31,20.5,59.5562848251778,30,8,59,11,-20,-13,91,-32,-21,2,14.8233817032879,0.875502781765624,0.87760746303991,12
2020-06-21,24,23,50.2474369556149,25,7,55,6,-22,-24,69,-30,1,-2,14.438642964985,0.877527141572197,0.880894372029951,12
2020-06-22,51,23.75,49.7595657327113,30,10,79,17,-16,-13,68,-46,-29,7,14.0705881466426,0.878769356137162,0.879752374841173,12
2020-06-23,6,25,50.9975195387126,42,15,92,12,-13,-10,90,-40,-29,7,13.7184150904205,0.878741140330913,0.874588196176413,12
2020-06-24,15,24.3,58.133103998518,53,21,75,13,-15,-9,70,-42,-26,7,13.3798101363395,0.880851028891056,0.866470380663022,12
2020-06-25,79,23,63.9489313813987,59,21,64,10,-15,-8,46,-44,-27,7,13.0514977913473,0.882475461741662,0.872793286875442,12
2020-06-26,44,22.7833333333333,70.1445020675988,59,14,66,16,-15,-9,58,-44,-29,7,12.734161969606,0.885293113524808,0.893241222228833,12
2020-06-27,22,23.4,71.1914129901316,50,21,78,6,-21,-14,83,-29,-24,1,12.4292879198958,0.888032080733605,0.917001536809466,12
2020-06-28,20,25.5,62.3773024389908,63,17,71,5,-24,-23,53,-29,4,-3,12.137767066685,0.893007839311906,0.952495151248447,12
2020-06-29,13,25,66.1318619640163,57,18,68,7,-15,-10,61,-45,-27,6,11.8604104757806,0.895154724519284,0.98782571866246,12
2020-06-30,5,24.75,66.1562847035392,57,20,57,9,-10,-8,84,-40,-26,6,11.59916734383,0.899213052652935,1.00779068626811,12
2020-07-01,22,24.5,72.3940599508649,57,23,72,14,-12,-8,44,-38,-25,6,11.3527947661581,0.903042787989877,1.01288818816349,12
2020-07-02,23,24.5,72.6679651089313,61,18,85,9,-13,-10,44,-40,-26,6,11.1196986461544,0.909142706101814,1.02451423193868,12
2020-07-03,22,21,69.385226367851,57,8,55,8,-19,-13,9,-44,-29,8,10.9002536003863,0.914467200852862,1.01191174778213,12
2020-07-04,31,23.25,67.5941054108595,30,9,60,8,-17,-13,84,-24,-23,0,10.6964450494712,0.918087311770033,0.993822212997276,12
2020-07-05,33,25,67.2560653674963,30,14,70,6,-22,-22,54,-20,-1,-3,10.5086263050214,0.922200026778127,0.969611672510947,12
2020-07-06,17,26.75,61.7337640752511,50,23,90,6,-14,-12,59,-41,-27,5,10.3337397724383,0.924897017787705,0.942715750949604,12
2020-07-07,29,21.75,53.5160810474574,70,12,47,6,-9,-7,83,-36,-27,5,10.169566478909,0.93010986173572,0.919497089571757,12
2020-07-08,30,23,50.0146586796381,30,16,66,8,-11,-10,84,-35,-25,5,10.0150191721602,0.936007378742268,0.89765501902482,12
2020-07-09,28,24.25,59.4692004048853,46,24,89,10,-12,-10,73,-37,-26,5,9.87133479693992,0.938898389420594,0.871619921826379,12
2020-07-10,56,26.5,59.0089016874821,63,27,108,8,-14,-12,71,-37,-28,5,9.74067765243858,0.942296235083348,0.86572999774345,12
2020-07-11,5,23.0333333333333,76.5228074405731,68,20,72,7,-20,-15,37,-30,-24,2,9.62089301489491,0.945446321432855,0.845259121099197,12
2020-07-12,21,22,58.549020231533,63,7,45,5,-18,-20,58,-17,2,-4,9.50929333299392,0.946420250582219,0.846939545006479,12
2020-07-13,43,20.75,54.9517706071294,17,10,50,9,-12,-10,61,-39,-27,5,9.4053055236458,0.948537605137045,0.855948264772762,12
2020-07-14,15,20.0666666666667,66.6894602289771,30,13,55,9,-7,-9,80,-36,-26,5,9.30709263707134,0.951010907750429,0.863806089983175,12
2020-07-15,15,19.9166666666667,71.6741958828879,42,16,65,11,-11,-10,49,-38,-25,5,9.21395748615544,0.953470210297573,0.879685827548631,12
2020-07-16,17,22.25,69.2543661968005,53,20,75,9,-9,-9,64,-37,-25,5,9.12739344489565,0.954439019568999,0.89058692960885,12
2020-07-17,18,21.75,73.0690205001984,53,21,54,8,-12,-10,52,-39,-28,5,9.04829704231345,0.955346312350579,0.915300460180608,12
2020-07-18,29,21.4333333333333,60.4881872092066,61,8,48,8,-16,-16,91,-23,-22,-1,8.97527811907928,0.956694018766653,0.940571515152939,12
2020-07-19,8,22.5,55.4956274978817,21,10,70,6,-19,-21,63,-17,2,-5,8.90717396821352,0.958889858858407,0.961006040464722,12
2020-07-20,22,24.5,56.4593579715053,38,18,81,15,-11,-11,77,-39,-25,4,8.84464135624474,0.960216853195073,0.997413235375984,12
2020-07-21,6,25,60.2889262681738,57,20,91,11,-8,-10,100,-37,-24,4,8.78930572797272,0.962394871641833,1.01851627770334,12
2020-07-22,7,26,58.7228705902184,59,18,103,12,-11,-11,68,-35,-24,5,8.74131822099531,0.965069010371397,1.03399420560951,12
2020-07-23,27,24.5,67.736874691555,55,14,91,8,-10,-8,68,-36,-25,4,8.7012363925268,0.965974849301929,NaN,12
2020-07-24,8,18.5,91.0329188360983,42,11,54,99,-15,-11,21,-41,-27,6,8.67055164116661,0.967924389803342,NaN,12
2020-07-25,19,22.5,64.5243824313096,30,9,73,16,-16,-16,98,-21,-23,-2,8.64853683157778,0.968022005397077,NaN,12
2020-07-26,25,23.5,65.9788010561764,34,12,58,12,-16,-18,58,-16,2,-5,8.63487987177692,0.968081031364843,NaN,12
2020-07-27,8,25,70.8639642811125,42,16,79,9,-10,-9,75,-37,-27,3,8.62857402939826,0.968952434670082,NaN,12
2020-07-28,22,26.75,63.3393651807932,50,21,118,12,-8,-9,90,-37,-26,4,8.62891294895507,0.969620987061941,NaN,12
2020-07-29,9,26.5,65.1192141680268,63,19,89,15,-9,-9,76,-34,-26,4,8.63743495020121,0.96949355080346,NaN,12
2020-07-30,17,29,61.390729667938,57,26,66,12,-10,-9,66,-36,-27,4,8.65483998097992,0.968612284398624,NaN,12
2020-07-31,18,28.25,62.9265805486578,70,20,108,17,-11,-12,68,-35,-29,3,8.68008654332918,0.969091532620119,NaN,12
2020-08-01,11,27.25,60.9181773833131,57,NaN,NaN,NaN,-18,-18,75,-21,-26,-1,8.71186662522734,0.969551195808888,NaN,12
