date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,so2,retail,grocery,parks,transit,work,home,infections,rt1,rt2
2020-03-29,179,14.25,55.9915258614997,82,63,46,20,2,-96,-84,-93,-86,-65,24,93.211440134207,0.746896570413781,0.862447712478476
2020-03-30,97,11.9,67.1314519674673,74,25,39,21,2,-85,-51,-87,-88,-77,37,88.3880087606911,0.744576522406724,0.867320240771076
2020-03-31,100,5.35,70.4017892622365,57,13,32,23,2,-92,-50,-84,-87,-77,38,83.728932172403,0.742267034525432,0.863163738440079
2020-04-01,81,6.75,52.2357269379616,42,20,38,28,4,-92,-46,-80,-86,-76,39,79.2567772119802,0.7425994717869,0.861866604081108
2020-04-02,90,8.5,53.6228728886721,63,30,39,38,2,-92,-45,-82,-86,-77,39,74.9842115747339,0.740626745495937,0.859110492524985
2020-04-03,141,9.75,56.0100475752334,93,39,48,36,NaN,-87,-48,-82,-86,-76,40,70.9251283506876,0.739674353723882,0.855305656898199
2020-04-04,161,11.25,55.4313271277917,102,40,55,35,NaN,-91,-63,-88,-82,-70,28,67.073244000188,0.740983510149928,0.858823919412963
2020-04-05,111,12.25,50.1071315662364,102,27,48,25,NaN,-96,-83,-93,-86,-64,24,63.4133440754606,0.741120634393163,0.861796226874199
2020-04-06,111,14,49.5326832343051,80,27,55,32,3,-85,-44,-84,-86,-73,36,59.9525887925583,0.742076766360576,0.868261695204151
2020-04-07,49,15.5,38.0572364181155,74,33,58,39,3,-84,-43,-82,-86,-74,37,56.6895130497963,0.744646782296394,0.866789673664742
2020-04-08,58,15.25,44.6460773401675,91,30,55,35,3,-84,-41,-80,-86,-73,37,53.6134830443905,0.745781394752487,0.86294073291713
2020-04-09,91,15.25,44.9209200464315,76,25,60,36,3,-83,-36,-82,-85,-73,37,50.7233702371938,0.747492636387505,0.856004912246233
2020-04-10,69,15.75,45.0057113999656,80,30,59,39,3,-83,-38,-80,-85,-74,39,48.009493980296,0.750678575399736,0.85113948182607
2020-04-11,151,18,28.4741678564931,74,21,65,28,3,-89,-58,-86,-81,-69,28,45.4579258318312,0.753273207913446,0.844221222282358
2020-04-12,64,17.5,25.1648778474113,63,13,49,20,4,-97,-97,-92,-87,-70,24,43.0658455516991,0.754220547108796,0.84867273031025
2020-04-13,81,17.75,33.8329801496174,46,16,55,17,3,-96,-86,-89,-93,-93,45,40.8258887377808,0.755515058222827,0.856064341221337
2020-04-14,101,14,62.5290082705407,61,27,45,26,3,-83,-45,-81,-84,-70,35,38.719571128316,0.758927718998789,0.864766455595118
2020-04-15,57,11.25,50.6156146311129,89,14,41,21,3,-83,-43,-78,-84,-69,35,36.7330852699578,0.760256399758066,0.87624801170225
2020-04-16,54,13.8666666666667,42.0017567727732,30,28,39,32,3,-81,-41,-80,-84,-69,36,34.866900301348,0.762668952135043,0.8833535043846
2020-04-17,43,16.75,40.4515776060462,63,27,48,23,2,-82,-44,-78,-84,-68,37,33.113773853404,0.764510930246735,0.898868769429751
2020-04-18,67,17,61.5526458664419,80,25,50,22,1,-88,-58,-84,-79,-65,27,31.4631972511946,0.76642056034627,0.908388511007988
2020-04-19,56,17.25,71.2176481340246,53,18,45,16,NaN,-95,-82,-91,-83,-60,23,29.9087225014553,0.767695717860383,0.913298060331606
2020-04-20,59,14.25,90.4680011256354,42,18,27,16,NaN,-81,-51,-86,-85,-67,34,28.4439133838999,0.770358805215279,0.915574912376655
2020-04-21,54,11.8666666666667,84.9547778397428,61,21,28,21,NaN,-81,-46,-82,-85,-67,34,27.0611839030893,0.771685355134431,0.916518030341698
2020-04-22,42,15.5,51.6493644317337,63,19,51,20,1,-81,-43,-73,-83,-65,34,25.7575143244933,0.775036558628003,0.910785345350285
