date,daily_cases,med_temp,med_hum,pm25,pm10,no2,retail,grocery,parks,transit,work,home,infections,rt1,rt2
2020-04-10,73,14,74.5364949752338,85,37,23,-82,-36,-81,-81,-71,31,15.5684379998947,0.572089681352764,0.828744445683194
2020-04-11,37,14.6,81.9676731433945,86,34,14,-87,-49,-84,-81,-65,25,14.0852916028559,0.5727587257551,0.811803859768377
2020-04-12,62,14.2,91.997905950843,86,28,9,-97,-96,-94,-92,-74,24,12.7431657382697,0.575054726339557,0.798640668067252
2020-04-13,61,15,85.7149719499887,68,25,8,-97,-95,-92,-94,-92,37,11.5305154035374,0.577834029139424,0.786148876261077
2020-04-14,78,14.7333333333333,64.5981186350195,70,26,10,-85,-54,-82,-82,-70,29,10.4374775756133,0.58109592859084,0.78712690469111
2020-04-15,16,12,37.5871634494952,63,22,3,-84,-49,-81,-81,-69,29,9.4546009676515,0.587106642816171,0.78825427736918
2020-04-16,46,13.25,54.8771835079558,37,15,10,-83,-46,-81,-81,-68,30,8.57172599853646,0.591760347669504,0.787372261007564
2020-04-17,37,15.25,74.4509499651203,34,25,15,-82,-40,-81,-81,-68,30,7.78090771102244,0.59900093888371,0.78192753764506
2020-04-18,21,16,78.573510089177,50,23,10,-86,-47,-85,-81,-62,25,7.07354911011386,0.60621643621157,0.772558768020732
2020-04-19,29,18,69.9007851492786,49,27,10,-95,-79,-91,-88,-65,23,6.44138615564148,0.613354617682118,0.753801103047314
2020-04-20,22,16,91.9007869360813,45,26,10,-83,-54,-84,-83,-67,28,5.87711435849654,0.620632457205588,0.731325600441237
2020-04-21,46,15.65,86.5842174546978,48,23,13,-81,-44,-80,-80,-67,28,5.3730221383139,0.630762096739806,0.709179666115371
2020-04-22,36,15,93.7787042758823,43,14,12,-84,-53,-84,-82,-68,29,4.92196221141494,0.64059493620287,0.689525823457674
2020-04-23,53,15.25,62.314416805954,34,11,4,-81,-40,-80,-80,-66,29,4.51918791094106,0.649218930718178,0.679852096860332
2020-04-24,18,15,71.8780436044291,38,16,9,-78,-28,-77,-78,-64,28,4.16021722806473,0.65961016144191,0.677867973210569
2020-04-25,19,14.9833333333333,83.1357210058315,47,17,9,-90,-66,-87,-85,-70,27,3.83943821193002,0.669566941028401,0.683960214439129
2020-04-26,22,15.8166666666667,64.5674896913834,46,15,8,-96,-93,-91,-89,-66,23,3.55232568938804,0.680490971188617,0.694831869279342
2020-04-27,14,16.1,74.6894314368506,35,15,12,-75,-37,-75,-77,-61,25,3.29533241141324,0.691851583368815,0.708872746006927
2020-04-28,16,16.7,82.5164941466357,36,30,22,-77,-39,-76,-77,-62,26,3.06523822574191,0.701622267506072,0.724849975379989
2020-04-29,11,16.9,81.4068765166961,53,21,9,-77,-37,-74,-75,-61,26,2.85934337900481,0.712174183930561,0.739927650068372
2020-04-30,7,16.9333333333333,75.5000463850939,35,21,9,-72,-22,-71,-74,-60,25,2.67458966932629,0.724097199474872,0.743985052715806
2020-05-01,20,17,77.5015126923004,34,16,6,-94,-92,-85,-90,-86,38,2.50828625131419,0.73539551818152,0.752722319191735
2020-05-02,11,17.6833333333333,82.6118800070706,28,25,7,-78,-31,-75,-73,-51,22,2.35880104435678,0.746487942705625,0.753697221837408
2020-05-03,14,17.25,75.09239313529,33,20,5,-90,-69,-82,-82,-51,20,2.22452989959014,0.755762110052602,0.762699667174401
2020-05-04,5,17.85,48.5419616647568,27,10,6,-60,-26,-48,-60,-47,18,2.10361583340826,0.766649931304949,0.757152846088361
2020-05-05,13,17.1166666666667,71.4345478459508,23,20,19,-59,-24,-45,-60,-49,18,1.99413817750753,0.776235728232505,0.755752669154103
2020-05-06,15,19,59.8180844060139,42,21,13,-60,-23,-44,-59,-48,19,1.89490880254894,0.787486015294282,0.76979010174629
2020-05-07,5,18,39.7842500495136,39,17,4,-60,-23,-47,-61,-48,19,1.80498187081628,0.798312437537019,0.770012637502237
2020-05-08,8,17.6166666666667,43.0789313804394,32,16,17,-60,-21,-44,-60,-47,20,1.72359162947715,0.81073522328297,0.770082084214867
2020-05-09,7,17.6,66.4524966951181,35,20,19,-62,-20,-41,-53,-37,15,1.65012592325192,0.820945229593343,0.770021505150879
2020-05-10,4,18.9,50.4545696033341,51,24,20,-70,-48,-49,-59,-21,12,1.58406016597986,0.830631899082985,0.759675613324879
2020-05-11,11,19,80.3659868218114,55,40,16,-57,-29,-47,-60,-44,17,1.52457518819169,0.839955238149427,0.74913527694646
2020-05-12,5,18.8833333333333,78.9335515893203,49,45,13,-54,-22,-34,-56,-44,17,1.4706737959597,0.851761145561542,0.752911084422168
2020-05-13,8,22.2833333333333,51.5421504396806,45,39,14,-58,-26,-46,-58,-44,17,1.42169979189043,0.864747079637289,0.753180580083044
2020-05-14,2,25.25,40.5555955374294,54,56,21,-56,-23,-43,-59,-44,18,1.3776078401875,0.87557853471498,0.755652225137046
2020-05-15,12,20.0666666666667,68.0569335283686,76,44,16,-56,-19,-42,-59,-42,18,1.3385009076312,0.88634508132917,0.773234613197373
2020-05-16,5,25.5,35.8755788102205,59,45,22,-58,-20,-37,-53,-31,13,1.3038743299726,0.897905146427835,0.799620221991256
2020-05-17,3,24.1333333333333,46.4003237328077,75,50,13,-65,-42,-39,-58,-18,11,1.27308796349344,0.90855583367359,0.811741475060866
2020-05-18,1,25.05,46.2713180582629,74,50,16,-40,-17,-27,-50,-37,13,1.24593608598457,0.92058248778229,0.840137410243189
2020-05-19,4,19.7,79.7318861451233,75,37,13,-39,-13,-20,-48,-37,13,1.22223717242836,0.930451925231802,0.878529948474401
2020-05-20,5,17,88.1011015877247,48,19,13,-50,-25,-55,-58,-40,16,1.20182234741034,0.94082014261083,0.905430290758484
2020-05-21,2,20,46.2828123497443,40,19,8,-37,-10,-20,-47,-36,13,1.18438692643079,0.951835610161107,0.946258937338402
2020-05-22,2,20.25,46.967736589479,41,16,9,-38,-10,-15,-47,-35,13,1.16963736544488,0.959908375070088,0.958257181593791
2020-05-23,0,19.9833333333333,70.6600371606641,43,22,19,-37,-9,1,-33,-21,7,1.15758290600072,0.970643050352806,0.941648692778241
2020-05-24,4,20.15,68.9057450764085,53,17,15,-41,-27,0,-37,-7,5,1.14794444339534,0.978816312149831,0.937881971542962
2020-05-25,2,21.85,29.8983285831768,40,19,9,-33,-15,-20,-47,-35,12,1.14062389990445,0.988499514288699,0.922615742557375
2020-05-26,4,20.2833333333333,37.3184679586176,42,15,5,-34,-13,-18,-45,-34,12,1.13548334226936,0.998254587416754,0.882799146627967
2020-05-27,2,19.1666666666667,40.1786521306498,28,14,4,-32,-8,-16,-42,-34,11,1.1323619678551,1.00870652909567,0.848527613793847
2020-05-28,4,19.4,47.7139254635014,29,18,13,-31,-7,-13,-43,-33,11,1.1312965485355,1.01813107618147,0.81947073954944
2020-05-29,10,18.4666666666667,59.2614760314731,36,23,22,-35,-7,-20,-45,-33,12,1.13240296315474,1.02861573774194,0.808825985673215
2020-05-30,1,16,74.9393060202059,49,NaN,NaN,-36,-6,-27,-39,-19,7,1.13565762470758,1.0385281293205,0.809652701480499
2020-05-31,1,16.0166666666667,75.6730906800598,NaN,9,8,-39,-25,-8,-40,-1,5,1.14106988766738,1.04868603621883,0.796441859735334
2020-06-01,3,19.5,56.0413301701648,33,17,15,-19,2,-3,-40,-35,9,1.14869255839068,1.05588661290311,0.812629667217828
2020-06-02,1,20,61.1620544637725,44,14,12,-19,-26,57,-41,-63,13,1.15850516031441,1.06377275596669,0.792778935766281
2020-06-03,4,20.2333333333333,74.3873205502252,37,21,22,-27,-4,-4,-33,-31,8,1.17026342523297,1.07218008094652,0.78022863370109
2020-06-04,4,22.5,58.2983134888365,48,18,19,-27,-4,-9,-36,-31,9,1.18379477419352,1.07957473200589,0.813569526926947
2020-06-05,0,18,88.1551118962097,40,21,15,-38,-17,-44,-50,-35,13,1.1991812280915,1.08822293816668,0.823909784150016
2020-06-06,1,20.25,66.5446608329518,39,23,17,-22,-3,17,-20,-15,2,1.21651289166843,1.1000511069085,0.848171294362511
2020-06-07,1,20.85,71.2925816417558,49,19,14,-25,-16,11,-24,1,0,1.23599349121631,1.1069781212334,0.833603805979121
2020-06-08,0,20.5666666666667,78.1490222027596,30,20,18,-23,-8,-19,-39,-30,8,1.25811613742485,1.11484330775343,0.818065604657042
2020-06-09,3,21,61.2870423857228,41,20,13,-18,-5,3,-33,-30,8,1.28277874993652,1.12207774661145,0.829771549915863
2020-06-10,3,19.5333333333333,65.0518806325369,34,20,13,-20,-5,-2,-33,-29,8,1.30972123058948,1.13036259392348,0.845326804712301
2020-06-11,2,18.95,66.6240603061328,34,19,18,-19,-4,-9,-36,-30,8,1.33899505716109,1.13905026485099,0.872720420175801
2020-06-12,0,20.5,58.5997371812089,37,30,23,-18,-2,5,-34,-29,6,1.37080224170757,1.14657142557883,0.891365272541105
2020-06-13,1,21.55,66.6005246520223,43,31,21,-24,-7,11,-24,-12,1,1.40544397085496,1.15480261315951,0.886783481474179
2020-06-14,0,21.25,66.6711680518938,57,22,12,-23,-17,20,-21,3,-2,1.44303450627421,1.15829078045388,0.909970528180281
2020-06-15,4,21.3833333333333,69.5337801661022,35,29,16,-17,-8,0,-33,-27,6,1.48360029746737,1.16579815575909,0.941324588506197
2020-06-16,0,21.55,73.2284179089469,42,29,18,-16,-5,2,-32,-28,7,1.52680052814674,1.17072911972315,1.00781487162418
2020-06-17,0,21.1833333333333,70.971890381706,44,31,16,-17,-4,12,-29,-27,6,1.57280354071095,1.17908631701737,0.994712850511912
2020-06-18,1,21.9833333333333,66.3328110971554,43,33,17,-15,-7,9,-31,-28,6,1.62184977215126,1.18660192856278,1.0774383325682
2020-06-19,0,21.5166666666667,67.3694116506111,43,24,23,-19,-5,1,-33,-28,6,1.67437180609452,1.19380809506078,1.0982465356933
2020-06-20,1,23.05,61.3598106727923,47,28,18,-19,-8,25,-20,-11,-1,1.73092133412747,1.20149810054077,1.10198860937049
2020-06-21,1,19.85,67.4177788187376,51,23,23,-26,-17,2,-26,4,-2,1.79157574019241,1.20809797653444,1.07445043500148
2020-06-22,0,23.2833333333333,53.6520189467825,42,12,12,-15,-6,0,-32,-28,6,1.85653542883206,1.21629929858161,1.03862491978503
2020-06-23,1,26.75,38.0210905509575,32,17,10,-13,-6,13,-31,-28,6,1.92603575559047,1.22298912214733,1.00894410000878
2020-06-24,0,25,45.4293811831527,41,26,23,-11,-3,18,-27,-25,5,2.00055885956895,1.23392036875979,0.99111084672755
2020-06-25,3,24.4166666666667,61.8578466496537,56,33,30,-14,-5,15,-29,-27,5,2.08048397477156,1.24392958596412,0.991907279202205
2020-06-26,4,26.5,44.7635460186836,66,30,27,-16,-4,15,-30,-27,4,2.16678975045854,1.25335526476378,1.01306234280619
2020-06-27,0,26.75,43.3067418866874,57,36,36,-20,-9,31,-18,-15,-2,2.26059818926434,1.26014031910062,1.05828151151331
2020-06-28,0,27.0166666666667,46.7301504782154,66,36,33,-26,-16,19,-21,4,-5,2.36224521751053,1.26895982092267,1.07483178136775
2020-06-29,0,25.75,62.3694689698062,63,33,27,-11,-4,16,-30,-26,3,2.47145960124874,1.2788554521099,1.12551890240038
2020-06-30,1,26,65.587541554801,54,27,22,-8,-3,20,-31,-26,4,2.5888317388768,1.28890720629594,1.17008230092863
2020-07-01,0,26.3666666666667,64.9496837604289,52,29,22,-9,-2,22,-28,-26,3,2.71589150796225,1.29576804509897,1.25304853278724
2020-07-02,3,27.1666666666667,57.2313774284021,53,36,27,-12,-5,13,-31,-27,4,2.85378352089367,1.30455432246276,1.34031329785323
2020-07-03,0,26.4666666666667,68.526147236914,61,37,21,-14,-5,19,-29,-27,3,3.00267327778972,1.31381880956251,1.41382630071068
2020-07-04,0,24.75,64.8144917090972,56,20,12,-19,-9,12,-24,-15,0,3.16340964613668,1.31969735797287,1.48489989078426
2020-07-05,1,26.25,52.786325698594,51,13,9,-23,-14,23,-20,3,-5,3.33752066890951,1.32558567464007,1.51301280002113
2020-07-06,0,27.1166666666667,48.8959183070915,31,29,25,-11,-5,20,-29,-27,3,3.52548181009797,1.32981959025304,1.54167586377947
2020-07-07,0,27.1666666666667,44.4904078421413,54,33,26,-8,-5,24,-29,-27,4,3.72768233365634,1.33145621265074,1.52595196615806
2020-07-08,0,26.25,45.9253812165842,52,26,16,-10,-6,24,-28,-25,3,3.94456066958233,1.33671399068522,1.48376097997641
2020-07-09,1,26.6166666666667,59.2946907888888,48,29,21,-11,-5,19,-29,-26,3,4.17604056163991,1.34185785185428,1.47634779395174
2020-07-10,2,27.25,67.4377121750898,57,35,31,-14,-6,22,-29,-27,2,4.42366378479208,1.34318960042608,1.4383982561923
2020-07-11,1,26,68.5391268336802,62,33,22,-21,-14,29,-22,-13,-3,4.69004700613345,1.34388329114273,1.44924849064841
2020-07-12,2,28,53.2933838903892,52,26,20,-26,-16,18,-21,4,-6,4.97569519016229,1.34433396695872,1.44441218125872
2020-07-13,3,26,38.4647631639301,50,27,13,-9,-5,19,-28,-26,2,5.28015060326446,1.34892499667705,1.41651273669153
2020-07-14,0,25,41.6327192863145,42,27,21,-7,-5,29,-28,-26,3,5.60446097672263,1.34902664645853,1.41094562421378
2020-07-15,3,24.6,57.081267953524,43,27,25,-8,-5,28,-27,-25,3,5.95243049134639,1.34651985022345,1.42809278603012
2020-07-16,3,24.85,66.5582771257498,43,27,24,-7,-7,24,-27,-25,2,6.32582351141139,1.34635780067735,1.44474773268552
2020-07-17,1,23.5,69.0857126778554,46,26,23,-13,-7,23,-28,-26,2,6.72342849268452,1.34538596787305,1.44485158560628
2020-07-18,8,23.45,51.8797585163109,39,20,14,-17,-11,34,-18,-12,-2,7.14683167493466,1.34431621910371,1.43455242246982
2020-07-19,2,24.25,46.4395933184952,41,16,11,-22,-14,31,-15,6,-6,7.59921018033093,1.34041168864731,1.45906102820407
2020-07-20,1,25.5666666666667,55.1513220363877,33,25,26,-9,-6,27,-26,-24,2,8.08256035638118,1.34042700671377,1.45716127628289
2020-07-21,1,27.25,56.3944047977394,49,30,28,-7,-7,35,-27,-25,2,8.59708726610747,1.33988664174498,1.44076617942718
2020-07-22,3,27.75,55.1418827120348,56,41,38,-9,-7,32,-26,-25,2,9.14621041425221,1.34124807917967,1.40758092243891
2020-07-23,5,26.5333333333333,65.4912296174555,67,35,29,-9,-7,31,-27,-25,2,9.73516991267403,1.33996201033705,NaN
2020-07-24,2,25.5333333333333,75.0021851711203,53,27,28,-12,-6,34,-24,-26,2,10.369603257151,1.34032305324083,NaN
2020-07-25,17,26.6833333333333,61.7216021010399,47,23,19,-18,-12,39,-17,-13,-3,11.052255811444,1.34135519402279,NaN
2020-07-26,5,26.4166666666667,52.2538625976749,43,21,16,-20,-13,35,-11,8,-8,11.7877189493338,1.34479617223394,NaN
2020-07-27,7,27.5,51.3412469297327,40,30,30,-7,-5,34,-24,-28,1,12.5842518316097,1.34355273956303,NaN
2020-07-28,20,27.7166666666667,56.7467566002884,52,32,31,-5,-3,38,-25,-27,2,13.4521257184742,1.34367377675604,NaN
2020-07-29,11,28.25,56.8383297142015,55,31,28,-7,-5,39,-24,-27,2,14.3947641387454,1.34450594088673,NaN
2020-07-30,11,28.85,63.4154309489229,54,32,32,-8,-7,32,-26,-28,2,15.415455261201,1.34656912746513,NaN
2020-07-31,4,28.3333333333333,69.9135645992127,58,28,25,-13,-6,29,-26,-29,1,16.5267229116968,1.34325384659458,NaN
2020-08-01,6,27.6,65.9115739353609,45,30,23,-24,-15,23,-19,-18,-4,17.7441767588004,1.34110866305019,NaN
