date,daily_cases,med_temp,med_hum,pm25,pm10,no2,retail,grocery,parks,transit,work,home,infections,rt1,rt2,city_id
2020-03-31,154,5.65,71.3315455121077,63,10,11,-93,-49,-78,-79,-75,36,155.2489209251,0.724218939477036,0.870228846303016,13
2020-04-01,231,5.95,65.7319175477903,34,15,11,-93,-48,-78,-78,-74,37,145.95206430759,0.729229016135985,0.893469615415902,13
2020-04-02,159,6.975,68.6999743963737,50,20,10,-93,-47,-78,-78,-75,37,137.373443203441,0.733731198631044,0.910943262074703,13
2020-04-03,257,9.2,69.8256608090546,61,30,16,-89,-45,-79,-79,-74,39,129.448907954918,0.739035118528666,0.924751411629466,13
2020-04-04,166,10.6,69.4007483334953,85,32,40,-92,-59,-87,-82,-70,29,122.12174477998,0.741778803795648,0.932802702214953,13
2020-04-05,160,13.5,64.6719383150871,87,20,15,-96,-90,-92,-86,-64,25,115.344258692106,0.745744488965027,0.932990961062102,13
2020-04-06,137,14.05,59.8727119549654,63,21,18,-87,-44,-75,-77,-69,33,109.049148898612,0.749920793915645,0.922739400132194,13
2020-04-07,117,11.7,56.6997894200884,63,27,22,-85,-43,-75,-77,-69,34,103.183316968448,0.754811969939823,0.906803358617126,13
2020-04-08,315,13.075,60.6564835552232,68,21,30,-85,-43,-76,-77,-69,34,97.7241086920817,0.759412917008102,0.881581724291058,13
2020-04-09,213,12.7,64.3591051166975,57,25,28,-85,-37,-77,-76,-69,34,92.6519536654913,0.765009140300055,0.851560161791398,13
2020-04-10,247,13.85,62.314895566929,63,25,36,-85,-32,-79,-76,-70,36,87.9394119120215,0.769351887814302,0.837977493654018,13
2020-04-11,230,14.875,64.5374065292671,65,21,27,-90,-52,-88,-81,-68,28,83.5662378306898,0.772749120050447,0.829635395533224,13
2020-04-12,269,16.25,57.5994288662587,57,14,6,-97,-96,-93,-88,-66,25,79.5043392000758,0.775794577655838,0.829101979522701,13
2020-04-13,190,17.675,57.5943366359512,46,15,8,-96,-88,-86,-90,-91,42,75.7134234336419,0.77908153890007,0.82924067197704,13
2020-04-14,35,14.425,82.6924517410104,50,23,12,-84,-43,-73,-75,-63,31,72.1597758781852,0.781711603585694,0.824624426186953,13
