date,daily_cases,med_temp,med_hum,pm25,retail,grocery,parks,transit,work,home,infections,rt1,rt2,city_id
2020-02-24,0,13.2,54.6585562659158,NaN,-7,20,28,-22,-23,6,79.273373504543,1.895176121012,NaN,21
2020-02-25,3,6,100,112,-13,-1,2,-26,-23,8,91.6629349576051,1.87789769032655,NaN,21
2020-02-26,0,4.35,39.011838912788,139,-16,-9,-15,-31,-21,8,104.96641960984,1.85492209276403,NaN,21
2020-02-27,0,2.35,37.2407233334992,34,-12,-7,-9,-27,-19,8,119.724579354732,1.8288687280407,NaN,21
2020-02-28,9,5.75,29.7906987654019,25,-10,-5,21,-23,-18,7,136.350753916026,1.79741265490155,1.72379265825945,21
2020-02-29,0,4.5,50.6683499591079,50,-14,-4,-10,-19,-8,4,154.86792454403,1.75870778222268,1.71873631252541,21
2020-03-01,38,2.75,98.3213816978733,70,-14,-10,0,-16,-3,2,175.228088467545,1.71165953389478,1.71035607255502,21
2020-03-02,0,2.45,100,NaN,-14,-12,-41,-29,-16,7,197.342011674139,1.66216743669059,1.70516160526856,21
2020-03-03,1,5.2,27.4172194648581,NaN,-3,-2,20,-19,-14,5,220.986931024384,1.60830925117108,1.70794136262681,21
2020-03-04,4,5.1,34.2621216984435,25,-5,-1,27,-20,-14,5,245.877249667338,1.55126717641554,1.70452043805954,21
2020-03-05,8,3.45,96.9963633742102,46,-14,-5,-23,-26,-15,7,271.649568945166,1.49178588490839,1.68038901028169,21
2020-03-06,15,2.95,98.3213816978733,65,-15,-3,0,-26,-16,8,297.82152259514,1.4269162559294,1.66898705304233,21
2020-03-07,21,6.3,24.0346156247757,65,-18,-3,19,-20,-8,4,323.812781687716,1.36229702860469,1.65261831729665,21
2020-03-08,34,6,33.8986591758046,63,-33,-9,-2,-25,-6,4,348.88186999933,1.29977322964954,1.618387407964,21
2020-03-09,0,5.5,80.3792642267637,46,-30,-4,-17,-41,-24,11,372.048649733453,1.23833152853924,1.59694244777577,21
