date,region,positive,total
20200415,Roma,105,810
20200416,Roma,102,4417
20200417,Roma,121,2321
20200418,Roma,130,4332
20200419,Roma,64,1658
20200420,Roma,51,5114
20200421,Roma,56,1546
20200422,Roma,68,3426
20200423,Roma,56,4970
20200424,Roma,48,1996
20200425,Roma,73,3203
20200426,Roma,67,2619
20200427,Roma,68,2533
20200428,Roma,73,3791
20200429,Roma,52,3226
20200430,Roma,62,3574
20200501,Roma,51,5654
20200502,Roma,56,2183
20200503,Roma,48,3472
20200504,Roma,37,2318
20200505,Roma,57,3415
20200506,Roma,75,3321
20200507,Roma,37,4218
20200508,Roma,47,3759
20200509,Roma,38,4001
20200510,Roma,27,3477
20200511,Roma,21,2376
20200512,Roma,16,2681
20200513,Roma,25,2334
20200514,Roma,17,1777
20200515,Roma,63,4041
20200516,Roma,26,3525
20200517,Roma,39,3298
20200518,Roma,30,2543
20200519,Roma,8,1762
20200520,Roma,20,2837
20200521,Roma,15,2533
20200522,Roma,25,4048
20200523,Roma,15,3044
20200524,Roma,16,2204
20200525,Roma,11,1610
20200526,Roma,15,2606
20200527,Roma,9,2716
20200528,Roma,14,2471
20200529,Roma,13,2660
20200530,Roma,5,3434
20200531,Roma,11,1765
20200601,Roma,6,1253
20200602,Roma,5,2539
20200603,Roma,10,2359
20200604,Roma,11,2919
20200605,Roma,9,3181
20200606,Roma,18,1994
20200607,Roma,17,3813
20200608,Roma,16,1756
20200609,Roma,19,3046
20200610,Roma,11,2480
20200611,Roma,16,3406
20200612,Roma,24,3539
20200613,Roma,25,2785
20200614,Roma,14,2961
20200615,Roma,3,1975
20200616,Roma,9,2715
20200617,Roma,10,3601
20200618,Roma,8,2900
20200619,Roma,8,3146
20200620,Roma,12,2915
20200621,Roma,9,2424
20200622,Roma,8,1317
20200623,Roma,6,2070
20200625,Roma,7,1259
20200626,Roma,13,2423
20200627,Roma,16,2244
20200628,Roma,14,2253
20200629,Roma,8,1688
20200630,Roma,4,1827
20200701,Roma,8,2709
20200702,Roma,6,1527
20200703,Roma,10,2143
20200704,Roma,29,2240
20200705,Roma,11,1843
20200706,Roma,15,1814
20200707,Roma,6,2435
20200708,Roma,7,1001
20200709,Roma,30,2716
20200710,Roma,21,2255
20200711,Roma,12,1619
20200712,Roma,19,2456
20200713,Roma,21,2626
20200714,Roma,18,2564
20200715,Roma,18,2104
20200716,Roma,6,1715
20200717,Roma,11,2438
20200718,Roma,19,2864
20200719,Roma,13,2339
20200720,Roma,15,2494
20200721,Roma,3,841
20200722,Roma,13,2438
20200723,Roma,23,2593
20200724,Roma,12,1383
20200725,Roma,15,2275
20200726,Roma,17,2481
20200727,Roma,9,1838
20200728,Roma,9,1574
20200729,Roma,32,2663
20200730,Roma,16,2115
20200731,Roma,13,1823
20200801,Roma,12,1433
20200228,Varese,3,36
20200229,Varese,1,11
20200303,Varese,3,19
20200304,Varese,4,34
20200306,Varese,6,20
20200307,Varese,4,11
20200308,Varese,5,18
20200309,Varese,12,15
20200310,Varese,6,25
20200311,Varese,25,70
20200312,Varese,23,62
20200313,Varese,27,78
20200314,Varese,33,79
20200315,Varese,26,53
20200316,Varese,18,42
20200317,Varese,32,59
20200318,Varese,31,53
20200319,Varese,45,68
20200320,Varese,28,58
20200321,Varese,21,62
20200322,Varese,27,62
20200323,Varese,35,60
20200324,Varese,29,52
20200325,Varese,18,54
20200326,Varese,34,81
20200327,Varese,209,707
20200328,Varese,57,179
20200329,Varese,44,135
20200330,Varese,54,171
20200331,Varese,27,92
20200401,Varese,44,191
20200402,Varese,65,344
20200403,Varese,83,386
20200404,Varese,63,269
20200405,Varese,43,261
20200406,Varese,102,473
20200407,Varese,33,181
20200408,Varese,22,166
20200409,Varese,143,968
20200410,Varese,98,737
20200411,Varese,44,284
20200412,Varese,30,196
20200413,Varese,48,200
20200414,Varese,102,381
20200415,Varese,71,609
20200416,Varese,69,785
20200417,Varese,68,708
20200418,Varese,85,806
20200419,Varese,52,537
20200420,Varese,38,327
20200421,Varese,55,384
20200422,Varese,51,593
20200423,Varese,38,426
20200424,Varese,36,382
20200425,Varese,31,550
20200426,Varese,60,708
20200427,Varese,29,248
20200428,Varese,72,710
20200429,Varese,51,939
20200430,Varese,48,887
20200501,Varese,38,706
20200502,Varese,10,245
20200503,Varese,68,925
20200504,Varese,55,760
20200505,Varese,53,684
20200506,Varese,127,2413
20200507,Varese,55,1183
20200508,Varese,75,1300
20200509,Varese,16,366
20200510,Varese,18,470
20200511,Varese,14,289
20200512,Varese,77,1536
20200513,Varese,29,804
20200514,Varese,20,539
20200515,Varese,13,529
20200516,Varese,41,1453
20200517,Varese,3,109
20200518,Varese,13,377
20200519,Varese,9,291
20200520,Varese,12,470
20200521,Varese,10,465
20200522,Varese,23,1494
20200523,Varese,44,1715
20200524,Varese,16,643
20200525,Varese,5,191
20200526,Varese,9,519
20200527,Varese,17,554
20200528,Varese,12,487
20200529,Varese,41,1631
20200530,Varese,4,259
20200531,Varese,25,1479
20200601,Varese,3,214
20200602,Varese,10,464
20200603,Varese,5,240
20200604,Varese,6,244
20200605,Varese,28,1350
20200606,Varese,3,289
20200607,Varese,19,1217
20200608,Varese,7,162
20200609,Varese,14,718
20200610,Varese,10,940
20200611,Varese,12,637
20200612,Varese,14,764
20200613,Varese,5,226
20200614,Varese,27,1033
20200615,Varese,19,487
20200616,Varese,22,1084
20200617,Varese,6,287
20200618,Varese,13,691
20200619,Varese,7,467
20200620,Varese,5,282
20200621,Varese,3,183
20200622,Varese,18,979
20200623,Varese,2,225
20200625,Varese,1,58
20200626,Varese,8,723
20200627,Varese,10,1243
20200628,Varese,3,251
20200629,Varese,5,512
20200630,Varese,3,296
20200701,Varese,1,77
20200702,Varese,5,482
20200703,Varese,4,339
20200705,Varese,3,269
20200706,Varese,2,105
20200707,Varese,1,64
20200708,Varese,1,150
20200709,Varese,5,496
20200710,Varese,3,256
20200711,Varese,2,211
20200712,Varese,1,124
20200713,Varese,1,69
20200714,Varese,3,564
20200716,Varese,4,536
20200717,Varese,4,721
20200718,Varese,3,309
20200719,Varese,1,213
20200720,Varese,1,77
20200721,Varese,1,176
20200722,Varese,6,631
20200723,Varese,15,2760
20200724,Varese,1,186
20200725,Varese,3,407
20200726,Varese,8,871
20200728,Varese,4,477
20200729,Varese,2,376
20200730,Varese,11,1401
20200731,Varese,5,542
20200801,Varese,3,459
20200229,Como,1,11
20200301,Como,1,3
20200303,Como,2,12
20200304,Como,1,9
20200307,Como,12,33
20200308,Como,4,14
20200309,Como,13,16
20200310,Como,6,25
20200311,Como,31,86
20200312,Como,21,57
20200313,Como,20,58
20200314,Como,36,86
20200315,Como,30,61
20200316,Como,36,84
20200317,Como,36,66
20200318,Como,30,51
20200319,Como,52,78
20200320,Como,42,87
20200321,Como,72,212
20200322,Como,60,137
20200323,Como,69,117
20200324,Como,54,96
20200325,Como,71,215
20200326,Como,56,133
20200327,Como,54,183
20200328,Como,87,273
20200329,Como,111,341
20200330,Como,47,149
20200331,Como,40,137
20200401,Como,56,244
20200402,Como,48,254
20200403,Como,51,237
20200404,Como,63,269
20200405,Como,65,394
20200406,Como,89,413
20200407,Como,52,285
20200408,Como,17,128
20200409,Como,63,426
20200410,Como,81,609
20200411,Como,139,898
20200412,Como,99,646
20200413,Como,91,379
20200414,Como,91,340
20200415,Como,48,412
20200416,Como,79,899
20200417,Como,52,541
20200418,Como,154,1461
20200419,Como,49,506
20200420,Como,62,534
20200421,Como,42,294
20200422,Como,89,1035
20200423,Como,83,929
20200424,Como,107,1136
20200425,Como,71,1259
20200426,Como,83,979
20200427,Como,51,437
20200428,Como,78,769
20200429,Como,53,976
20200430,Como,37,684
20200501,Como,27,502
20200502,Como,22,539
20200503,Como,20,272
20200504,Como,19,263
20200505,Como,32,413
20200506,Como,37,703
20200507,Como,39,839
20200508,Como,30,520
20200509,Como,10,229
20200510,Como,16,418
20200511,Como,8,165
20200512,Como,42,838
20200513,Como,10,277
20200514,Como,42,1133
20200515,Como,14,569
20200516,Como,13,461
20200517,Como,4,145
20200518,Como,4,116
20200519,Como,13,420
20200520,Como,14,548
20200521,Como,18,837
20200522,Como,35,2273
20200523,Como,34,1325
20200524,Como,10,402
20200525,Como,3,114
20200526,Como,25,1443
20200527,Como,7,228
20200528,Como,31,1258
20200529,Como,14,557
20200530,Como,3,194
20200531,Como,13,769
20200601,Como,1,71
20200602,Como,26,1206
20200603,Como,10,479
20200604,Como,4,162
20200605,Como,18,868
20200606,Como,9,868
20200607,Como,1,64
20200608,Como,13,301
20200609,Como,11,564
20200610,Como,7,658
20200611,Como,4,212
20200612,Como,13,709
20200613,Como,6,271
20200614,Como,13,497
20200615,Como,19,487
20200616,Como,10,493
20200617,Como,5,239
20200618,Como,12,638
20200619,Como,8,533
20200620,Como,8,452
20200621,Como,2,122
20200622,Como,13,707
20200623,Como,2,225
20200624,Como,2,207
20200625,Como,8,463
20200626,Como,9,814
20200627,Como,5,621
20200628,Como,1,84
20200701,Como,1,77
20200702,Como,4,385
20200703,Como,2,170
20200704,Como,3,321
20200705,Como,5,448
20200706,Como,5,264
20200708,Como,2,301
20200709,Como,1,99
20200710,Como,5,426
20200711,Como,8,842
20200712,Como,1,124
20200713,Como,4,276
20200716,Como,4,536
20200717,Como,1,180
20200718,Como,1,103
20200719,Como,1,213
20200720,Como,2,153
20200722,Como,1,105
20200723,Como,1,184
20200724,Como,1,186
20200725,Como,2,272
20200726,Como,3,327
20200727,Como,2,235
20200729,Como,1,188
20200730,Como,4,509
20200731,Como,1,108
20200801,Como,1,153
20200225,Milano,8,263
20200228,Milano,14,166
20200229,Milano,1,11
20200301,Milano,16,50
20200302,Milano,12,46
20200303,Milano,35,217
20200304,Milano,52,444
20200306,Milano,70,233
20200307,Milano,94,259
20200308,Milano,45,161
20200309,Milano,100,125
20200310,Milano,86,359
20200311,Milano,333,928
20200312,Milano,221,597
20200313,Milano,161,466
20200314,Milano,244,581
20200315,Milano,199,405
20200316,Milano,233,541
20200317,Milano,343,630
20200318,Milano,318,540
20200319,Milano,634,952
20200320,Milano,526,1090
20200321,Milano,868,2551
20200322,Milano,424,970
20200323,Milano,230,391
20200324,Milano,375,667
20200325,Milano,373,1129
20200326,Milano,848,2016
20200327,Milano,547,1850
20200328,Milano,314,985
20200329,Milano,546,1679
20200330,Milano,347,1100
20200331,Milano,235,804
20200401,Milano,611,2658
20200402,Milano,482,2551
20200403,Milano,387,1799
20200404,Milano,428,1828
20200405,Milano,411,2492
20200406,Milano,308,1429
20200407,Milano,249,1367
20200408,Milano,252,1904
20200409,Milano,440,2979
20200410,Milano,269,2023
20200411,Milano,520,3360
20200412,Milano,412,2689
20200413,Milano,481,2005
20200414,Milano,189,706
20200415,Milano,325,2789
20200416,Milano,277,3152
20200417,Milano,325,3384
20200418,Milano,269,2551
20200419,Milano,279,2879
20200420,Milano,287,2472
20200421,Milano,408,2852
20200422,Milano,480,5582
20200423,Milano,277,3102
20200424,Milano,412,4374
20200425,Milano,219,3883
20200426,Milano,463,5464
20200427,Milano,188,1610
20200428,Milano,278,2743
20200429,Milano,284,5229
20200430,Milano,216,3991
20200501,Milano,364,6767
20200502,Milano,249,6100
20200503,Milano,118,1605
20200504,Milano,186,2572
20200505,Milano,144,1859
20200506,Milano,313,5947
20200507,Milano,182,3915
20200508,Milano,201,3485
20200509,Milano,178,4070
20200510,Milano,104,2718
20200511,Milano,114,2351
20200512,Milano,136,2712
20200513,Milano,105,2910
20200514,Milano,169,4558
20200515,Milano,66,2685
20200516,Milano,75,2659
20200517,Milano,110,3985
20200518,Milano,71,2060
20200519,Milano,102,3294
20200520,Milano,48,1879
20200521,Milano,83,3862
20200522,Milano,73,4741
20200523,Milano,88,3430
20200524,Milano,64,2573
20200525,Milano,46,1753
20200526,Milano,38,2193
20200527,Milano,68,2214
20200528,Milano,76,3085
20200529,Milano,74,2943
20200530,Milano,62,4012
20200531,Milano,32,1894
20200601,Milano,18,1286
20200602,Milano,45,2088
20200603,Milano,37,1773
20200604,Milano,31,1258
20200605,Milano,99,4775
20200606,Milano,59,5691
20200607,Milano,43,2754
20200608,Milano,29,671
20200609,Milano,46,2359
20200610,Milano,27,2538
20200611,Milano,71,3769
20200612,Milano,88,4800
20200613,Milano,97,4376
20200614,Milano,45,1722
20200615,Milano,52,1333
20200616,Milano,42,2069
20200617,Milano,61,2914
20200618,Milano,52,2763
20200619,Milano,43,2866
20200620,Milano,69,3895
20200621,Milano,31,1895
20200622,Milano,23,1251
20200623,Milano,26,2930
20200624,Milano,29,2999
20200625,Milano,28,1619
20200626,Milano,33,2983
20200627,Milano,4,497
20200628,Milano,16,1339
20200629,Milano,36,3688
20200630,Milano,23,2269
20200701,Milano,21,1624
20200702,Milano,28,2697
20200703,Milano,24,2036
20200704,Milano,19,2032
20200705,Milano,16,1432
20200706,Milano,12,633
20200707,Milano,5,319
20200708,Milano,16,2406
20200709,Milano,35,3474
20200710,Milano,17,1449
20200711,Milano,26,2738
20200712,Milano,6,744
20200713,Milano,15,1034
20200714,Milano,7,1315
20200715,Milano,18,2979
20200716,Milano,20,2682
20200717,Milano,9,1622
20200718,Milano,24,2469
20200719,Milano,8,1706
20200720,Milano,11,842
20200721,Milano,9,1581
20200722,Milano,19,1997
20200723,Milano,17,3128
20200724,Milano,22,4093
20200725,Milano,25,3394
20200726,Milano,13,1415
20200727,Milano,14,1644
20200728,Milano,25,2984
20200729,Milano,16,3011
20200730,Milano,15,1910
20200731,Milano,35,3795
20200801,Milano,18,2755
20200225,Bergamo,18,592
20200228,Bergamo,31,367
20200229,Bergamo,7,74
20200301,Bergamo,99,310
20200302,Bergamo,34,132
20200303,Bergamo,129,801
20200304,Bergamo,51,435
20200306,Bergamo,86,286
20200307,Bergamo,138,380
20200308,Bergamo,236,846
20200309,Bergamo,248,310
20200310,Bergamo,227,947
20200311,Bergamo,343,956
20200312,Bergamo,321,867
20200313,Bergamo,232,671
20200314,Bergamo,496,1180
20200315,Bergamo,552,1124
20200316,Bergamo,344,798
20200317,Bergamo,233,428
20200318,Bergamo,312,530
20200319,Bergamo,340,511
20200320,Bergamo,509,1054
20200321,Bergamo,715,2102
20200322,Bergamo,347,794
20200323,Bergamo,255,434
20200324,Bergamo,257,457
20200325,Bergamo,344,1041
20200326,Bergamo,386,918
20200327,Bergamo,602,2036
20200328,Bergamo,289,907
20200329,Bergamo,178,547
20200330,Bergamo,137,434
20200331,Bergamo,139,476
20200401,Bergamo,236,1027
20200402,Bergamo,132,699
20200403,Bergamo,144,670
20200404,Bergamo,273,1166
20200405,Bergamo,124,752
20200406,Bergamo,103,478
20200407,Bergamo,53,291
20200408,Bergamo,63,476
20200409,Bergamo,112,758
20200410,Bergamo,108,812
20200411,Bergamo,107,691
20200412,Bergamo,51,333
20200413,Bergamo,82,342
20200414,Bergamo,35,131
20200415,Bergamo,46,395
20200416,Bergamo,46,523
20200417,Bergamo,72,750
20200418,Bergamo,39,370
20200419,Bergamo,60,619
20200420,Bergamo,49,422
20200421,Bergamo,50,350
20200422,Bergamo,60,698
20200423,Bergamo,98,1097
20200424,Bergamo,56,595
20200425,Bergamo,45,798
20200426,Bergamo,66,779
20200427,Bergamo,37,317
20200428,Bergamo,46,454
20200429,Bergamo,95,1749
20200430,Bergamo,22,406
20200501,Bergamo,47,874
20200502,Bergamo,34,833
20200503,Bergamo,59,803
20200504,Bergamo,85,1175
20200505,Bergamo,12,155
20200506,Bergamo,37,703
20200507,Bergamo,35,753
20200508,Bergamo,49,850
20200509,Bergamo,46,1052
20200510,Bergamo,24,627
20200511,Bergamo,50,1031
20200512,Bergamo,503,10032
20200513,Bergamo,24,665
20200514,Bergamo,29,782
20200515,Bergamo,24,976
20200516,Bergamo,26,922
20200517,Bergamo,46,1666
20200518,Bergamo,20,580
20200519,Bergamo,144,4650
20200520,Bergamo,26,1018
20200521,Bergamo,48,2233
20200522,Bergamo,51,3312
20200523,Bergamo,102,3976
20200524,Bergamo,72,2894
20200525,Bergamo,48,1830
20200526,Bergamo,23,1327
20200527,Bergamo,198,6447
20200528,Bergamo,69,2801
20200529,Bergamo,58,2307
20200530,Bergamo,21,1359
20200531,Bergamo,43,2545
20200601,Bergamo,8,572
20200602,Bergamo,14,650
20200603,Bergamo,77,3689
20200604,Bergamo,1,41
20200605,Bergamo,73,3521
20200606,Bergamo,12,1157
20200607,Bergamo,7,448
20200608,Bergamo,51,1180
20200609,Bergamo,52,2667
20200610,Bergamo,10,940
20200611,Bergamo,39,2070
20200612,Bergamo,34,1855
20200613,Bergamo,22,993
20200614,Bergamo,62,2372
20200615,Bergamo,69,1768
20200616,Bergamo,12,591
20200617,Bergamo,69,3296
20200618,Bergamo,55,2922
20200619,Bergamo,32,2133
20200620,Bergamo,31,1750
20200621,Bergamo,24,1467
20200622,Bergamo,51,2773
20200623,Bergamo,6,676
20200624,Bergamo,15,1551
20200625,Bergamo,79,4569
20200626,Bergamo,44,3977
20200627,Bergamo,22,2734
20200628,Bergamo,20,1674
20200629,Bergamo,13,1332
20200630,Bergamo,5,493
20200701,Bergamo,22,1701
20200702,Bergamo,23,2216
20200703,Bergamo,22,1867
20200704,Bergamo,31,3315
20200705,Bergamo,33,2954
20200706,Bergamo,17,897
20200707,Bergamo,29,1849
20200708,Bergamo,30,4511
20200709,Bergamo,28,2779
20200710,Bergamo,56,4772
20200711,Bergamo,5,526
20200712,Bergamo,21,2603
20200713,Bergamo,43,2965
20200714,Bergamo,15,2818
20200715,Bergamo,15,2482
20200716,Bergamo,17,2279
20200717,Bergamo,18,3244
20200718,Bergamo,29,2984
20200719,Bergamo,8,1706
20200720,Bergamo,22,1685
20200721,Bergamo,6,1054
20200722,Bergamo,7,736
20200723,Bergamo,27,4967
20200724,Bergamo,8,1488
20200725,Bergamo,19,2579
20200726,Bergamo,25,2722
20200727,Bergamo,8,939
20200728,Bergamo,22,2626
20200729,Bergamo,9,1694
20200730,Bergamo,17,2165
20200731,Bergamo,18,1951
20200801,Bergamo,11,1684
20200228,Brescia,3,36
20200229,Brescia,1,11
20200301,Brescia,35,110
20200302,Brescia,11,43
20200303,Brescia,26,161
20200304,Brescia,41,350
20200306,Brescia,27,90
20200307,Brescia,231,635
20200308,Brescia,88,315
20200309,Brescia,238,298
20200310,Brescia,51,213
20200311,Brescia,561,1564
20200312,Brescia,247,667
20200313,Brescia,186,538
20200314,Brescia,338,804
20200315,Brescia,351,715
20200316,Brescia,445,1033
20200317,Brescia,382,701
20200318,Brescia,484,821
20200319,Brescia,463,695
20200320,Brescia,401,831
20200321,Brescia,380,1117
20200322,Brescia,289,661
20200323,Brescia,588,1000
20200324,Brescia,393,699
20200325,Brescia,299,905
20200326,Brescia,334,794
20200327,Brescia,374,1265
20200328,Brescia,373,1170
20200329,Brescia,335,1030
20200330,Brescia,200,634
20200331,Brescia,154,527
20200401,Brescia,231,1005
20200402,Brescia,159,841
20200403,Brescia,257,1195
20200404,Brescia,166,709
20200405,Brescia,160,970
20200406,Brescia,137,635
20200407,Brescia,117,642
20200408,Brescia,315,2379
20200409,Brescia,213,1442
20200410,Brescia,247,1858
20200411,Brescia,230,1486
20200412,Brescia,269,1756
20200413,Brescia,190,792
20200414,Brescia,35,131
20200415,Brescia,94,807
20200416,Brescia,168,1911
20200417,Brescia,212,2207
20200418,Brescia,191,1812
20200419,Brescia,188,1940
20200420,Brescia,58,500
20200421,Brescia,74,517
20200422,Brescia,100,1163
20200423,Brescia,130,1456
20200424,Brescia,167,1773
20200425,Brescia,65,1152
20200426,Brescia,24,283
20200427,Brescia,35,300
20200428,Brescia,92,908
20200429,Brescia,115,2117
20200430,Brescia,55,1016
20200501,Brescia,68,1264
20200502,Brescia,70,1715
20200503,Brescia,29,394
20200504,Brescia,94,1300
20200505,Brescia,46,594
20200506,Brescia,99,1881
20200507,Brescia,124,2667
20200508,Brescia,69,1196
20200509,Brescia,46,1052
20200510,Brescia,44,1150
20200511,Brescia,70,1444
20200512,Brescia,128,2553
20200513,Brescia,94,2605
20200514,Brescia,106,2859
20200515,Brescia,60,2441
20200516,Brescia,83,2942
20200517,Brescia,56,2029
20200518,Brescia,11,319
20200519,Brescia,41,1324
20200520,Brescia,50,1957
20200521,Brescia,77,3582
20200522,Brescia,19,1234
20200523,Brescia,72,2807
20200524,Brescia,59,2372
20200525,Brescia,3,114
20200526,Brescia,10,577
20200527,Brescia,33,1074
20200528,Brescia,90,3653
20200529,Brescia,71,2824
20200530,Brescia,41,2653
20200531,Brescia,44,2604
20200601,Brescia,6,429
20200602,Brescia,36,1670
20200603,Brescia,51,2443
20200604,Brescia,20,812
20200605,Brescia,89,4293
20200606,Brescia,18,1736
20200607,Brescia,19,1217
20200608,Brescia,63,1457
20200609,Brescia,24,1231
20200610,Brescia,12,1128
20200611,Brescia,81,4299
20200612,Brescia,30,1636
20200613,Brescia,21,947
20200614,Brescia,32,1224
20200615,Brescia,56,1435
20200616,Brescia,11,542
20200617,Brescia,16,764
20200618,Brescia,41,2178
20200619,Brescia,21,1400
20200620,Brescia,27,1524
20200621,Brescia,37,2262
20200622,Brescia,20,1088
20200623,Brescia,6,676
20200624,Brescia,14,1448
20200625,Brescia,24,1388
20200626,Brescia,27,2441
20200627,Brescia,14,1740
20200628,Brescia,27,2260
20200629,Brescia,9,922
20200630,Brescia,6,592
20200701,Brescia,18,1392
20200702,Brescia,9,867
20200703,Brescia,15,1273
20200704,Brescia,13,1390
20200705,Brescia,6,537
20200706,Brescia,10,527
20200707,Brescia,17,1084
20200708,Brescia,9,1353
20200709,Brescia,14,1390
20200710,Brescia,17,1449
20200711,Brescia,16,1685
20200712,Brescia,6,744
20200713,Brescia,13,896
20200714,Brescia,7,1315
20200715,Brescia,8,1324
20200716,Brescia,5,670
20200717,Brescia,13,2343
20200718,Brescia,9,926
20200719,Brescia,6,1280
20200720,Brescia,5,383
20200721,Brescia,7,1230
20200722,Brescia,10,1051
20200723,Brescia,6,1104
20200724,Brescia,7,1302
20200725,Brescia,16,2172
20200726,Brescia,9,980
20200727,Brescia,2,235
20200728,Brescia,3,358
20200729,Brescia,12,2259
20200730,Brescia,17,2165
20200731,Brescia,6,650
20200801,Brescia,11,1684
20200225,Pavia,27,888
20200228,Pavia,13,154
20200229,Pavia,6,63
20200301,Pavia,23,72
20200302,Pavia,5,19
20200303,Pavia,39,242
20200304,Pavia,4,34
20200306,Pavia,29,97
20200307,Pavia,41,113
20200308,Pavia,22,79
20200309,Pavia,53,66
20200310,Pavia,28,117
20200311,Pavia,79,220
20200312,Pavia,65,176
20200313,Pavia,14,40
20200314,Pavia,140,333
20200315,Pavia,100,204
20200316,Pavia,79,183
20200317,Pavia,83,152
20200318,Pavia,94,160
20200319,Pavia,33,50
20200320,Pavia,94,195
20200321,Pavia,89,262
20200322,Pavia,112,256
20200323,Pavia,138,235
20200324,Pavia,55,98
20200325,Pavia,79,239
20200326,Pavia,107,254
20200327,Pavia,27,91
20200328,Pavia,165,518
20200329,Pavia,97,298
20200330,Pavia,62,197
20200331,Pavia,97,332
20200401,Pavia,47,204
20200402,Pavia,105,556
20200403,Pavia,46,214
20200404,Pavia,168,718
20200405,Pavia,120,728
20200406,Pavia,81,376
20200407,Pavia,35,192
20200408,Pavia,88,665
20200409,Pavia,66,447
20200410,Pavia,74,557
20200411,Pavia,86,556
20200412,Pavia,84,548
20200413,Pavia,60,250
20200414,Pavia,53,198
20200415,Pavia,70,601
20200416,Pavia,74,842
20200417,Pavia,58,604
20200418,Pavia,88,835
20200419,Pavia,46,475
20200420,Pavia,59,508
20200421,Pavia,64,447
20200422,Pavia,93,1082
20200423,Pavia,76,851
20200424,Pavia,117,1242
20200425,Pavia,45,798
20200426,Pavia,8,94
20200427,Pavia,85,728
20200428,Pavia,99,977
20200429,Pavia,52,957
20200430,Pavia,69,1275
20200501,Pavia,67,1246
20200502,Pavia,40,980
20200503,Pavia,34,462
20200504,Pavia,32,442
20200505,Pavia,29,374
20200506,Pavia,70,1330
20200507,Pavia,31,667
20200508,Pavia,52,902
20200509,Pavia,38,869
20200510,Pavia,35,915
20200511,Pavia,24,495
20200512,Pavia,19,379
20200513,Pavia,29,804
20200514,Pavia,47,1268
20200515,Pavia,23,936
20200516,Pavia,25,886
20200517,Pavia,35,1268
20200518,Pavia,43,1248
20200519,Pavia,25,807
20200520,Pavia,35,1370
20200521,Pavia,23,1070
20200522,Pavia,46,2987
20200523,Pavia,33,1286
20200524,Pavia,18,724
20200525,Pavia,4,152
20200526,Pavia,23,1327
20200527,Pavia,23,749
20200528,Pavia,9,365
20200529,Pavia,32,1273
20200530,Pavia,35,2265
20200531,Pavia,10,592
20200601,Pavia,1,71
20200602,Pavia,23,1067
20200603,Pavia,3,144
20200604,Pavia,6,244
20200605,Pavia,22,1061
20200606,Pavia,11,1061
20200607,Pavia,12,768
20200608,Pavia,2,46
20200609,Pavia,5,256
20200610,Pavia,6,564
20200611,Pavia,4,212
20200612,Pavia,23,1255
20200613,Pavia,16,722
20200614,Pavia,13,497
20200615,Pavia,3,77
20200616,Pavia,6,296
20200617,Pavia,20,955
20200618,Pavia,12,638
20200619,Pavia,7,467
20200621,Pavia,9,550
20200623,Pavia,4,451
20200624,Pavia,3,310
20200625,Pavia,5,289
20200626,Pavia,3,271
20200627,Pavia,4,497
20200628,Pavia,6,502
20200630,Pavia,1,99
20200701,Pavia,1,77
20200702,Pavia,3,289
20200703,Pavia,11,933
20200705,Pavia,3,269
20200708,Pavia,1,150
20200709,Pavia,4,397
20200711,Pavia,3,316
20200713,Pavia,2,138
20200714,Pavia,1,188
20200715,Pavia,1,165
20200717,Pavia,2,360
20200718,Pavia,1,103
20200719,Pavia,1,213
20200721,Pavia,2,351
20200723,Pavia,3,552
20200724,Pavia,2,372
20200726,Pavia,1,109
20200728,Pavia,3,358
20200730,Pavia,3,382
20200731,Pavia,3,325
20200801,Pavia,2,306
20200225,Cremona,53,1744
20200228,Cremona,32,379
20200229,Cremona,13,137
20200301,Cremona,78,244
20200302,Cremona,9,35
20200303,Cremona,64,397
20200304,Cremona,46,393
20200306,Cremona,46,153
20200307,Cremona,110,303
20200308,Cremona,103,369
20200309,Cremona,251,314
20200310,Cremona,41,171
20200311,Cremona,104,290
20200312,Cremona,241,651
20200313,Cremona,42,121
20200314,Cremona,221,526
20200315,Cremona,227,462
20200316,Cremona,89,207
20200317,Cremona,192,352
20200318,Cremona,94,160
20200319,Cremona,119,179
20200320,Cremona,106,220
20200321,Cremona,341,1002
20200322,Cremona,162,371
20200323,Cremona,30,51
20200324,Cremona,136,242
20200325,Cremona,95,287
20200326,Cremona,214,509
20200327,Cremona,126,426
20200328,Cremona,109,342
20200329,Cremona,157,483
20200330,Cremona,26,82
20200331,Cremona,81,277
20200401,Cremona,72,313
20200402,Cremona,33,175
20200403,Cremona,123,572
20200404,Cremona,57,243
20200405,Cremona,79,479
20200406,Cremona,27,125
20200407,Cremona,63,346
20200408,Cremona,99,748
20200409,Cremona,67,454
20200410,Cremona,73,549
20200411,Cremona,96,620
20200412,Cremona,63,411
20200413,Cremona,224,934
20200414,Cremona,227,847
20200415,Cremona,30,257
20200416,Cremona,71,808
20200417,Cremona,40,416
20200418,Cremona,94,892
20200419,Cremona,10,103
20200420,Cremona,74,637
20200421,Cremona,150,1049
20200422,Cremona,65,756
20200423,Cremona,101,1131
20200424,Cremona,60,637
20200425,Cremona,39,691
20200426,Cremona,60,708
20200427,Cremona,5,43
20200428,Cremona,22,217
20200429,Cremona,30,552
20200430,Cremona,14,259
20200501,Cremona,31,576
20200502,Cremona,20,490
20200503,Cremona,18,245
20200504,Cremona,3,41
20200505,Cremona,21,271
20200506,Cremona,21,399
20200507,Cremona,27,581
20200508,Cremona,41,711
20200509,Cremona,23,526
