date,region,positive,total
20200616,Piacenza,4,1908
20200617,Piacenza,1,682
20200618,Piacenza,6,1616
20200620,Piacenza,1,226
20200621,Piacenza,1,184
20200622,Piacenza,1,97
20200623,Piacenza,1,271
20200625,Piacenza,1,167
20200627,Piacenza,28,2912
20200629,Piacenza,1,170
20200701,Piacenza,1,243
20200702,Piacenza,2,360
20200703,Piacenza,1,163
20200704,Piacenza,2,216
20200705,Piacenza,1,125
20200706,Piacenza,4,250
20200707,Piacenza,2,427
20200708,Piacenza,2,199
20200709,Piacenza,2,763
20200710,Piacenza,5,395
20200712,Piacenza,1,42
20200713,Piacenza,2,223
20200717,Piacenza,3,320
20200718,Piacenza,1,119
20200719,Piacenza,6,321
20200720,Piacenza,1,55
20200722,Piacenza,2,271
20200724,Piacenza,1,95
20200725,Piacenza,7,956
20200726,Piacenza,4,206
20200727,Piacenza,5,732
20200730,Piacenza,7,2274
20200731,Piacenza,5,1525
20200801,Piacenza,16,2975
20200225,Parma,4,122
20200226,Parma,4,35
20200227,Parma,2,18
20200228,Parma,17,86
20200229,Parma,8,30
20200301,Parma,24,86
20200302,Parma,2,7
20200304,Parma,31,122
20200305,Parma,35,87
20200306,Parma,31,45
20200307,Parma,48,160
20200308,Parma,47,205
20200309,Parma,3,8
20200310,Parma,46,184
20200311,Parma,53,295
20200312,Parma,52,240
20200313,Parma,88,331
20200314,Parma,52,171
20200315,Parma,92,412
20200316,Parma,45,109
20200317,Parma,93,322
20200319,Parma,69,289
20200320,Parma,110,351
20200321,Parma,35,184
20200322,Parma,195,780
20200323,Parma,155,503
20200324,Parma,71,230
20200325,Parma,90,508
20200326,Parma,86,491
20200327,Parma,79,553
20200328,Parma,62,405
20200331,Parma,74,483
20200401,Parma,72,396
20200402,Parma,44,165
20200403,Parma,34,180
20200404,Parma,118,659
20200405,Parma,74,392
20200406,Parma,42,196
20200407,Parma,48,540
20200408,Parma,30,233
20200409,Parma,26,196
20200410,Parma,52,481
20200411,Parma,39,452
20200412,Parma,19,203
20200413,Parma,42,288
20200414,Parma,9,82
20200415,Parma,34,522
20200416,Parma,82,1069
20200417,Parma,27,366
20200418,Parma,43,540
20200419,Parma,45,442
20200420,Parma,74,1112
20200421,Parma,22,523
20200422,Parma,64,1122
20200423,Parma,26,474
20200424,Parma,12,260
20200425,Parma,23,518
20200426,Parma,39,816
20200427,Parma,39,561
20200428,Parma,10,302
20200429,Parma,22,358
20200430,Parma,13,301
20200501,Parma,20,520
20200502,Parma,22,413
20200503,Parma,5,149
20200504,Parma,23,485
20200505,Parma,3,172
20200506,Parma,14,739
20200507,Parma,16,798
20200508,Parma,6,261
20200509,Parma,19,864
20200510,Parma,13,721
20200511,Parma,17,634
20200512,Parma,2,172
20200514,Parma,29,1773
20200515,Parma,7,636
20200516,Parma,26,1725
20200518,Parma,13,1033
20200519,Parma,10,917
20200520,Parma,10,1232
20200521,Parma,23,1977
20200522,Parma,9,669
20200523,Parma,12,1263
20200524,Parma,18,1798
20200525,Parma,4,318
20200527,Parma,5,1161
20200528,Parma,21,2590
20200529,Parma,9,1472
20200530,Parma,1,223
20200531,Parma,7,928
20200601,Parma,4,816
20200602,Parma,4,899
20200603,Parma,5,1072
20200604,Parma,6,1693
20200605,Parma,7,2238
20200606,Parma,6,1412
20200607,Parma,7,2403
20200608,Parma,7,1754
20200609,Parma,5,1812
20200610,Parma,8,2598
20200611,Parma,6,2386
20200612,Parma,9,2269
20200613,Parma,4,1052
20200614,Parma,7,2527
20200615,Parma,3,1076
20200616,Parma,2,954
20200617,Parma,2,1364
20200618,Parma,4,1078
20200619,Parma,5,1472
20200620,Parma,6,1353
20200622,Parma,3,292
20200623,Parma,2,542
20200624,Parma,5,683
20200625,Parma,2,334
20200627,Parma,16,1664
20200628,Parma,4,652
20200629,Parma,4,680
20200630,Parma,3,914
20200703,Parma,3,489
20200704,Parma,7,757
20200705,Parma,2,251
20200706,Parma,12,749
20200707,Parma,8,1710
20200708,Parma,7,697
20200709,Parma,3,1145
20200710,Parma,3,237
20200711,Parma,2,182
20200712,Parma,3,126
20200713,Parma,4,446
20200714,Parma,7,2644
20200715,Parma,1,221
20200716,Parma,1,97
20200718,Parma,3,358
20200719,Parma,6,321
20200720,Parma,7,384
20200722,Parma,4,543
20200723,Parma,2,203
20200724,Parma,1,95
20200725,Parma,1,137
20200726,Parma,4,206
20200727,Parma,2,293
20200728,Parma,1,407
20200730,Parma,3,975
20200731,Parma,1,305
20200801,Parma,5,930
20200228,Reggio_Emilia,1,5
20200229,Reggio_Emilia,3,11
20200301,Reggio_Emilia,3,11
20200302,Reggio_Emilia,1,4
20200304,Reggio_Emilia,6,24
20200305,Reggio_Emilia,11,27
20200306,Reggio_Emilia,13,19
20200307,Reggio_Emilia,4,13
20200308,Reggio_Emilia,22,96
20200309,Reggio_Emilia,33,90
20200310,Reggio_Emilia,1,4
20200311,Reggio_Emilia,10,56
20200312,Reggio_Emilia,9,42
20200313,Reggio_Emilia,15,56
20200314,Reggio_Emilia,15,49
20200315,Reggio_Emilia,32,143
20200316,Reggio_Emilia,56,136
20200317,Reggio_Emilia,58,201
20200318,Reggio_Emilia,115,184
20200319,Reggio_Emilia,194,812
20200320,Reggio_Emilia,165,527
20200321,Reggio_Emilia,204,1070
20200322,Reggio_Emilia,190,760
20200323,Reggio_Emilia,202,655
20200324,Reggio_Emilia,68,220
20200325,Reggio_Emilia,149,841
20200326,Reggio_Emilia,112,639
20200327,Reggio_Emilia,163,1141
20200328,Reggio_Emilia,135,882
20200331,Reggio_Emilia,99,646
20200401,Reggio_Emilia,246,1354
20200402,Reggio_Emilia,112,421
20200403,Reggio_Emilia,135,716
20200404,Reggio_Emilia,108,603
20200405,Reggio_Emilia,158,838
20200406,Reggio_Emilia,101,471
20200407,Reggio_Emilia,48,540
20200408,Reggio_Emilia,137,1064
20200409,Reggio_Emilia,153,1156
20200410,Reggio_Emilia,125,1155
20200411,Reggio_Emilia,135,1564
20200412,Reggio_Emilia,84,897
20200413,Reggio_Emilia,39,267
20200414,Reggio_Emilia,59,539
20200415,Reggio_Emilia,35,537
20200416,Reggio_Emilia,71,925
20200417,Reggio_Emilia,37,502
20200418,Reggio_Emilia,127,1594
20200419,Reggio_Emilia,101,993
20200420,Reggio_Emilia,34,511
20200421,Reggio_Emilia,17,404
20200422,Reggio_Emilia,68,1192
20200423,Reggio_Emilia,45,821
20200424,Reggio_Emilia,38,824
20200425,Reggio_Emilia,32,720
20200426,Reggio_Emilia,25,523
20200427,Reggio_Emilia,8,115
20200428,Reggio_Emilia,8,242
20200429,Reggio_Emilia,20,325
20200430,Reggio_Emilia,47,1087
20200501,Reggio_Emilia,53,1378
20200502,Reggio_Emilia,20,376
20200503,Reggio_Emilia,32,952
20200504,Reggio_Emilia,13,274
20200505,Reggio_Emilia,10,574
20200506,Reggio_Emilia,11,580
20200507,Reggio_Emilia,13,648
20200508,Reggio_Emilia,7,304
20200509,Reggio_Emilia,16,727
20200510,Reggio_Emilia,11,610
20200511,Reggio_Emilia,3,112
20200512,Reggio_Emilia,5,430
20200513,Reggio_Emilia,5,471
20200514,Reggio_Emilia,11,673
20200515,Reggio_Emilia,9,818
20200516,Reggio_Emilia,9,597
20200517,Reggio_Emilia,3,170
20200518,Reggio_Emilia,1,79
20200519,Reggio_Emilia,8,734
20200520,Reggio_Emilia,10,1232
20200521,Reggio_Emilia,4,344
20200522,Reggio_Emilia,5,372
20200523,Reggio_Emilia,3,316
20200524,Reggio_Emilia,7,699
20200526,Reggio_Emilia,4,612
20200527,Reggio_Emilia,1,232
20200528,Reggio_Emilia,1,123
20200529,Reggio_Emilia,10,1635
20200530,Reggio_Emilia,2,446
20200531,Reggio_Emilia,1,133
20200601,Reggio_Emilia,2,408
20200602,Reggio_Emilia,2,450
20200604,Reggio_Emilia,4,1129
20200606,Reggio_Emilia,1,235
20200607,Reggio_Emilia,2,687
20200608,Reggio_Emilia,3,752
20200609,Reggio_Emilia,3,1087
20200610,Reggio_Emilia,1,325
20200613,Reggio_Emilia,2,526
20200614,Reggio_Emilia,2,722
20200615,Reggio_Emilia,1,359
20200616,Reggio_Emilia,1,477
20200617,Reggio_Emilia,3,2046
20200618,Reggio_Emilia,2,539
20200619,Reggio_Emilia,4,1178
20200620,Reggio_Emilia,3,677
20200621,Reggio_Emilia,3,553
20200622,Reggio_Emilia,4,389
20200625,Reggio_Emilia,3,500
20200627,Reggio_Emilia,23,2392
20200630,Reggio_Emilia,5,1523
20200702,Reggio_Emilia,1,180
20200703,Reggio_Emilia,1,163
20200704,Reggio_Emilia,2,216
20200705,Reggio_Emilia,2,251
