region,date,import_status,confirm
Piacenza,2020-03-31,local,119
Piacenza,2020-04-01,local,81
Piacenza,2020-04-02,local,49
Piacenza,2020-04-03,local,46
Piacenza,2020-04-04,local,31
Piacenza,2020-04-05,local,50
Piacenza,2020-04-06,local,44
Piacenza,2020-04-07,local,17
Piacenza,2020-04-08,local,27
Piacenza,2020-04-09,local,40
Piacenza,2020-04-10,local,29
Piacenza,2020-04-11,local,14
Piacenza,2020-04-12,local,37
Piacenza,2020-04-13,local,38
Piacenza,2020-04-14,local,29
Piacenza,2020-04-15,local,56
Piacenza,2020-04-16,local,26
Piacenza,2020-04-17,local,25
Piacenza,2020-04-18,local,25
Piacenza,2020-04-19,local,70
Piacenza,2020-04-20,local,24
Piacenza,2020-04-21,local,67
Piacenza,2020-04-22,local,73
Piacenza,2020-04-23,local,53
Piacenza,2020-04-24,local,49
Piacenza,2020-04-25,local,60
Piacenza,2020-04-26,local,56
Piacenza,2020-04-27,local,75
Piacenza,2020-04-28,local,92
Piacenza,2020-04-29,local,75
Piacenza,2020-04-30,local,69
Piacenza,2020-05-01,local,53
Piacenza,2020-05-02,local,60
Piacenza,2020-05-03,local,39
Piacenza,2020-05-04,local,37
Piacenza,2020-05-05,local,35
Piacenza,2020-05-06,local,9
Piacenza,2020-05-07,local,5
Piacenza,2020-05-08,local,34
Piacenza,2020-05-09,local,12
Piacenza,2020-05-10,local,15
Piacenza,2020-05-11,local,14
Piacenza,2020-05-12,local,11
Piacenza,2020-05-13,local,5
Piacenza,2020-05-14,local,14
Piacenza,2020-05-15,local,7
Piacenza,2020-05-16,local,5
Piacenza,2020-05-17,local,5
Piacenza,2020-05-18,local,11
Piacenza,2020-05-19,local,3
Piacenza,2020-05-20,local,11
Piacenza,2020-05-21,local,2
Piacenza,2020-05-22,local,6
Piacenza,2020-05-23,local,2
Piacenza,2020-05-24,local,2
Piacenza,2020-05-25,local,5
Piacenza,2020-05-26,local,1
Piacenza,2020-05-27,local,4
Piacenza,2020-05-28,local,6
Piacenza,2020-05-29,local,0
Piacenza,2020-05-30,local,2
Piacenza,2020-05-31,local,10
Piacenza,2020-06-01,local,2
Piacenza,2020-06-02,local,4
Piacenza,2020-06-03,local,2
Piacenza,2020-06-04,local,1
Piacenza,2020-06-05,local,2
Piacenza,2020-06-06,local,2
Piacenza,2020-06-07,local,3
Piacenza,2020-06-08,local,3
Piacenza,2020-06-09,local,1
Piacenza,2020-06-10,local,7
Piacenza,2020-06-11,local,5
Piacenza,2020-06-12,local,2
Piacenza,2020-06-13,local,2
Piacenza,2020-06-14,local,0
Piacenza,2020-06-15,local,0
Piacenza,2020-06-16,local,4
Piacenza,2020-06-17,local,1
Piacenza,2020-06-18,local,6
Piacenza,2020-06-19,local,0
Piacenza,2020-06-20,local,1
Piacenza,2020-06-21,local,1
Piacenza,2020-06-22,local,1
Piacenza,2020-06-23,local,1
Piacenza,2020-06-24,local,0
Piacenza,2020-06-25,local,1
Piacenza,2020-06-26,local,0
Piacenza,2020-06-27,local,28
Piacenza,2020-06-28,local,0
Piacenza,2020-06-29,local,1
Piacenza,2020-06-30,local,0
Piacenza,2020-07-01,local,1
Piacenza,2020-07-02,local,2
Piacenza,2020-07-03,local,1
Piacenza,2020-07-04,local,2
Piacenza,2020-07-05,local,1
Piacenza,2020-07-06,local,4
Piacenza,2020-07-07,local,2
Piacenza,2020-07-08,local,2
Piacenza,2020-07-09,local,2
Piacenza,2020-07-10,local,5
Piacenza,2020-07-11,local,0
Piacenza,2020-07-12,local,1
Piacenza,2020-07-13,local,2
Piacenza,2020-07-14,local,0
Piacenza,2020-07-15,local,0
Piacenza,2020-07-16,local,0
Piacenza,2020-07-17,local,3
Piacenza,2020-07-18,local,1
Piacenza,2020-07-19,local,6
Piacenza,2020-07-20,local,1
Piacenza,2020-07-21,local,0
