date,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-02-19,2.1448963646040675,2.154004003988377,1.8100163569300367,2.397381954045459,27.23468355263488,0.0,0.0,0,0
2020-02-20,2.128463454194109,2.1283705677199736,1.880163844683126,2.423045778358301,0.4200546033837252,0.0,0.0,0,0
2020-02-21,2.115757081431633,2.115598153495677,1.84731502534316,2.386397592657204,5.957609180787291,0.0,0.0,0,0
2020-02-22,2.0960511023796475,2.0957359125267927,1.8164323650990066,2.3185489414258154,11.36467827225877,0.0,0.0,0,0
2020-02-23,2.0757877062544154,2.070093115823455,1.8321814427259306,2.301577418621707,12.748127585279027,0.0,0.0,0,0
2020-02-24,2.0501873332742355,2.0419950589331024,1.832357007654244,2.281056811046435,14.013131112409658,0.0,0.0,0,0
2020-02-25,2.018080306318747,2.007981687031887,1.7947463472926226,2.226310424302512,16.381982810522842,1.7354583885237502,0.0,0,0
2020-02-26,1.9836934413883198,1.9754543488402994,1.7654857464593212,2.1616217406588576,19.23776622306223,2.706585857279491,0.0,0,0
2020-02-27,1.9443793744891016,1.9356169218940629,1.7593611090772,2.1311162815557507,22.332497792723355,3.4239644539689302,0.0,0,0
2020-02-28,1.8988241684647529,1.8900250374439107,1.7066276213072307,2.0411175433398445,25.78970810321966,4.254629667244295,0.0,0,0
2020-02-29,1.845527415633762,1.835090125238212,1.6565947508641956,1.9965747052742804,29.686945151179096,5.365352570156831,1.7475645765134833,1,11
2020-03-01,1.7913273004439372,1.7832431496729861,1.6370317238345886,1.9424107266173434,34.01059702775921,6.450011434762816,1.7475645765134833,1,3
2020-03-02,1.7364638763264737,1.732310887321653,1.5751369743877304,1.8703303662399915,38.723455370582975,7.889414105147297,0.0,0,0
2020-03-03,1.6765841193559468,1.6783477827962785,1.5444251596638179,1.8325083748391136,43.796280032131754,9.20547731241681,3.4951291530269666,2,12
2020-03-04,1.615483152533757,1.615992786769983,1.4870508294343567,1.7490174344337381,49.1954383495426,10.830448311323442,1.7475645765134833,1,9
2020-03-05,1.5508697795923951,1.5527175140475125,1.420853252481744,1.6557623803811474,54.85010099087113,12.82048840091616,0.0,0,0
2020-03-06,1.488091909531889,1.4910561012083463,1.3653838958503532,1.586509809048026,60.66429522753118,14.87978347380534,0.0,0,0
2020-03-07,1.4276983368623883,1.426190748095391,1.320932300550756,1.545416314996834,66.52063280199873,17.308677321614258,20.970774918161798,12,33
2020-03-08,1.3654793077187835,1.3645373449070433,1.25625339805785,1.4682879745783026,72.29717573573352,20.02743214472093,6.990258306053933,4,14
2020-03-09,1.3049713964574794,1.3045708090637702,1.205350170872602,1.40075356465294,77.87954518021125,23.159652270862857,22.71833949467528,13,16
2020-03-10,1.24949995786231,1.247188666329847,1.154454886187758,1.3415885829595868,83.08858676347421,26.490258699314815,10.485387459080899,6,25
2020-03-11,1.196740169388988,1.1946072403531165,1.1057352550825523,1.285565572912009,87.87901289028727,30.18441110107632,54.17450187191798,31,86
2020-03-12,1.1449896193726605,1.1449245366944019,1.0587979267631717,1.2279708998870678,92.08775297885086,34.21535054484023,36.69885610678315,21,57
