date,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-02-18,2.3451243078991344,2.3280472451709375,2.057654514161201,2.5782764850443214,200.3357890057043,0.0,0.0,0,0
2020-02-19,2.306100929343145,2.291596262177837,2.05124272416796,2.558262878869589,3.4077046217049447,0.0,0.0,0,0
2020-02-20,2.2655066558588057,2.2556831944033933,1.988607073824505,2.4781336447833473,48.33595885853613,0.0,0.0,0,0
2020-02-21,2.2213401730342484,2.209022731150373,1.9782116458668204,2.4334257720038073,92.31927062610433,0.0,0.0,0,0
2020-02-22,2.1583676379529178,2.143445258413551,1.9250433287997013,2.348765343708244,104.43883856335309,0.0,0.0,0,0
2020-02-23,2.0892603052800642,2.08128140146718,1.8804417403832245,2.2862441796428192,116.71514855557031,0.0,0.0,0,0
2020-02-24,2.014256667426607,2.0044754984957196,1.8266534755189734,2.1921401825019813,138.2647112732443,12.75000894395556,0.0,0,0
2020-02-25,1.9245108409467053,1.9214947436962273,1.7339474815260212,2.061725024807158,163.3378257148184,19.904883696219958,0.0,0,0
2020-02-26,1.8366126720389726,1.8339964647514688,1.6604946630957564,1.969072847241952,189.72665096298334,25.473483930463523,0.0,0,0
2020-02-27,1.7461149874839053,1.739851558210077,1.5979713080718665,1.8829656515221715,217.98505591906365,32.29130597471517,0.0,0,0
2020-02-28,1.6499428792611588,1.649847693840229,1.518789436792807,1.7815203896867844,248.0826669980956,41.48457571013101,6.793179718093816,3,36
2020-02-29,1.5549771911563186,1.554481091437423,1.449704827069755,1.6939153890404892,279.3092143294443,50.77454255132289,2.2643932393646056,1,11
2020-03-01,1.4660708307950139,1.4639978372186386,1.3745800376526416,1.591162501699746,310.67856831031554,63.013390751342115,79.25376337776119,35,110
2020-03-02,1.3801984112527241,1.3773475139067055,1.2748866784223793,1.4733568295983501,341.18343011618555,74.69286562342893,24.90832563301066,11,43
2020-03-03,1.3017578495022948,1.300248886779388,1.2163614807404617,1.409232277194123,369.9548933914185,88.95424721804014,58.87422422347974,26,161
2020-03-04,1.226575021802391,1.2290153152470382,1.1360449299104296,1.3170204651787163,396.1456805589983,106.09537199957926,92.84012281394882,41,350
2020-03-05,1.155961282267182,1.1560071251761774,1.0690510911225146,1.2424447761145259,419.0092957591938,123.76367106511803,0.0,0,0
