date,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-02-15,1.4844974215000466,1.4817858428032658,1.2993175637487484,1.6681767195527886,141.90854745972675,0.0,0.0,0,0
2020-02-16,1.4604867222149271,1.4556412958226512,1.2802397690685143,1.6307709805329667,1.5284508582227787,0.0,0.0,0,0
2020-02-17,1.4366431579275996,1.4355835917039257,1.2339101350175865,1.5649347640083415,21.67061213951065,0.0,0.0,0,0
2020-02-18,1.408440820736642,1.4079454433141247,1.2552721756237497,1.552288480324862,41.143296801720375,0.0,0.0,0,0
2020-02-19,1.3781313809691482,1.373838819629547,1.2507867027905655,1.5325439541398056,44.48848299419141,0.0,0.0,0,0
2020-02-20,1.344294824526556,1.343148545304915,1.187252692516644,1.451883328389766,44.81055434326299,0.0,0.0,0,0
2020-02-21,1.3074002442202761,1.3056958519524466,1.1688193750619562,1.4154584216045443,47.2840631865924,9.039181232389227,0.0,0,0
2020-02-22,1.2741469787507287,1.270722078886275,1.1650226381010846,1.3992926098006908,50.55987343785232,14.055266634065447,0.0,0,0
2020-02-23,1.2383245518671102,1.2340785950008932,1.1217853598955791,1.3418974864067486,53.544903361683474,17.171895793385698,0.0,0,0
2020-02-24,1.2042622288959817,1.2003935851059815,1.1020417562536922,1.305425928183968,56.227063959197835,20.014541983009256,0.0,0,0
2020-02-25,1.1724627583466796,1.1718908452347097,1.0742112018257972,1.2749443070676156,58.72705039440989,23.667401081521533,14.180393632155479,125,4112
2020-02-26,1.1400901550688527,1.1380056059963768,1.0398811634043001,1.226771887367338,61.02361131826086,26.585636015101628,0.0,0,0
2020-02-27,1.1092332927052047,1.106076660569021,1.0256070601131044,1.2006973108820873,63.07083382029534,30.554727521953698,0.0,0,0
2020-02-28,1.0788834514581014,1.0779278954594134,0.9890297751300924,1.167302278195231,64.83187827739359,32.912079472510555,26.091924283166076,23,272
2020-02-29,1.0498568575836686,1.046674018785364,0.9634562027784296,1.1359462052380256,66.27934030452788,35.74523820761887,44.15886848672335,55,581
2020-03-01,1.0226919209496166,1.0216091741326734,0.9356160552288443,1.102091328916675,67.39439012390568,39.237533053417366,121.38416949125087,107,335
2020-03-02,0.9982503219291264,0.9975513794875477,0.923375451921259,1.0826686440892686,68.16489302295928,41.732519848003875,45.377259622897526,40,155
2020-03-03,0.9742844689852638,0.97376931997026,0.8871381673048752,1.041336855935979,68.59135095480983,44.58487267465636,75.06546212560244,98,609
2020-03-04,0.9523889918598922,0.9483990958205164,0.873644077882052,1.0174698543400151,68.6893792707538,47.253940209313,54.67096442481091,77,657
2020-03-05,0.9340234786757752,0.9313218660361503,0.8534662794520645,0.9978978159283606,68.47133574748179,50.30738391769042,0.0,0,0
2020-03-06,0.9165344032349805,0.9103479474663234,0.8396940698072157,0.9857839932168658,67.79676074914731,52.54343355747836,91.88895073636748,81,270
2020-03-07,0.9015911010761851,0.8986139523647647,0.8341081486749656,0.9790940056033279,67.04896275937944,54.76795609629568,81.67906732121556,72,198
2020-03-08,0.887555268759403,0.8847416190382891,0.8064752900509579,0.9478620081032771,66.02897116849145,56.889169688200795,47.6461226040424,42,151
2020-03-09,0.8761257155019316,0.8743581650464477,0.8099937422261415,0.9521775972570382,64.78342895626625,58.813920434863014,85.08236179293286,75,94
2020-03-10,0.8652698466484621,0.8618236325952905,0.7961989868449157,0.9380580800177762,63.378049236083896,60.454326903442336,39.70510217003533,35,146
2020-03-11,0.8565844631818514,0.853800261932983,0.7901826889454309,0.9227513913467779,61.84726846379321,61.95985330985584,81.67906732121556,72,201
2020-03-12,0.8496928008058339,0.8463214435216504,0.7860542595278528,0.9192013047624806,60.21287079877178,63.09033700196425,99.82997117037456,88,238
2020-03-13,0.8436228770246705,0.8395860364380907,0.7754279438646029,0.9103076579743214,58.50134273398254,63.880134930387634,11.344314905724382,10,29
2020-03-14,0.8381281124968386,0.836359843064874,0.7702311888545114,0.9021034713091449,56.74367626326612,64.42209752771844,162.22370315185867,143,340
2020-03-15,0.8358811895529337,0.8346787524209467,0.7648419651039351,0.891950820944062,54.96207148141281,64.78896600342652,49.91498558518728,44,90
2020-03-16,0.8350692635530329,0.8331944660530604,0.7558579350142266,0.8900515846779945,53.171270601030365,64.84657599920928,47.6461226040424,42,97
2020-03-17,0.8347150297774384,0.831252338692221,0.7691244326019316,0.9030556514934315,51.39642131702409,64.686318235882,63.528163472056534,56,103
2020-03-18,0.833922406736459,0.8315843755068804,0.7656304332012986,0.8981255306178663,49.663680588916385,64.22474610641167,30.629650245455828,27,46
2020-03-19,0.8376374893149828,0.8354853824501454,0.7656481141303091,0.8951464798731664,47.98419102145052,63.625987521143095,94.15781371751237,83,125
2020-03-20,0.8390871443052583,0.8378242892846743,0.7772592510776256,0.901165823798201,46.358281413943544,62.814630536942055,78.27577284949824,69,143
2020-03-21,0.8411876384831111,0.8420913920955592,0.7733572908528211,0.899001969821335,44.80167229895981,61.872099962465434,108.90542309495406,96,282
2020-03-22,0.8441096224403982,0.8435551883875243,0.7866436061909045,0.9155178118856206,43.32111195862887,60.75086738774735,89.62008775522261,79,181
2020-03-23,0.8481931763456281,0.8486852543093326,0.7823039221451605,0.9175830571186173,41.90913307019013,59.54308304740547,51.04941707575971,45,77
2020-03-24,0.8497407199548667,0.8500622101946553,0.772706453337626,0.9013057926569479,40.564336818695686,58.21411203165903,48.78055409461484,43,76
2020-03-25,0.8535937441561962,0.8504539583552104,0.778586400806264,0.91346087200646,39.29008388084611,56.8304531714884,27.226355773738515,24,73
2020-03-26,0.8541845152526472,0.8504459990863149,0.7831581939197919,0.9173022451130767,38.07921457740879,55.374510937346045,95.2922452080848,84,200
2020-03-27,0.8576993517397864,0.8543466838742408,0.7887625891866717,0.9284332363120202,36.92704798870128,53.904725602731105,43.10839664175265,38,129
2020-03-28,0.8571604049306808,0.8573117616481655,0.7965913952556142,0.9323195338803016,35.82516655032515,52.41467000248934,26.091924283166076,23,72
2020-03-29,0.8579610982552138,0.8562611756116543,0.784845968292955,0.9257569631941288,34.7710039595887,50.952790123221014,31.764081736028267,28,86
2020-03-30,0.8566549838773737,0.8546858378623374,0.7921456810559488,0.9312790476367756,33.75820954573742,49.44886643340586,34.032944717173145,30,95
2020-03-31,0.8584487411752914,0.8577225462510332,0.785899169405312,0.9253985315451367,32.777923088852745,47.98795799535187,32.898513226600706,29,99
2020-04-01,0.8608132212383918,0.8588007185473632,0.7866168168177752,0.9219165488962,31.824363179739144,46.56309126681273,46.511691113469965,41,178
2020-04-02,0.8606709565445344,0.858809207547929,0.7936991447222056,0.9294959629754241,30.901265445421604,45.19035675288614,36.301807698318015,32,169
2020-04-03,0.8608045800503616,0.8600173833842988,0.7846969093658167,0.9228393259071487,30.017805698928253,43.829104887180996,28.360787264310954,25,116
2020-04-04,0.8609831984298357,0.8592469664172686,0.7916576666554767,0.9314061200043563,29.168328549144498,42.526655087763004,27.226355773738515,24,103
2020-04-05,0.863895825308232,0.8601753830151657,0.7934560684400134,0.9314143688821334,28.343721120191713,41.26418214822253,19.28533533973145,17,103
2020-04-06,0.8634319521505115,0.8609682485201056,0.7979964165519594,0.9387394123171837,27.542745408491772,40.046735046142395,26.091924283166076,23,107
2020-04-07,0.8623417125291383,0.8580680849417719,0.793448151394918,0.9330147381343082,26.772954959397303,38.88154002890118,48.78055409461484,43,236
2020-04-08,0.8622786627024048,0.8605395712654214,0.7779541547326841,0.9224684360673733,26.031178303453412,37.74217976448763,29.495218754883393,26,196
2020-04-09,0.8645994473835146,0.8605227342732019,0.7875334771186933,0.9333203575575687,25.306316437770626,36.64756897268116,32.898513226600706,29,196
2020-04-10,0.8646145307335122,0.8601199195987075,0.7915225502326498,0.931798221054437,24.596985263043383,35.58884535817351,48.78055409461484,43,323
2020-04-11,0.8636140702503893,0.8619532278966242,0.7969371815192523,0.9466060471765646,23.911666911245813,34.58091987125255,60.124869000339224,53,342
2020-04-12,0.8648645796589345,0.865750991046992,0.784157185321787,0.9326056370273452,23.250876636745442,33.58480589885614,71.53337851740918,71,463
2020-04-13,0.8636996849318339,0.8633543270157851,0.7880850715226799,0.9328029180848219,22.607195144151536,32.628920261852166,18.150903849159008,16,67
