date,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-02-19,2.0632723275275664,2.0628883224416867,1.7787765009317296,2.3259687606273745,35.09617637429117,0.0,0.0,0,0
2020-02-20,2.056492613680122,2.048799641246962,1.7635412648866784,2.291291141407796,0.5194443268141465,0.0,0.0,0,0
2020-02-21,2.0489097783930377,2.04488707448059,1.77857683163484,2.296499879129037,7.366967778087755,0.0,0.0,0,0
2020-02-22,2.037400277492593,2.029469776034114,1.7784862848931324,2.264649238160316,14.046055431704055,0.0,0.0,0,0
2020-02-23,2.0201015433360303,2.0145932883461186,1.7767796411217307,2.2343403148194843,15.698855903312463,0.0,0.0,0,0
2020-02-24,2.004555340696534,2.0026804924599415,1.7738605655135544,2.2162961227403613,17.12893372861193,0.0,0.0,0,0
2020-02-25,1.9805278989352166,1.971810890759808,1.7920943575486534,2.1983703793493934,19.878587198374962,2.2468517859170896,0.0,0,0
2020-02-26,1.9595910214611896,1.9497234314798342,1.7621786581949461,2.146030875291696,23.217510457557847,3.5027450617874947,0.0,0,0
2020-02-27,1.930839136106285,1.9202498388985647,1.74589809600401,2.116477514402452,26.839940949664012,4.410885912954397,0.0,0,0
2020-02-28,1.9024329322380178,1.8908370108474815,1.7119313640755445,2.0586994372423506,30.901488655426235,5.436898188046987,0.0,0,0
2020-02-29,1.868248686595021,1.866158064144389,1.7060142036955004,2.0266674568530973,35.51285650850756,6.803757193599382,3.1421352196374874,2,8
2020-03-01,1.825326622432396,1.8231140995449882,1.664982952350989,1.9686724849163069,40.69189995748836,8.11734277696573,0.0,0,0
2020-03-02,1.7807307429395498,1.7793741260431746,1.621132917512738,1.9134499435058554,46.442516185631,9.865451733620873,1.5710676098187437,1,4
2020-03-03,1.7349407969777741,1.7325038453716735,1.5940402964121212,1.8771038652559384,52.746139968423016,11.425304874051617,0.0,0,0
2020-03-04,1.6827159958734281,1.6757862635941976,1.556481435507782,1.8260522693042887,59.57420297402555,13.353605984343345,7.855338049093719,5,20
2020-03-05,1.6305353539744407,1.6283582766830782,1.4819132579384893,1.7493014834315117,66.89790653110111,15.7233371483153,12.56854087854995,8,20
2020-03-06,1.5726604176097636,1.5663579406465726,1.4452054809288584,1.6950712989473224,74.64448095226325,18.153395598312024,34.563487416012364,22,32
2020-03-07,1.5155632239922305,1.5106739929286928,1.398000111291332,1.6321041066999538,82.71402720990139,21.034281772991662,12.56854087854995,8,27
2020-03-08,1.4541601933473998,1.4522044068426512,1.331983264201999,1.5611990187785771,90.96631361201663,24.271284673779988,20.42387892764367,13,57
2020-03-09,1.3962225671208182,1.3951002694673773,1.2878048527797428,1.5042826641576283,99.24056032691527,28.037072747735717,28.27921697673739,18,49
2020-03-10,1.3342687479022475,1.335821415145085,1.232120116743925,1.43829923713637,107.2961776859833,32.06665144028254,9.426405658912463,6,24
2020-03-11,1.2781218696883443,1.2772300970157562,1.186331215146698,1.3739452951616524,115.06752866024452,36.590930262012456,34.563487416012364,22,122
2020-03-12,1.2256496507003278,1.2240601814286016,1.1297297845908838,1.3080221199500126,122.26069264479757,41.59839819818007,21.994946537462415,14,65
2020-03-13,1.1731016395632912,1.1708274739018996,1.0956655294725044,1.2591640966633837,128.71272665043853,47.06176903939481,51.84523112401855,33,124
2020-03-14,1.1234932424208623,1.119923994590408,1.046121142876904,1.2088743601345402,134.33906125462414,52.945898849946225,62.84270439274975,40,132
2020-03-15,1.0772830789977426,1.0746372171921936,1.0021679396000576,1.1573869624997897,139.0116422523772,59.25556190160265,54.98736634365604,35,157
2020-03-16,1.0334209624711128,1.0330343453848356,0.9623529756304757,1.1122242819426134,142.6075756294093,65.8741813370024,95.83512419894338,61,148
2020-03-17,0.9932168501494332,0.9906256091684913,0.9181127325498579,1.0583598948254693,145.06922808410454,72.73557235429912,65.98483961238725,42,145
2020-03-18,0.9581314876735525,0.9593999170579472,0.8791571445307157,1.0203870727328468,146.37550482032796,79.7661109504263,97.40619180876212,62,99
2020-03-19,0.9268926267294408,0.9259335224561558,0.8603461430161271,1.000213573781462,146.54494577444098,86.86839895043798,109.97473268731208,70,293
2020-03-20,0.8948471674972334,0.8954234447727467,0.8357188757320774,0.9752260339211568,145.66315831007293,93.88607363634083,136.6828820542307,87,278
2020-03-21,0.8681712456120211,0.8668502307965236,0.791733041820558,0.9279467211058465,143.84588656434093,100.71569255769381,91.12192136948714,58,304
2020-03-22,0.8460958013992317,0.8451675725293142,0.7767128431206305,0.9129314451129081,141.15392581771923,107.20608774582801,100.5483270283996,64,256
2020-03-23,0.8229875298879307,0.8217336825740469,0.7599506794809078,0.8917796218669858,137.68370523533451,113.26971460824988,249.79974996118025,159,516
2020-03-24,0.8023736977326361,0.8010592084461456,0.7294896311797314,0.8569341540057074,133.60334382861578,118.76708174373178,212.09412732553042,135,437
2020-03-25,0.7847929222725094,0.7809090393544731,0.7208656021355004,0.8412217412685103,129.0176870789013,123.61202080367184,148.63640500093697,139,785
2020-03-26,0.7701211331553263,0.7683421262335748,0.6981654727257708,0.8204713382632222,124.00106407304493,127.70702597024335,147.1254836653285,146,833
2020-03-27,0.757566845323411,0.7543504840213301,0.6950567548744114,0.8112653770987379,118.66962923327885,131.01252848056453,119.91734627516499,160,1120
2020-03-28,0.7458111191508927,0.7436393655715714,0.6884283141478451,0.800461106057564,113.15154503156658,133.4782065944293,128.51319145064141,173,1130
2020-03-29,0.7357066628940103,0.7359653275330627,0.6782112619041895,0.7899042867206201,107.55394996500884,135.099677637829,0.0,0,0
2020-03-30,0.7262969810832496,0.7253731165406769,0.6682534005637152,0.7800155096683595,101.94728068453077,135.87537122615674,0.0,0,0
2020-03-31,0.7183704895525622,0.7188318939879452,0.6583926046620636,0.7717493196481526,96.38568537739518,135.84224286415045,106.83259746767457,68,444
2020-04-01,0.712159714089744,0.7111224550720758,0.6515463998731315,0.7635804607062465,90.91534866002516,135.03548134698278,152.42961544182387,144,793
2020-04-02,0.7081221661002398,0.7076127923566313,0.6507062964979535,0.7629275150681987,85.5754795548461,133.51714467962873,221.52053298444287,141,529
