date,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-02-15,1.9139479809107842,1.9051679367268741,1.6850545755461759,2.16715539987515,57.78757630223001,0.0,0.0,0,0
2020-02-16,1.8934147382005917,1.892597482006335,1.6489673881496256,2.104147948540349,0.8002456186892809,0.0,0.0,0,0
2020-02-17,1.8741030045610565,1.8693403888513367,1.6514713610445189,2.0683629936946244,11.348517331901288,0.0,0.0,0,0
2020-02-18,1.8482511707924678,1.839765289840904,1.6333746617299791,2.0227210301729297,21.61289069742655,0.0,0.0,0,0
2020-02-19,1.816903797623158,1.8188135606557065,1.615416957554006,1.986509453880081,23.940082677092303,0.0,0.0,0,0
2020-02-20,1.7788924218920052,1.7749268557252096,1.5773267797665993,1.9187103592342247,25.557705995856868,0.0,0.0,0,0
2020-02-21,1.7370831467418875,1.734517202681382,1.5650639256145442,1.8862886136641057,28.892737979586375,3.692311457374873,0.0,0,0
2020-02-22,1.6975883060691888,1.6949995372633415,1.5205665875685674,1.8287771284006662,32.8792376627929,5.752637296346736,0.0,0,0
2020-02-23,1.654033844826272,1.6528744109560227,1.499918779678196,1.7820001314241587,36.95494284017119,7.193158329466392,0.0,0,0
2020-02-24,1.6069231895761567,1.6072533000626557,1.4695639222316221,1.7360154508338739,41.23248704129615,8.754626533825844,0.0,0,0
2020-02-25,1.552182253731412,1.5508918146960644,1.4219647539168307,1.677218826946333,45.79462702433314,10.817109030475248,6.489383926961598,4,122
2020-02-26,1.5002884454632743,1.4970656607128991,1.3809824213157738,1.623642830458128,50.57417074853003,12.725666641445573,6.489383926961598,4,35
2020-02-27,1.4481954872542229,1.4471678298959478,1.3411124871504443,1.5545548774991893,55.45583791055612,15.24975425806374,3.244691963480799,2,18
2020-02-28,1.3980489383761054,1.3965565548841403,1.289526780443801,1.506404374303831,60.353083486117455,17.33359906310746,27.579881689586788,17,86
2020-02-29,1.3485863939560119,1.3455042107411757,1.2408993781329847,1.4436161362356736,65.1968459240877,19.855540859971658,12.978767853923197,8,30
2020-03-01,1.2965849493526247,1.292902243790433,1.1972648276992226,1.4030605162713725,69.90669058261548,22.896369577340813,38.936303561769584,24,86
2020-03-02,1.2469069913101856,1.2439699897137848,1.151305752228366,1.3419778240464424,74.39512001014988,25.78291452652606,3.244691963480799,2,7
2020-03-03,1.1984442945559233,1.1978395689706782,1.095713522856599,1.2821543549911647,78.55160450301268,29.09405946246954,0.0,0,0
2020-03-04,1.154674857082515,1.1499793553205575,1.0775492351382663,1.2573212291683467,82.27282367084347,32.60856906281539,50.29272543395238,31,122
2020-03-05,1.1141208749077487,1.1147548105393161,1.0351058253478944,1.1996264710579263,85.48090102443,36.542223407480755,56.782109360913985,35,87
2020-03-06,1.0755902838754017,1.0692815437707774,0.9956263963059706,1.1531526858851933,88.05372980967607,40.38915884641952,50.29272543395238,31,45
2020-03-07,1.0395895108615811,1.0369681079425646,0.9600865269723943,1.1152194462927707,90.15824218516713,44.46024790208982,77.87260712353917,48,160
2020-03-08,1.0061671689622118,1.0044218367341295,0.919287266745806,1.076013862518378,91.65013059016567,48.67979669506268,76.25026114179877,47,205
2020-03-09,0.9755478216901513,0.9743715475718382,0.8937700108560279,1.0453923219920622,92.52514972809207,52.95877920385994,4.867037945221198,3,8
2020-03-10,0.9478015276681578,0.9463026938387704,0.8715795999086008,1.0173022996365497,92.81217207482568,57.20999561876018,74.62791516005838,46,184
2020-03-11,0.9217442198662882,0.9204837132285135,0.8532985756575373,0.994776879302999,92.54120673556885,61.43632672172913,77.06528376720192,53,295
2020-03-12,0.8973463960432818,0.8952682204671352,0.821564706184611,0.957371996541753,91.75074873798916,65.47417795570719,84.36199105050078,52,240
2020-03-13,0.875541965588108,0.8730878357364735,0.8066515201487868,0.9369670146577577,90.48387040328355,69.27576412476587,114.0406296868587,88,331
2020-03-14,0.856402843472558,0.853553522959202,0.788835615870331,0.9205040922793858,88.78395804866474,72.81835881806387,84.36199105050078,52,171
2020-03-15,0.8381458883335239,0.8354348352791517,0.7812742439030683,0.9083007000624698,86.70261521839153,76.07213280694235,95.78456683650212,92,412
2020-03-16,0.8240927609619245,0.8215246100800038,0.7527271292424637,0.8781451274332412,84.30422511701953,78.92976894310478,73.00556917831797,45,109
2020-03-17,0.8121474035801822,0.8120545868112223,0.753231489436613,0.8759081092537147,81.6465724768156,81.38651638631652,123.88878824289141,93,322
