date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,retail,grocery,parks,transit,work,home,infections,rt1,rt2,state
2020-04-03,55,6.86666666666667,71.7225445742701,50,22,45,4,-88,-37,-83,-81,-71,36,20.6962148430564,0.729194175555237,0.842023408457479,Emilia-Romagna
2020-04-04,12,9.75,58.1131789600382,61,30,43,5,-92,-48,-90,-86,-67,30,19.5076855580458,0.731846693996348,0.867037075215995,Emilia-Romagna
2020-04-05,30,11.3833333333333,53.8962707890885,57,29,43,3,-97,-95,-94,-89,-69,27,18.3921782172234,0.73204884049146,0.885089833669894,Emilia-Romagna
2020-04-06,22,11.5666666666667,57.6246082795334,53,33,47,4,-86,-40,-81,-78,-67,31,17.3482988681798,0.730814799683726,0.900210672402415,Emilia-Romagna
2020-04-07,9,11,58.7809498584415,72,31,44,4,-82,-38,-79,-78,-67,32,16.369367767076,0.731223297008665,0.912820605788331,Emilia-Romagna
2020-04-08,12,10.3333333333333,52.8816951927516,65,26,43,4,-82,-38,-81,-78,-67,32,15.4446380591588,0.732037753466432,0.905730946548495,Emilia-Romagna
2020-04-09,17,11.5666666666667,44.4549377795965,59,20,44,6,-82,-35,-80,-78,-67,33,14.5700240404897,0.733581788648783,0.892304608614961,Emilia-Romagna
2020-04-10,38,13.2166666666667,49.2632939411924,53,24,52,5,-81,-26,-81,-79,-68,34,13.7456863362851,0.733822444057596,0.892409362775677,Emilia-Romagna
2020-04-11,26,13.4166666666667,57.7263733916126,55,30,59,3,-88,-44,-88,-84,-66,29,12.9712063875042,0.733151231340305,0.890846139848565,Emilia-Romagna
2020-04-12,29,14.2833333333333,57.6195086733398,61,21,48,3,-97,-95,-95,-91,-71,27,12.2429598144866,0.732715132149618,0.903761489145147,Emilia-Romagna
2020-04-13,21,18,39.0957331733081,55,19,48,3,-96,-96,-89,-90,-91,40,11.5553181805897,0.732901610373537,0.907166939104917,Emilia-Romagna
2020-04-14,13,12.6,60.7750401382582,50,21,44,3,-83,-41,-82,-77,-66,32,10.9045794206355,0.731319985620333,0.918042157554317,Emilia-Romagna
2020-04-15,9,10.6666666666667,48.8626715739379,38,18,38,3,-82,-39,-78,-76,-64,32,10.289692637836,0.731646040981136,0.908127342855036,Emilia-Romagna
2020-04-16,25,12,63.9748990563318,25,19,40,5,-80,-38,-78,-77,-64,32,9.70808721542908,0.731861059130078,0.912682814873539,Emilia-Romagna
2020-04-17,17,13.5,66.2058505486362,34,18,40,4,-81,-33,-81,-78,-63,34,9.15810559784045,0.733643954487948,0.903834622788804,Emilia-Romagna
2020-04-18,14,16.1333333333333,66.198731202312,38,22,41,3,-87,-44,-88,-83,-61,29,8.63969950054068,0.733789654449874,0.89516923306289,Emilia-Romagna
2020-04-19,13,16.0333333333333,84.9913933489643,17,18,37,3,-95,-85,-93,-88,-62,26,8.15267195175807,0.735318743257792,0.870391482390887,Emilia-Romagna
2020-04-20,28,14.7666666666667,94.182389875379,13,17,35,3,-81,-44,-84,-77,-62,30,7.6949392265309,0.736402713450553,0.854160170324434,Emilia-Romagna
2020-04-21,6,12.5,91.3108513759712,13,23,34,3,-82,-42,-82,-77,-62,31,7.26471141713096,0.739213595940037,0.834966839701619,Emilia-Romagna
2020-04-22,22,13.4666666666667,77.795438680628,17,28,36,3,-80,-39,-78,-75,-61,31,6.86095545706434,0.741648249445398,0.814234108338416,Emilia-Romagna
2020-04-23,37,12.95,67.0765106549764,25,26,46,3,-79,-36,-75,-74,-61,31,6.48304336228085,0.741244112104213,0.803366153383374,Emilia-Romagna
2020-04-24,16,13.5,63.8982488401999,59,24,46,5,-77,-23,-75,-73,-60,31,6.12992863839403,0.742284604215333,0.781582957344904,Emilia-Romagna
2020-04-25,7,17.0333333333333,58.957235670041,61,15,43,3,-95,-94,-89,-87,-76,32,5.79812907731294,0.747019655009073,0.782440219794779,Emilia-Romagna
2020-04-26,3,16.8166666666667,57.8711069144107,38,13,41,3,-93,-56,-91,-86,-56,24,5.48519259360157,0.749790105269469,0.758303840000149,Emilia-Romagna
2020-04-27,16,16.7333333333333,75.0034736040252,34,11,42,4,-73,-28,-72,-70,-56,26,5.19231545835574,0.753919771021954,0.74470915319012,Emilia-Romagna
2020-04-28,20,15.85,75.8796788484543,21,10,32,3,-76,-36,-76,-73,-57,29,4.91940160245367,0.756365344670012,0.727190128465241,Emilia-Romagna
2020-04-29,17,17.3666666666667,53.1840466136534,13,7,34,3,-75,-32,-70,-71,-57,28,4.66482172211433,0.760940986364405,0.719849496218198,Emilia-Romagna
2020-04-30,15,18,67.6495819929059,13,10,33,3,-71,-21,-69,-70,-55,27,4.42675962361871,0.764086089298212,0.711875337805314,Emilia-Romagna
2020-05-01,4,18.95,50.658826085488,13,7,33,3,-93,-94,-82,-87,-87,43,4.20429357175292,0.76639132294464,0.722392662250326,Emilia-Romagna
2020-05-02,13,18.5333333333333,69.9930261390575,13,11,NaN,3,-81,-32,-80,-79,-55,26,3.99643041565031,0.770600936857415,0.732596732890853,Emilia-Romagna
2020-05-03,5,15.5,71.559329094395,13,11,NaN,3,-92,-67,-89,-85,-52,24,3.80133952337362,0.775150434885382,0.750070449679371,Emilia-Romagna
2020-05-04,9,16.5833333333333,61.1087614942539,17,14,NaN,3,-57,-22,-8,-50,-41,16,3.61835708900792,0.777828482448052,0.76871105527777,Emilia-Romagna
