date,daily_cases,med_temp,med_hum,pm25,pm10,no2,retail,grocery,parks,transit,work,home,infections,rt1,rt2,state
2020-04-14,102,13.05,62.7225996869126,57,20,12,-84,-48,-81,-86,-67,32,39.3068372255366,0.759818117027412,0.901511702740324,Lombardia
2020-04-15,71,11.5,52.594556961226,65,17,7,-83,-45,-80,-86,-65,32,37.354333761502,0.758826607674574,0.888937695457,Lombardia
2020-04-16,69,12.5,53.7863784759571,53,23,15,-82,-44,-81,-87,-65,33,35.4812943350994,0.757256590375879,0.887117868749302,Lombardia
2020-04-17,68,16,46.828624456401,63,20,15,-83,-42,-81,-87,-65,34,33.6944345410158,0.756384912297067,0.890512649622179,Lombardia
2020-04-18,85,16.75,62.6348652929856,61,22,9,-89,-56,-88,-88,-63,27,31.9895527756678,0.755263417730444,0.89776679108729,Lombardia
2020-04-19,52,15.5,81.6816623605117,57,27,5,-95,-80,-94,-92,-60,23,30.3623602741009,0.755006558704244,0.917309974395363,Lombardia
2020-04-20,38,13,96.3197914757477,70,24,8,-82,-51,-86,-89,-63,31,28.8107655455243,0.755543999752589,0.935558305742737,Lombardia
2020-04-21,55,10.025,93.7123010317288,74,17,7,-82,-48,-82,-87,-63,31,27.334001696423,0.757302839705729,0.9605017794939,Lombardia
2020-04-22,51,14.75,57.6315632882632,61,17,7,-81,-46,-79,-85,-61,31,25.9334992872377,0.755975156746815,0.975353976031913,Lombardia
2020-04-23,38,14.5,61.1430561649108,55,22,10,-81,-45,-78,-86,-62,31,24.6108861795171,0.758133924434837,0.990447561766538,Lombardia
2020-04-24,36,16.5,59.5089844574159,68,25,8,-81,-37,-79,-86,-61,32,23.3581553148468,0.760406180742344,0.99746192154728,Lombardia
2020-04-25,31,16.25,66.5793492335623,76,20,9,-93,-69,-89,-91,-70,28,22.1726955021383,0.762652107744882,1.00605923825901,Lombardia
2020-04-26,60,16.75,65.6866534044184,61,12,1,-94,-76,-92,-92,-56,22,21.0574666616671,0.767465086997769,1.00227997048841,Lombardia
2020-04-27,29,16,73.5224054236603,53,16,7,-77,-41,-79,-87,-59,28,20.0102048151478,0.771407314463037,1.00085647420479,Lombardia
2020-04-28,72,14.5,87.8576176759368,53,14,9,-80,-46,-81,-86,-59,30,19.0314716013426,0.775703503787483,0.997790287811607,Lombardia
2020-04-29,51,15.2833333333333,73.5045768644196,42,7,4,-79,-40,-79,-84,-58,29,18.1195531338796,0.78251491506932,0.994425729050403,Lombardia
2020-04-30,48,13.0166666666667,90.6675056918267,30,10,7,-77,-34,-81,-85,-59,29,17.2694194952301,0.789297535352962,0.971975904835742,Lombardia
2020-05-01,38,14,82.1967196616876,46,9,1,-93,-81,-84,-93,-88,44,16.4805260496261,0.796327805187822,0.941816604367926,Lombardia
2020-05-02,10,18.25,47.4549691880127,42,7,2,-83,-47,-83,-86,-59,25,15.7519678422424,0.803221138223991,0.894961671957586,Lombardia
2020-05-03,68,17.15,53.7399924116888,13,4,2,-92,-70,-89,-90,-49,21,15.0796876802001,0.810230336918245,0.845271051772985,Lombardia
2020-05-04,55,16.75,50.1604409474953,17,10,16,-61,-29,-38,-78,-46,20,14.4588450769432,0.818980004854861,0.786484906215565,Lombardia
2020-05-05,53,16.75,70.0896949390904,38,18,17,-61,-30,-34,-75,-46,21,13.8857136605256,0.828400017484215,0.750194774068149,Lombardia
2020-05-06,127,17.5,72.1031988433264,55,28,18,-62,-30,-40,-76,-46,21,13.3590614365591,0.838461370771519,0.73686607291765,Lombardia
2020-05-07,55,17,60.7766408220693,68,17,19,-62,-31,-37,-76,-46,22,12.8783133333054,0.845671580109621,0.718129941777845,Lombardia
2020-05-08,75,19.75,45.277692618849,53,20,26,-62,-27,-35,-78,-47,23,12.4415481442241,0.854909059929501,0.707195039790158,Lombardia
2020-05-09,16,20,46.7646575383215,61,11,16,-66,-36,-36,-74,-42,17,12.0426513779411,0.863265407591683,0.709408535250152,Lombardia
2020-05-10,18,17,85.3659358060691,50,18,10,-73,-53,-63,-82,-26,14,11.6777233266752,0.872714511084423,0.705603152935946,Lombardia
2020-05-11,14,14.15,93.7127979787003,53,14,17,-66,-42,-77,-81,-45,23,11.3450259480325,0.878674686114205,0.704863353152923,Lombardia
2020-05-12,77,17.25,79.171077420244,55,10,19,-56,-28,-32,-74,-42,20,11.0429925188205,0.887605769272998,0.71445635667107,Lombardia
2020-05-13,29,14,93.7569406162309,21,13,16,-66,-37,-74,-78,-43,23,10.7670358575199,0.897665488506563,0.738849871402422,Lombardia
2020-05-14,20,17.85,80.1440142580928,50,15,14,-58,-28,-35,-74,-42,21,10.5149952799658,0.905153534588407,0.767172799642924,Lombardia
2020-05-15,13,17.0333333333333,82.7442340235682,53,13,16,-61,-27,-54,-78,-44,23,10.2887058285806,0.911520605751515,0.810997137405961,Lombardia
2020-05-16,41,17.0166666666667,82.7416734919132,42,13,13,-64,-34,-60,-76,-37,18,10.0859480925748,0.917647706708966,0.851220744649195,Lombardia
2020-05-17,3,18,86.0987943305655,42,17,14,-65,-49,-35,-77,-18,13,9.90154791432385,0.924114664839286,0.881264412162022,Lombardia
2020-05-18,13,21.25,66.6854301540548,50,14,15,-36,-24,-9,-71,-37,16,9.73242713753131,0.927087937874675,0.909101003941929,Lombardia
2020-05-19,9,18.5,81.2422788688101,34,21,17,-37,-21,-15,-69,-37,17,9.57803695292375,0.929575799247656,0.916502042319591,Lombardia
2020-05-20,12,20.75,68.0938884015891,68,24,16,-36,-21,15,-66,-36,16,9.43525532724554,0.932234836666503,0.918741211854652,Lombardia
2020-05-21,10,21.75,62.9047753502109,65,20,15,-33,-17,8,-66,-41,17,9.29985073074401,0.934232316012877,0.911390332423004,Lombardia
2020-05-22,23,22,65.3581762798222,30,25,22,-35,-16,6,-70,-38,17,9.17043819803503,0.9338784348994,0.91652166618168,Lombardia
2020-05-23,44,19.9666666666667,81.6374136552128,74,24,17,-40,-23,-7,-64,-26,12,9.04662478704344,0.934924128470851,0.905814936673012,Lombardia
2020-05-24,16,20.25,39.1724821618766,72,6,17,-34,-32,33,-67,-5,7,8.92608519921611,0.934107932729829,0.911393380411924,Lombardia
2020-05-25,5,21,37.9132740648244,13,10,16,-30,-21,12,-70,-36,15,8.80774844455606,0.932281425257948,0.904867144254281,Lombardia
2020-05-26,9,20,45.1534693860264,42,15,17,-29,-18,24,-66,-34,14,8.69076339515368,0.93035428930237,0.896609909703029,Lombardia
2020-05-27,17,19.1166666666667,48.839178779243,46,10,21,-30,-15,21,-65,-34,14,8.57313021462542,0.924809410109616,0.890879155516561,Lombardia
2020-05-28,12,21,52.8477939393605,42,15,17,-30,-16,13,-66,-34,15,8.45355671742771,0.920932919421672,0.900613762156596,Lombardia
2020-05-29,41,17.5,55.9014472838968,53,13,12,-30,-12,11,-68,-35,15,8.3292057103764,0.912457106913543,0.90163952600683,Lombardia
2020-05-30,4,19.25,55.515812813568,53,10,14,-29,-16,37,-58,-21,9,8.19861059039654,0.907542257032011,0.920146336661433,Lombardia
2020-05-31,25,18.25,66.0287357069204,53,13,10,-27,-25,36,-64,1,6,8.05968913419269,0.900285697787184,0.942191447903133,Lombardia
2020-06-01,3,20.25,60.3999655690513,59,18,13,-5,5,133,-63,-54,15,7.91243957664773,0.894292148347292,0.96250233658305,Lombardia
2020-06-02,10,21.4666666666667,54.2021458043767,68,19,10,-28,-35,291,-68,-73,21,7.75778458231268,0.886781223004404,0.975731058216124,Lombardia
