date, pm25, pm10, no2
2019-11-13,34,21,34
2019-11-14,57,20,20
2019-11-15,57,10,23
2019-11-16,30,23,18
2019-11-17,63,9,18
2019-11-18,25,18,23
2019-11-19,57,15,25
2019-11-20,42,17,18
2019-11-21,42,28,22
2019-11-22,80,36,17
2019-11-23,85,10,15
2019-11-24,13,8,14
2019-11-25,17,14,22
2019-11-26,34,30,21
2019-11-27,68,25,20
2019-11-28,57,29,18
2019-11-29,61,35,20
2019-11-30,82,34,21
2019-12-01,78,34,19
2019-12-02,74,17,24
2019-12-03,42,19,25
2019-12-04,53,30,31
2019-12-05,72,49,28
2019-12-06,104,57,23
2019-12-07,134,57,35
2019-12-08,147,62,24
2019-12-09,153,66,25
2019-12-10,157,45,37
2019-12-11,102,36,30
2019-12-12,82,22,27
2019-12-13,65,21,24
2019-12-14,63,23,33
2019-12-15,74,46,24
2019-12-16,109,50,18
2019-12-17,119,52,21
2019-12-18,114,39,18
2019-12-19,78,41,20
2019-12-20,82,23,20
2019-12-21,53,16,23
2019-12-22,38,10,12
2019-12-23,17,9,12
2019-12-24,25,13,29
2019-12-25,46,30,24
2019-12-26,74,39,24
2019-12-27,93, , 
2019-12-29,139,57,19
2019-12-30,149, , 
2019-07-02,61,21,19
2019-07-03,38,23,17
2019-07-04,50,13,23
2019-07-05,42,25,22
2019-07-06,53,29,17
2019-07-07,65,20,14
2019-07-08,53,21,13
2019-07-09,38,18,9
2019-07-10,42,12,9
2019-07-11,21,16,13
2019-07-12,21,24,13
2019-07-13,38,468,11
2019-07-14,46,146,7
2019-07-15,17,11,12
2019-07-16,21,19,14
2019-07-17,46,18,14
2019-07-18,34,24,20
2019-07-19,50,27,17
2019-07-20,59,28,16
2019-07-21,63,22,9
2019-07-22,50,37,18
2019-07-23,70,47,19
2019-07-24,76,42,20
2019-07-25,68,39,21
2019-07-26,65,29,17
2019-07-27,46,20,8
2019-07-28,46,18,9
2019-07-29,25,16,14
2019-07-30,38,20,14
2019-07-31,42,21,18
2019-08-01,46,25,14
2019-08-02,55,28,19
2019-08-03,46,15,17
2019-08-04,38,20,17
2019-08-05,38,15,11
2019-08-06,25,25,11
2019-08-07,53,15,8
2019-08-08,34,16,13
2019-08-09,30,27,19
2019-08-10,55,27,17
2019-08-11,70,21,8
2019-08-12,42,19,11
2019-08-13,50,11,11
2019-08-14,42,13,15
2019-08-15,30,16,16
2019-08-16,25,11,14
2019-08-17,30,18,20
2019-08-18,21,20,12
2019-08-19,46,22,11
2019-08-20,55,25,16
2019-08-21,50,16,17
2019-08-22,50,13,11
2019-08-23,42,32,16
2019-08-24,59,34,15
2019-08-25,74,20,13
2019-08-26,59,27,16
2019-08-27,68,29,22
2019-08-28,65,38,18
2019-08-29,78,20,15
2019-08-30,55,30,22
2019-08-31,68,30,18
2019-09-01,74,30,13
2019-09-02,65,21,16
2019-09-03,50,13,11
2019-09-04,30,13,15
2019-09-05,34,13,22
2019-09-06,55,5,12
2019-09-07,17,9,18
2019-09-08,46,5,10
2019-09-09,21,8,27
2019-09-10,25,11,20
2019-09-11,46,3,26
2019-09-12,50, ,36
2019-09-13,61,22,27
2019-09-14,80,28,23
2019-09-15,74,26,24
2019-09-16,65,34,27
2019-09-17,80,33,31
2019-09-18,93,33,26
2019-09-19,70,8,21
2019-09-20,25,15,18
2019-09-21,30,22,26
2019-09-22,53,28,17
2019-09-23,53,17,17
2019-09-24,46,3,26
2019-09-25,70, ,21
2019-09-26,85, ,28
2019-09-27,93,28,19
2019-09-28,74,32,17
2019-09-29,63,16,12
2019-09-30,34,21,18
2019-10-01,34,36,15
2019-04-02,84,41,31
2019-04-03,72,21,28
2019-04-04,50,11,21
2019-04-05,25,11,22
2019-04-06,25,22,16
2019-04-07,57,23,10
2019-04-08,53,17,16
2019-04-09,42,24,28
2019-04-10,63,24,34
2019-04-11,59,13,17
2019-04-12,30,12,26
2019-04-13,25,15,13
2019-04-14,50,13,11
2019-04-15,55,5,26
2019-04-16,55,10,24
2019-04-17,76,27,27
2019-04-18,76,30,20
2019-04-19,76,18,35
2019-04-20,63,14,19
2019-04-21,53,12,15
2019-04-22,42,17,5
2019-04-23,46,5,14
2019-04-24,25,12,11
2019-04-25,34,22,12
2019-04-26,53,16,10
2019-04-27,46,6,14
2019-04-28,21,10,22
2019-04-29,21,8,11
2019-04-30,17,10,17
2019-05-01,25,11,8
2019-05-02,30,8,17
2019-05-03,42,8,17
2019-05-04,21,7,13
2019-05-05,25,5,6
2019-05-06,9,3,17
2019-05-07,13,4,14
2019-05-08,25,7,25
2019-05-09,38,11,25
2019-05-10,21,22,25
2019-05-11,46,19,12
2019-05-12,30,5,13
2019-05-13,9,10,22
2019-05-14,21,11,17
2019-05-15,13,7,25
2019-05-16,17,2,13
2019-05-17,21,10,11
2019-05-18,25,9,16
2019-05-19,17,8,15
2019-05-20,21,11,11
2019-05-21,13,15,13
2019-05-22,17,19,13
2019-05-23,38,16,11
2019-05-24,30,23,14
2019-05-25,53,23,12
2019-05-26,53,16,9
2019-05-27,30,10,16
2019-05-28,21,14,11
2019-05-29,34,6,11
2019-05-30,21,8,12
2019-05-31,17,6,16
2019-06-01,17,7,30
2019-06-02,38,8,17
2019-06-03,34,11,18
2019-06-04,42,14,17
2019-06-05,42,13,12
2019-06-06,42,14,8
2019-06-07,42,67,12
2019-06-08,25,60,9
2019-06-09,38,58,12
2019-06-10,38,43,18
2019-06-11,34,51,11
2019-06-12,38,38,12
2019-06-13,42,18,18
2019-06-14,25,27,17
2019-06-15,30,43,17
2019-06-16,50,27,12
2019-06-17,25,26,20
2019-06-18,30, , 
2019-06-30,50,27,25
2019-07-01,46,31,28
2019-01-02,142,43,28
2019-01-03,91,32,44
2019-01-04,68,51,33
2019-01-05,117,57,34
2019-01-06,144,65,46
2019-01-07,157,74,35
2019-01-08,164,69,25
2019-01-09,157,46,31
2019-01-10,91,31,48
2019-01-11,63,42,44
2019-01-12,87,44,37
2019-01-13,93,60,39
2019-01-14,153,32,25
2019-01-15,78,34,71
2019-01-16,68,53,42
2019-01-17,97,55,31
2019-01-18,134,49,20
2019-01-19,114,15,22
2019-01-20,38,48,25
2019-01-21,107,61,29
2019-01-22,153,62,35
2019-01-23,155,38,21
2019-01-24,93,42,40
2019-01-25,107,55,43
2019-01-26,137,58,38
2019-01-27,147,65,27
2019-01-28,159,60,28
2019-01-29,151,41,31
2019-01-30,107,30,23
2019-01-31,72,35,24
2019-02-01,97,30,27
2019-02-02,85,26,21
2019-02-03,76,24,22
2019-02-04,68,30,44
2019-02-05,80,42,41
2019-02-06,104,58,55
2019-02-07,147,59,34
2019-02-08,151,62,52
2019-02-09,152,63,32
2019-02-10,155,68,27
2019-02-11,163,42,16
2019-02-12,114,17,35
2019-02-13,42,31,46
2019-02-14,80,51,39
2019-02-15,112,63,38
2019-02-16,155,69,45
2019-02-17,160,75,68
2019-02-18,167,58,43
2019-02-19,147,41,44
2019-02-20,93,63,26
2019-02-21,154,64,50
2019-02-22,154,62,38
2019-02-23,154,55,32
2019-02-24,129,29,23
2019-02-25,65,49,38
2019-02-26,93,58,67
2019-02-27,122,61,62
2019-02-28,122,57,38
2019-03-01,132,55,31
2019-03-02,122,54,43
2019-03-03,122,58,36
2019-03-04,142,57,26
2019-03-05,129,40,48
2019-03-06,91,47,31
2019-03-07,93,36,16
2019-03-08,76,31,23
2019-03-09,68,27,22
2019-03-10,46,25,33
2019-03-11,53,27,22
2019-03-12,55,13,33
2019-03-13,25,24,32
2019-03-14,42,27,38
2019-03-15,61,22,33
2019-03-16,57,48,24
2019-03-17,91,55,22
2019-03-18,112,13,16
2019-03-19,42,12,22
2019-03-20,38,19,23
2019-03-21,50,30,41
2019-03-22,61,42,28
2019-03-23,80,49,52
2019-03-24,87,45,43
2019-03-25,87,34,25
2019-03-26,63,16,16
2019-03-27,30,17,23
2019-03-28,42,19,20
2019-03-29,46,34,26
2019-03-30,76,30,33
2019-03-31,61,36,32
2019-04-01,76,44,37
2018-10-02,53,16,26
2018-10-03,42,20,22
2018-10-04,55,35,30
2018-10-05,80,25,23
2018-10-06,61,28,14
2018-10-07,80,35,28
2018-10-08,76,37,34
2018-10-09,85,35,40
2018-10-10,80,51,28
2018-10-11,107,46,19
2018-10-12,95,44,27
2018-10-13,93,46,40
2018-10-14,97,53,40
2018-10-15,114,51,28
2018-10-16,104,50,28
2018-10-17,93,48,24
2018-10-18,95,51,38
2018-10-19,91,50,45
2018-10-20,93,55,43
2018-10-21,117,50,24
2018-10-22,102,19,36
2018-10-23,34,30,33
2018-10-24,55,38,28
2018-10-25,53,57,21
2018-10-26,112,37,25
2018-10-27,53,23,18
2018-10-28,46,12,15
2018-10-29,25,15,22
2018-10-30,21,9,14
2018-10-31,21,15,24
2018-11-01,34,13,18
2018-11-02,25,28,17
2018-11-03,61,24,17
2018-11-04,50,24,15
2018-11-05,46,22,18
2018-11-06,53,25,27
2018-11-07,46,26,21
2018-11-08,57,20,23
2018-11-09,53,39,21
2018-11-10,91,40,16
2018-11-11,80,39,23
2018-11-12,80,42,17
2018-11-13,93,28,19
2018-11-14,57,45,27
2018-11-15,93,41,23
2018-11-16,87,30,27
2018-11-17,63,18,40
2018-11-18,34,20,33
2018-11-19,57,27,29
2018-11-20,59,18,26
2018-11-21,53,32,19
2018-11-22,72,32,36
2018-11-23,76,45,28
2018-11-24,107,18,22
2018-11-25,46,24,17
2018-11-26,55,34,28
2018-11-27,76,47,26
2018-11-28,97,40,33
2018-11-29,93,38,27
2018-11-30,85,45,21
2018-12-01,102,63,33
2018-12-02,154,63,15
2018-12-03,153,67,28
2018-12-04,158,71,44
2018-12-05,158,59,34
2018-12-06,144,60,30
2018-12-07,151,56,22
2018-12-08,122,37,32
2018-12-09,87,32,25
2018-12-10,70,10,20
2018-12-11,17,23,42
2018-12-12,50,39,36
2018-12-13,76,42,33
2018-12-14,80,47,44
2018-12-15,95,54,32
2018-12-16,127,63,24
2018-12-17,157,58,23
2018-12-18,153,55,22
2018-12-19,112,55,29
2018-12-20,142,38,26
2018-12-21,99,41,19
2018-12-22,102,40,31
2018-12-23,95,42,20
2018-12-24,97,27,16
2018-12-25,63,22,16
2018-12-26,68,30,17
2018-12-27,78,45,20
2018-12-28,99,57,43
2018-12-29,149,62,30
