date,pm25,pm10,o3,so2
2019-10-12,30,13, ,7
2019-10-13,42,14,9,8
2019-10-14,50,18,7,9
2019-10-15,55,30, ,14
2019-10-16,80,5,23,7
2019-10-17,17,10,21,7
2019-10-18,25,20,1,16
2019-10-19,55,18,1,13
2019-10-20,57,10,14,6
2019-10-21,34,11,7,10
2019-10-22,38,15, ,9
2019-10-23,38,17, ,8
2019-10-24,38,19, ,9
2019-10-25,50,18, ,13
2019-10-26,50,18, ,11
2019-10-27,50,16, ,11
2019-10-28,46,19, ,9
2019-10-29,57,20, ,13
2019-10-30,63,14,3,12
2019-10-31,50,12,1,12
2019-11-01,38,17, ,11
2019-11-02,57,22,1,11
2019-11-03,72,11,3,12
2019-11-04,46,6, ,12
2019-11-05,17,7, ,14
2019-11-06,21,9, ,10
2019-11-07,38,10, ,12
2019-11-08,38,6, ,19
2019-11-09,17,8,1,13
2019-11-10,30,7, ,7
2019-11-11,13,10, ,14
2019-11-12,25,12, ,17
2019-11-13,50, ,6,19
2019-11-18,38,11,6,14
2019-11-19,46,11,2,15
2019-11-20,46,13,2,13
2019-11-21,53,19,1,12
2019-11-22,55,20, ,12
2019-11-23,63,19, ,11
2019-11-24,61,16,1,9
2019-11-25,57, ,1,8
2019-11-27,50,21, ,12
2019-11-28,61,16, ,10
2019-11-29,55,18,1,10
2019-11-30,53,12,4,8
2019-12-01,42,13,3,10
2019-12-02,50,16,6,10
2019-12-03,61,12,12,10
2019-12-04,38, ,6,10
2019-12-06,63,28,4,17
2019-12-07,68,28,4,19
2019-12-08,72,23,7,14
2019-12-09,70,30,2,21
2019-12-10,76,11,15,10
2019-12-11,38,20,14,12
2019-12-12,50,31,1,28
2019-12-13,76,32, ,24
2019-12-14,85,18, ,21
2019-12-15,61,20,2,23
2019-12-16,65,31, ,27
2019-12-17,89,36, ,26
2019-12-18,102,30, ,25
2019-12-19,87,21, ,18
2019-12-20,70,21, ,16
2019-12-21,65,9,2,23
2019-12-22,34,13,4,16
2019-12-23,50,8,2,20
2019-12-24,34,10,2,21
2019-12-25,34,10,5,14
2019-12-26,42,9,9,15
2019-12-27,30,17,4,18
2019-12-28,53,17,3,18
2019-12-29,57,18,8,15
2019-12-30,55, , , 
2019-07-02,74,12,53,5
2019-07-03,38,14,26,5
2019-07-04,38,11,19,9
2019-07-05,34,17,29,5
2019-07-06,53,20,27,6
2019-07-07,61,11,14,13
2019-07-08,30,10,22,4
2019-07-09,34,14,32,5
2019-07-10,46,10,30,4
2019-07-11,38,16,31,9
2019-07-12,55,10,19,4
2019-07-13,34,6,21,6
2019-07-14,17,7,25,6
2019-07-15,25,6,30,2
2019-07-16,17,8,26,4
2019-07-17,25,18,42,5
2019-07-18,46,10,27,8
2019-07-19,38,18,32,11
2019-07-20,59,23,38,13
2019-07-21,65,14,33,6
2019-07-22,53,19,32,7
2019-07-23,59,26,40,10
2019-07-24,72,32,41,11
2019-07-25,85,32,12,18
2019-07-26,82,14,13,10
2019-07-27,38,12,21,4
2019-07-28,42,14,17,9
2019-07-29,46,6,18,6
2019-07-30,9,15,33,7
2019-07-31,34,11,16,6
2019-08-01,38,17,34,7
2019-08-02,53,11,21,7
2019-08-03,38,10,19,6
2019-08-04,25,10,31,5
2019-08-05,38,16,31,12
2019-08-06,55,19,16,13
2019-08-07,55,10,8,11
2019-08-08,30,11,20,8
2019-08-09,38,18,25,8
2019-08-10,55,22,28,8
2019-08-11,63,20,24,7
2019-08-12,61,20,16,10
2019-08-13,53,7,17,7
2019-08-14,17,7,24,8
2019-08-15,17,9,26,4
2019-08-16,30,6,22,4
2019-08-17,17,12,18,10
2019-08-18,42,14,32,7
2019-08-19,55,15,9,17
2019-08-20,46,13,7,11
2019-08-21,38,9,10,8
2019-08-22,30,10,12,9
2019-08-23,34,13,8,11
2019-08-24,42,12,11,7
2019-08-25,42,12,11,7
2019-08-26,42,13,15,6
2019-08-27,38,16,18,6
2019-08-28,53,21,21,9
2019-08-29,65,18,11,13
