date, pm25, pm10, no2
2019-11-05,41,31,14
2019-11-06,40,32,22
2019-11-07,45,33,30
2019-11-08,62,40,24
2019-11-09,53,23,20
2019-11-10,40,17,22
2019-11-11,35,88,23
2019-11-12,84,43,14
2019-11-13,41,32,21
2019-11-14,53,42,31
2019-11-15,73,46,20
2019-11-16,54,49,12
2019-11-17,48,44,14
2019-11-18,36,32,23
2019-11-19,38,30,22
2019-11-20,45,26,30
2019-11-21,59,27,27
2019-11-22,55,32,28
2019-11-23,68,40,22
2019-11-24,63,16,18
2019-11-25,39,17,23
2019-11-26,45,47,28
2019-11-27,74,25,21
2019-11-28,54,21,22
2019-11-29,36,26,22
2019-11-30,40,35,28
2019-12-01,59,27,23
2019-12-02,52,45,34
2019-12-03,74,29, 
2019-12-04,50,21,16
2019-12-05,41,26,20
2019-12-06,60,45,33
2019-12-07,94,34,31
2019-12-08,73,37,23
2019-12-09,74,41, 
2019-12-10,85,27,32
2019-12-11,50,28,18
2019-12-12,47,49,36
2019-12-13,95,35,23
2019-12-14,60,32,26
2019-12-15,68,48,34
2019-12-16,81,59,36
2019-12-17,103,58,34
2019-12-18,110,49,33
2019-12-19,93,33,28
2019-12-20,63,34,22
2019-12-21,63,32,12
2019-12-22,40,29,7
2019-12-23,40,24,18
2019-12-24,47,39,30
2019-12-25,87,43,25
2019-12-26,93,26,15
2019-12-27,64,32,24
2019-12-28,82,14,9
2019-12-29,41,8,7
2019-12-30,26, , 
2019-07-02,50,34,38
2019-07-03,58,32,36
2019-07-04,55,29,36
2019-07-05,55,29,31
2019-07-06,50,29,27
2019-07-07,58,27,24
2019-07-08,53,32,27
2019-07-09,60,39,28
2019-07-10,55,46,24
2019-07-11,56,27,23
2019-07-12,43,21,32
2019-07-13,38,24,23
2019-07-14,42,13,16
2019-07-15,37,17,29
2019-07-16,40,20,8
2019-07-17,39,22,32
2019-07-18,49,25,32
2019-07-19,46,25,29
2019-07-20,38,25,27
2019-07-21,47,26,25
2019-07-22,62,31,37
2019-07-23,66,32,39
2019-07-24,55,30,28
2019-07-25,55,34,34
2019-07-26,68,30,36
2019-07-27,68,29,21
2019-07-28,56,28,15
2019-07-29,42,30,23
2019-07-30,42,30,25
2019-07-31,46,28,24
2019-08-01,40,27,27
2019-08-02,44,30,33
2019-08-03,60,31,32
2019-08-04,56,25,19
2019-08-05,51,26,32
2019-08-06,50,29,35
2019-08-07,55,31,39
2019-08-08,61,37,40
2019-08-09,72,44,33
2019-08-10,71,46,29
2019-08-11,79,40,30
2019-08-12,61,43,33
2019-08-13,70,34,22
2019-08-14,52,30,19
2019-08-15,42,21,12
2019-08-16,42,20,21
2019-08-17,34,22,18
2019-08-18,45,22,20
