date, pm25, pm10, o3
2015-12-14,139,57,7
2015-12-15,151,54,7
2015-12-16,132,49,10
2015-12-17,114,62,7
2015-12-18,155,63,6
2015-12-19,159,61,4
2015-12-20,157,50,14
2015-12-21,137,59,2
2015-12-22,155,55,3
2015-12-23,139,54, 
2015-12-24,139,50,2
2015-12-25,132,43,3
2015-12-26,102,35,2
2015-12-27,93,25,2
2015-12-28,72,35,1
2015-12-29,93,43,4
2015-12-30,112, , 
2016-01-03,129,30,7
2016-01-04,89,35,12
2015-07-02,54,27,102
2015-07-03,67,31,99
2015-07-04,73,36,56
2015-07-05,84,37,50
2015-07-06,85,40,94
2015-07-07,144,48,94
2015-07-08,144,49, 
2015-07-10,17,13,62
2015-07-11,33,29,83
2015-07-12,70,30,91
2015-07-13,73,32,102
2015-07-14,79,33,94
2015-07-15,76,33,98
2015-07-16,86,36,92
2015-07-17,90,37,88
2015-07-18,96,32,84
2015-07-19,97,38,87
2015-07-20,120,39,79
2015-07-21,98,40,79
2015-07-22,66,40,83
2015-07-23,91,47,96
2015-07-24,94,27,88
2015-07-25,103,21,56
2015-07-26,66,11,49
2015-07-27,50,19,57
2015-07-28,58,19,56
2015-07-29,57,27,62
2015-07-30,67,11,47
2015-07-31,152,5,50
2015-08-01,39,17,41
2015-08-02,57,19,54
2015-08-03,71,27,72
2015-08-04,63,28,70
2015-08-05,61,29,74
2015-08-06,59,30,83
2015-08-07,73,40,82
2015-08-08,79,34,76
2015-08-09,70,30,74
2015-08-10,59,32,59
2015-08-11,64,32,77
2015-08-12,59,39,88
2015-08-13,75,37,81
2015-08-14,68,52,80
2015-08-15,90,33,61
2015-08-16,80,14,41
2015-08-17,47,7,42
2015-08-18,30,14,45
2015-08-19,25,11,35
2015-08-20,41,10,48
2015-08-21,34,11,44
2015-08-22,37,12,53
2015-08-23,30,18,45
2015-08-24,53,23,44
2015-08-25,69,23,41
2015-08-26,65,23,40
2015-08-27,65,22,62
2015-08-28,50,28,66
2015-08-29,76,35,74
2015-08-30,79,22,70
2015-08-31,72,22,74
2015-09-01,43,29,58
2015-09-02,66,36,54
2015-09-03,81,19,45
2015-09-04,43,19,44
2015-09-05,45,18,40
2015-09-06,42,7,40
2015-09-07,30,11,43
2015-09-08,30,14,39
2015-09-09,37,15,39
2015-09-10,38,18,41
2015-09-11,30,19,39
2015-09-12,55,28,47
2015-09-13,71,24,42
2015-09-14,73,20,39
2015-09-15,57,15,36
2015-09-16,57,19,43
2015-09-17,50,31,39
2015-09-18,78,18,37
2015-09-19,59,14,42
2015-09-20,26,15,37
2015-09-21,33,14,38
2015-09-22,49,14,37
2015-09-23,38,13,33
2015-09-24,38,8,19
2015-09-25,25,13,30
2015-09-26,45,19,34
2015-09-27,62,12,27
2015-09-28,35,10,29
2015-09-29,37,13,29
2015-09-30,34,13,27
2015-10-01,34,14,20
2015-04-02,66,13,35
2015-04-03,42,15,41
2015-04-04,49,10,41
2015-04-05,34,10,37
2015-04-06,52,14,39
2015-04-07,54,13,39
2015-04-08,46,23,40
2015-04-09,64,37,46
2015-04-10,91,38,59
2015-04-11,93,43,56
2015-04-12,113,49,60
2015-04-13,126,36,65
2015-04-14,98,44,60
2015-04-15,97,35,70
2015-04-16,87,41,56
2015-04-17,98,26,40
2015-04-18,85,25,43
2015-04-19,80,10,44
2015-04-20,47,23,43
2015-04-21,78,34,50
2015-04-22,94,26,66
2015-04-23,74,23,53
2015-04-24,59,23,60
2015-04-25,67,29,50
2015-04-26,77,33,43
2015-04-27,105,15,33
2015-04-28,66,11,35
2015-04-29,46,7,37
2015-04-30,38,11,44
2015-05-01,58,23,25
2015-05-02,81,19,43
2015-05-03,78,21,38
2015-05-04,86,34,42
2015-05-05,96,48,48
2015-05-06,130,38,48
2015-05-07,80,27,58
2015-05-08,74,21,64
2015-05-09,65,12,51
2015-05-10,53,11,56
2015-05-11,38,17,68
2015-05-12,41,18,72
2015-05-13,49,33,81
2015-05-14,69,30,74
2015-05-15,71,19,55
2015-05-16,57,22,46
2015-05-17,73,20,56
2015-05-18,51,22,66
2015-05-19,54,29,66
2015-05-20,75,20,41
2015-05-21,53,5,31
2015-05-22,22,11,26
2015-05-23,41,9,31
2015-05-24,38,9,46
2015-05-25,38,11,52
2015-05-26,45,15,41
2015-05-27,70,11,48
2015-05-28,47,12,55
2015-05-29,49,18,66
2015-05-30,52,27,71
2015-05-31,80,29,67
2015-06-01,82,24,65
2015-06-02,70,25,64
2015-06-03,65,34,87
2015-06-04,91,33,92
2015-06-05,85,38,102
2015-06-06,94,43,94
2015-06-07,96,9,76
2015-06-08,44,16,66
2015-06-09,60,22,78
2015-06-10,67,29,72
2015-06-11,75,30,85
2015-06-12,92,37,76
2015-06-13,106,25,66
2015-06-14,64,15,49
2015-06-15,59,21,45
2015-06-16,50,13,29
2015-06-17,52,17,49
2015-06-18,60,19,61
2015-06-19,61,20,70
2015-06-20,73,10,47
2015-06-21,47,10,50
2015-06-22,34,11,56
2015-06-23,45,31,53
2015-06-24,58,9,49
2015-06-25,26,18,55
2015-06-26,41,25,71
2015-06-27,72,23,87
2015-06-28,74,16,68
2015-07-01,53,27,69
2015-01-02,153,59,9
2015-01-03,158,56,12
2015-01-04,154,39,30
2015-01-05,114,19,27
2015-01-06,59,60,19
2015-01-07,157,71,9
2015-01-08,165,64,8
2015-01-09,158,65,6
2015-01-10,161,70,9
2015-01-11,167,60,17
2015-01-12,159,22,21
2015-01-13,70,33,16
2015-01-14,97,51, 
2015-01-16,149,52,18
2015-01-17,97,19,21
2015-01-18,59,22,21
2015-01-19,70,22,19
2015-01-20,74,40,3
2015-01-21,107,24,10
2015-01-22,80,21,13
2015-01-23,65,20,19
2015-01-24,74,26,22
2015-01-25,61,20,30
2015-01-26,50,19,29
2015-01-27,59,42,16
2015-01-28,99,33,23
2015-01-29,91,44,7
2015-01-30,112,39,11
2015-01-31,107,28,22
2015-02-01,76,39,21
2015-02-02,107,48,17
2015-02-03,124,35,21
2015-02-04,97,19,20
2015-02-05,61,10,27
2015-02-06,46,11,24
2015-02-07,53,23,25
2015-02-08,70,39,29
2015-02-09,109,38,30
2015-02-10,104,62,24
2015-02-11,156,73,19
2015-02-12,168,71,26
2015-02-13,170,55,17
2015-02-14,147,54,13
2015-02-15,147,20,30
2015-02-16,65,20,31
2015-02-17,61,30,33
2015-02-18,82,49,32
2015-02-19,119,61,29
2015-02-20,153,70,29
2015-02-21,160,62,35
2015-02-22,165,13,38
2015-02-23,53,22,31
2015-02-24,74,25,32
2015-02-25,78,13,30
2015-02-26,46,17,32
2015-02-27,50,22,24
2015-02-28,70,37,35
2015-03-01,78,117,36
2015-03-02,134,129,30
2015-03-03,151,29,33
2015-03-04,82,23,32
2015-03-05,68,7,35
2015-03-06,25,18,34
2015-03-07,46,28,34
2015-03-08,68,41,39
2015-03-09,95,40,32
2015-03-10,97,47,40
2015-03-11,112,63,40
2015-03-12,155,37,35
2015-03-13,80,40,36
2015-03-14,91,39,40
2015-03-15,89,31,40
2015-03-16,93,19,39
2015-03-17,63,27,39
2015-03-18,78,51,36
2015-03-19,114,52,44
2015-03-20,122,45,44
2015-03-21,102,40,44
2015-03-22,109,24,40
2015-03-23,76,35,43
2015-03-24,93,50,45
2015-03-25,132,15,39
2015-03-26,59,10,25
2015-03-27,38,17,35
2015-03-28,63,14,41
2015-03-29,55,24,42
2015-03-30,76,22,35
2015-03-31,63,37,41
2015-04-01,93,18,39
2014-10-07,76,39,24
2014-10-08,88,23,21
2014-10-09,74,41,20
2014-10-10,110,34,21
2014-10-11,86,29,35
2014-10-12,85,24,33
2014-10-13,62,16,22
2014-10-14,59,13,21
2014-10-15,46,20,22
2014-10-16,60,31,24
2014-10-17,75,32,28
2014-10-18,81,36,31
2014-10-19,82,39,32
2014-10-20,96,44,32
2014-10-21,95,49,25
2014-10-22,103,11,28
2014-10-23,28,4,29
2014-10-24,17,12,30
2014-10-25,40,22,23
2014-10-26,58,22,31
2014-10-27,59,23,22
2014-10-28,67,33,23
2014-10-29,78,51,19
2014-10-30,104,60,18
2014-10-31,151,58,18
2014-11-01,139,59,19
2014-11-02,151,47,27
2014-11-03,117,58,7
2014-11-04,149,27,32
2014-11-05,63,19,28
2014-11-06,53,10,20
2014-11-07,34,12,17
2014-11-08,38,20,5
2014-11-09,59,16,22
2014-11-10,42,13,20
2014-11-11,38,10,20
2014-11-12,34,11,25
2014-11-13,34,18,13
2014-11-14,50,30,16
2014-11-15,82,21,26
2014-11-16,61,12,27
2014-11-17,25,12,19
2014-11-18,38,17,22
2014-11-19,30,29,11
2014-11-20,70,35,7
2014-11-21,74,29,7
2014-11-22,72, , 
2014-11-24,117,54,6
2014-11-25,149,61,1
2014-11-26,154,40,14
2014-11-27,104,39,4
2014-11-28,91,42,1
2014-11-29,104,31,3
2014-11-30,80,27,1
2014-12-01,72,16,15
2014-12-02,50,19,6
2014-12-03,53,18,4
2014-12-04,50,15,7
2014-12-05,50,21,7
2014-12-06,65,24,7
2014-12-07,63,10,14
2014-12-08,42,26,7
2014-12-09,76,18,17
2014-12-10,57,17,24
2014-12-11,57,38,10
2014-12-12,91,41,9
2014-12-13,99,44,5
2014-12-14,112,49,2
2014-12-15,137,42,4
2014-12-16,109,33,5
2014-12-17,93,27,4
2014-12-18,68,30,2
2014-12-19,85,29,1
2014-12-20,72,40,6
2014-12-21,102,43,10
2014-12-22,107,39,4
2014-12-23,102,38,4
2014-12-24,89,40,4
2014-12-25,93,45,6
2014-12-26,107,38,9
2014-12-27,97,24,11
2014-12-28,70,37,7
2014-12-29,104, , 
2020-03-03, ,10,22
2020-01-01, ,55,21
2019-12-28, ,37,20
2019-07-01, ,23,103
2019-08-04, ,12,63
2019-06-29, ,21,66
2019-01-01, ,54,5
2018-01-05, ,30,8
2018-03-25, ,23,37
2017-08-07, ,9,34
2017-04-10, ,25,54
2016-01-01, ,52,9
2016-01-02, ,50,9
2015-07-09, ,2,51
2015-06-29, ,13,60
2015-06-30, ,24,78
2015-01-01, ,56,18
2015-01-15, ,53,4
2014-10-06, ,30,38
2014-11-23, ,43, 
